nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Trygłów;;;Trzygłów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBwGMuMZiAEcR8Qm7Y2XMrJI;53.8613016,15.1638955
Bliźniaki;;;46-325 Bliźniaki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-7mPzKOPEEcR8v_rmNzgUQg;51.0225,18.546389
Głaz św. Wojciecha;;;Budziejewo, Budziejewko 5, 62-290, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXyKJXHh-BEcRpI2wnYMBXCg;52.72587129999999,17.3230655
Głaz św. Jadwigi;;;Głaz Św. Jadwigi, Polska;https://www.google.com/maps/place/?q=place_id:ChIJz-DTn_TNGkcR4-QnlBX1Y4w;51.8328044,17.9472398
Pogański Kamień;;;464 01 Višňová-Frýdlant v Čechách, Czechy;https://www.google.com/maps/place/?q=place_id:ChIJjbU-oHQmCUcRwPAoXPG0L38;50.971165,15.0215105
Leżący Słoń;;;66-510 Machary, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfTphmTrWBkcR6NeFcdBRXMk;52.9570738,15.4371772
Głaz św. Wojciech;;;Budziejewo, Budziejewko 5, 62-290, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXyKJXHh-BEcRpI2wnYMBXCg;52.72587129999999,17.3230655
Królewski Głaz;;;72-400 Buniewice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfdVzocSFqkcR6Akkfy1y-2c;53.9801414,14.7215573
Bez nazwy;;;62-710 Beznazwa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMWKILww7G0cRmIvTbZ4QgeA;52.1514961,18.4107022
Tatarski Kamień;;;Tatary 54, 13-100 Tatary, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMT5hPwC_HUcRPGH-M8YT8W8;53.34511999999999,20.4466262
Dąb szypułkowy „Napoleon”;;;Tarnawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCfL3XqoLBkcRY8MDIS7UYiQ;51.9653809,15.7556157
Lipa drobnolistna;;;DW292, Polska;https://www.google.com/maps/place/?q=place_id:ChIJH_vff9wHBkcRwHSU0ccAiNY;51.7601662,15.7281403
Topola biała;;;05-480 Glinki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWSZGZyXXGEcResCT8mznFyw;51.9991833,21.2321818
Platan klonolistny;;;55-110 Budzicz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJU8vh0ZyND0cRy5AVjv5d2PA;51.3665205,16.9149155
Wiąz szypułkowy;;;97-425 Zelów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrXBer0M_GkcRZ283IGteK18;51.4947808,19.2934088
Lipa szerokolistna;;;Jaglice 19, 78-630 Jaglice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJS-79tElPAUcRPj68kJgljDw;53.073795,16.206987
Topola czarna;;;37-450 Stalowa Wola, Polska;https://www.google.com/maps/place/?q=place_id:ChIJy4vm7mLTIkcRNvPyNFkHeBo;50.5817227,22.0755306
Dąb ”Warcisław”;;;Ustronie Morskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs7UWnFU_AEcRQA8-D1vePqU;54.1715986,15.7062378
Jesion wyniosły;;;Radolina 68A, 62-590 Radolina, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVxcrCMrNBEcRyCFR86-PLws;52.2140993,18.0458308
Buk pospolity;;;Polska;https://www.google.com/maps/place/?q=place_id:ChIJNz6IzmZDB0cRIMgtqHqFXF4;52.9041303,14.6976734
Wiąz górski;;;Jeżów 45, 97-371 Czartek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJE2crtBAeGkcRdRi03EmLoyE;51.32190929999999,19.5827434
Dąb „Bolesław”;;;Ustronie Morskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJ1sQjpU-AEcR01QGS7Xueds;54.1807473,15.6955867
Jodła pospolita - odziomek;;;;NOT_FOUND;
Klon jawor;;;Szpitalna 5/5, 00-031 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJLXEiX_TMHkcRj8A4viX5DPk;52.2330747,21.0144942
Wiąz polny;;;Zadwór 136, 38-440 Iwonicz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHQu9Mkc5PEcRwRG4DOhkmpQ;49.59157889999999,21.7911319
Kasztan jadalny;;;Zysmana 34, 27-640 Klimontów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJDSEGIbhTPUcRNd0Ot0KSuAg;50.6639335,21.4427224
Buk pospolity odmiana purpurowa;;;30-218 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJT-0IoyVbFkcRdrAUcdOiJds;50.065676,19.872421
