nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Krzyżowa;Województwo Dolnośląskie;;Krzyżowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ27GvqodMDkcR5TT82nbNhuo;50.8008677,16.5426847
Krobielowice;Województwo Dolnośląskie;;Krobielowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrdu9O3m4D0cRoYgSJ2OOB20;51.0109935,16.8019495
Radomierzyce;Województwo Dolnośląskie;;Radomierzyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfePnDFbfCEcRJxGemeAr5-M;51.0591151,14.9717606
Wleń;Województwo Dolnośląskie;;Wleń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgzhG28QmD0cR18VRjeKeTgE;51.0176058,15.677587
Lubostroń;Województwo Kujawsko-Pomorskie;;89-210 Lubostroń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs5flmfllA0cRXqmeqEL34uA;52.9101632,17.8846526
Toruń - ul. Staromiejska 7;Województwo Kujawsko-Pomorskie;;Szczytna 2, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUfjA5B01A0cRw3kKpZ8hdJ4;53.01058399999999,18.606602
Toruń - ul. Żeglarska 8;Województwo Kujawsko-Pomorskie;;Żeglarska 8, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm7dOhx41A0cRYv8hWc3G5T0;53.0085685,18.6063528
Toruń - ul. Mostowa 14;Województwo Kujawsko-Pomorskie;;Mostowa 14, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJzXnKQR41A0cRqfLeaGQ9tqI;53.0094253,18.6087404
Puławy;Województwo Lubelskie;;Puławy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJe9CeHp5IkcRcWf3ruC3ekM;51.4164431,21.969309
Nałęczów;Województwo Lubelskie;;Nałęczów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJNXa1DrRhIkcRjgNfEKN0vMs;51.28567,22.215293
