nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Planetarium im. M. Kopernika ,Chorzów, Wojewódzki Park Kultury,;;;aleja Planetarium 4, 41-500 Chorzów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJDUqLU_jRFkcRYANnCJBKcBo;50.2905223,18.9919781
Planetarium Instytutu Fizyki Akademii Częstochowa, Al. Armii Krajowej 13/15.;;;Aleja Armii Krajowej 13/15, 42-200 Częstochowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJD2evhNS1EEcR8GH0_9lpcuQ;50.8202338,19.1166667
Planetarium Muzeum im. M. Kopernika, Frombork, ul. Katedralna 8,;;;Katedralna 8, 14-530 Frombork, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpfuKlOTM4kYR71NMaTqVKlU;54.356258,19.68106
Planetarium Instytutu Nawigacji i Hydrografii AMW, Gdynia, ul. Śmidowicza 69;;;Inżyniera Jana Śmidowicza 69, 81-127 Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs0BkOgKn_UYRsd2ztX3RRGE;54.5429687,18.5461962
Planetarium Wyższej Szkoły Morskiej, Gdynia, AL. Zjednoczenia 3,;;;al. Jana Pawła II 3, 81-345 Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfen24zin_UYR-Azp3ehUPOU;54.5181269,18.5550919
Planetarium Szkoła Podstawowa nr 1,ul.Toruńska 40;;;Franciszkańska 15, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJuXvL9Ew1A0cR1tUFY5YU4kE;53.0114201,18.6026242
Planetarium im. M. Kopernika, Grudziądz. Ul. Hoffmana 1/7,;;;Alfonsa Hoffmanna 1/7, 86-300 Grudziądz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-ZEQgCfQAkcRF_xduhz5sGk;53.4791136,18.7527072
Planetarium Akademii Świętokrzyskiej, Kielce, ul. Świętokrzyska 15,;;;Świętokrzyska 15, 25-406 Kielce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmxb_lKQnGEcRS09D9FC5QaQ;50.8809735,20.6563637
Planetarium Zarządu Topograficznego Sztabu Generalnego WP Komorowo, ul .Kościelna,;;;Wehntalerstrasse 489, 8046 Zürich, Szwajcaria;https://www.google.com/maps/place/?q=place_id:ChIJ_U787IYLkEcR_MsC1MUVpGk;47.4171551,8.5097322
Planetarium i Młodzieżowe Obserwatorium Astronomiczne, Niepołomice, ul. Kopernika 2,;;;Mikołaja Kopernika 2, 32-005 Niepołomice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6YToI4dHFkcRmWHDQmozFNs;50.033107,20.220805
Planetarium i Obserwatorium Astronomiczne miasta Łodzi, ul. Pomorska 16;;;Pomorska 16A, 90-001 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUzB-hNnKG0cRHVj_gQThisQ;51.7780688,19.4584631
Planetarium Lotów Kosmicznych, Olsztyn, ul. Marszałka Piłsudskiego 38;;;Żołnierska 13, 10-558 Olsztyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpXkDBit54kYRSXmMppEtoeY;53.7724432,20.4887468
