nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Henryk Władysław Baron;;;Prymasa Stefana Wyszyńskiego 25A, 41-940 Piekary Śląskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3Xtut17TFkcRxlpa2G62gss;50.37335359999999,18.9492237
Marian Józef Januszajtis;;;;NOT_FOUND;
Kazimierz Sosnkowski;;;;NOT_FOUND;
Tadeusz Rozwadowski;;;Rozwadów, 37-450 Stalowa Wola, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO4PKTMTSIkcRQ7NzPbJhjKU;50.58953160000001,22.0503738
Zygmunt Zieliński;;;Traugutta 7, 62-400 Słupca, Polska;https://www.google.com/maps/place/?q=place_id:ChIJw9fYxRnGBEcRot-vl9p5BX8;52.292499,17.8724268
Józef Dowbor -Muśnicki;;;Stary Garbów 48, 27-620 Stary Garbów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbVc7x1q3IkcRSw8A4K-PQOs;50.7718053,21.7686109
Walerian Czuma;;;;NOT_FOUND;
Roman Dmowski;;;aleja Jana Chrystiana Szucha, Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAVgA_-PMHkcRA7M2Xn8aoDE;52.2185234,21.0250378
Józef Haller;;;87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGRiB8-A0A0cRChhHYfoz0z0;53.0130601,18.6152606
Edward Rydz -Śmigły;;;Sandomierska 18, 02-567 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ123l58PNHkcRfdB0tTASLH0;52.2090122,21.0188203
Leopold Lis - Kula;;;Mikołaja Kopernika, 35-020 Rzeszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJY33QxQP7PEcRjvDPAUVByd4;50.0382779,22.0013733
Jerzy Moraczewski;;;;NOT_FOUND;
Franciszek Ksawery Latinik;;;;NOT_FOUND;
Antoni Petrykiewicz;;;;NOT_FOUND;
Ignacy Jan Paderewski;;;Park Ujazdowski, 00-478 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJL20InB7NHkcRRUeEwCQKFwc;52.222063,21.0253141
Stanisław Taczak;;;;NOT_FOUND;
Antoni Listowski;;;;NOT_FOUND;
Stanisław Szeptycki;;;Brzeska 126/pok 14, 21-500 Biała Podlaska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ17tibkiRIUcRgdV5TvPNTNA;52.0387594,23.1435375
Wincenty Witos;;;plac Trzech Krzyży 2, 00-535 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJY6qWd_rMHkcRxYs-5Vm3eNQ;52.2277047,21.0235962
Ignacy Skorupka;;;plac Weteranów 1863 Roku, Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ58c2dUHMHkcRn0A0d3w93ko;52.25214399999999,21.0300905
Władysław Eugeniusz Sikorski;;;Parchanie 33, 88-110 Parchanie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJY06iMSBTA0cRFQ8h7Mi2vtY;52.8058637,18.396596
Józef Klemens Piłsudski;;;Belwederska 52, 00-594 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQw4kaeDMHkcRMCXT0xQo58Y;52.21349319999999,21.0267877
Lucjan śeligowski;;;;NOT_FOUND;
Wojciech Korfanty;;;Al. Ujazdowskie, 00-460 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIVuDZeTMHkcRe84xuw8M77k;52.2185188,21.0260269
