nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Linke Hofman;;;;NOT_FOUND;
Chrzanów;;;Chrzanów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCyoend3rFkcR9KNhYwzXYVc;50.13549279999999,19.402071
Chrzanów;;;Chrzanów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCyoend3rFkcR9KNhYwzXYVc;50.13549279999999,19.402071
Chrzanów;;;Chrzanów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCyoend3rFkcR9KNhYwzXYVc;50.13549279999999,19.402071
HCP;;;28 Czerwca 1956 r. 194, 61-485 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJA_OG-TZbBEcRmLiT9V4EeN0;52.3832339,16.9123789
HCP;;;28 Czerwca 1956 r. 194, 61-485 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJA_OG-TZbBEcRmLiT9V4EeN0;52.3832339,16.9123789
Schichau;;;Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-Ubh85Rz_UYRd95X79Cj97c;54.3649808,18.6462442
Schwartzkopff;;;;NOT_FOUND;
Chrzanów;;;Chrzanów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCyoend3rFkcR9KNhYwzXYVc;50.13549279999999,19.402071
Chrzanów;;;Chrzanów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCyoend3rFkcR9KNhYwzXYVc;50.13549279999999,19.402071
Chrzanów;;;Chrzanów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCyoend3rFkcR9KNhYwzXYVc;50.13549279999999,19.402071
Chrzanów;;;Chrzanów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCyoend3rFkcR9KNhYwzXYVc;50.13549279999999,19.402071
Chrzanów;;;Chrzanów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCyoend3rFkcR9KNhYwzXYVc;50.13549279999999,19.402071
Chrzanów;;;Chrzanów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCyoend3rFkcR9KNhYwzXYVc;50.13549279999999,19.402071
Chrzanów;;;Chrzanów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCyoend3rFkcR9KNhYwzXYVc;50.13549279999999,19.402071
