nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Bierutów;;;Bierutów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjSRvdd0bEEcRHYMbjgN-VwA;51.12556130000001,17.5476492
Bolków;;;Bolków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJedCroRQCD0cR_qrzOGh5euo;50.92449999999999,16.1037801
Brzeg Dolny;;;Brzeg Dolny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOeFQcZGQD0cRQFkczmxjCSs;51.2728265,16.708557
Dzierżoniów;;;Dzierżoniów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvRFIogI2DkcRgnRv9DAiCUo;50.7308605,16.6567892
Jawor;;;Jawor, Polska;https://www.google.com/maps/place/?q=place_id:ChIJu6A5wfwFD0cR5GxqlriWd5s;51.0545282,16.186323
Kowary;;;Kowary, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrd2zTI7lDkcR2cX7K6IaEGY;50.79170999999999,15.83665
Kłodzko;;;Kłodzko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCQMlXQQXDkcRHh4UdfhXMHc;50.4345636,16.6613941
Legnica;;;Legnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwTdAEoUSD0cRouaIICEVjkM;51.2070067,16.1553231
Lubań;;;Lubań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3UNZn-3TCEcRrbZX5mbzc2M;51.11791419999999,15.2893895
Oleśnica;;;Oleśnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ68HS6d3iD0cRb5A70LQKSvM;51.2134346,17.3898504
Strzegom;;;Strzegom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwaofXmSpD0cRBneKhX_1Y6Q;50.9604662,16.3510375
Wałbrzych;;;Wałbrzych, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSY1hc6xWDkcRC7U9P6Qi2f4;50.7840092,16.2843553
Ziębice;;;Ziębice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ89BPmvwnDkcRZNSKcEjH4E0;50.59829999999999,17.03888
Ząbkowice Śląskie;;;Ząbkowice Śląskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJN_GyiyAlDkcR9iONUJiIIto;50.5893617,16.8132419
Świdnica;;;Świdnica Polska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq_nj24i7D0cRdiVSXMOAyr0;51.0740481,16.677532
Świdnica;;;Świdnica Polska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq_nj24i7D0cRdiVSXMOAyr0;51.0740481,16.677532
Wrocław;;;Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJv4q11MLpD0cR9eAFwq5WCbc;51.10929480000001,17.0386019
Wrocław;;;Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJv4q11MLpD0cR9eAFwq5WCbc;51.10929480000001,17.0386019
Wrocław;;;Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJv4q11MLpD0cR9eAFwq5WCbc;51.10929480000001,17.0386019
