nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Warszawa – woj. mazowieckie, kolejowy tunel średnicowy, pod centrum Warszawy, długość 2310 m,;;;;NOT_FOUND;
Bogaczowice - woj. dolnośląskie, tunel drogowy w ciągu drogi ekspresowej S3, długość 2290 m,;;;S3, Polska;https://www.google.com/maps/place/?q=place_id:EgpTMywgUG9sc2thIi4qLAoUChIJVypKSKOhAEcRqwWe36B8kzUSFAoSCbvMBqBC_w5HEdj2krZbZhoN;50.85220469999999,16.155643
Jedlina Górna – woj. dolnośląskie, tunel kolejowy w ciągu linii kolejowej nr 286, długość 1604 m,;;;;NOT_FOUND;
Jedlina Górna – woj. dolnośląskie, tunel kolejowy w ciągu linii kolejowej nr 286m, długość 1601 m s;;;;NOT_FOUND;
Warszawa - woj. mazowiecki, tunel kolejowy w ciągu linii kolejowej nr 001, 002, 448, długość 1175 m,;;;;NOT_FOUND;
Świerki Dolne – woj. dolnośląskie, tunel kolejowy w ciągu linii kolejowej nr 286, długość 1174 m,;;;57-451 Ludwikowice Kłodzkie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ23xqfTpEDkcRu0CxaKCDAL8;50.6323709,16.4324953
Bartnica – woj. dolnośląskie, tunel kolejowy, w ciągu linii kolejowej nr 286, długość 1168 m,;;;;NOT_FOUND;
Ogorzelec – woj. dolnośląskie, tunel kolejowy w ciągu linii kolejowej nr 308, długość 1027 m,;;;Ogorzelec 23, 58-400, Polska;https://www.google.com/maps/place/?q=place_id:ChIJv_wnOFDvDkcRosY6KG9MDAw;50.76174349999999,15.873544
Uniejów – Rędziny – woj. małopolskie, tunel kolejowy w ciągu linii kolejowej nr 008, długość 764 m,;;;;NOT_FOUND;
Uniejów - Rędziny – woj małopolskie, tunel kolejowy w ciągu linii kolejowej nr 008 (bliźniaczy), długość 745m,;;;;NOT_FOUND;
Rydułtowy – woj. dolnośląskie, tunel kolejowy w ciągu linii kolejowej nr 140, długość 727 m,;;;44-280 Rydułtowy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJnUrQEw5FEUcRYTlCAxeQAx8;50.0715781,18.4222198
Szare - woj. śląskie , tunel w ciągu drogi ekspresowej nr S69, długość 670 m,;;;;NOT_FOUND;
Szklary – woj. podkarpackie, tunel w ciągu linii (wąskotorowej) na trasie Przeworsk - Dynów, długość 602m,;;;36-025 Szklary, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-W9HecKKPEcRSsw_aXvqvOQ;49.8817924,22.2441308
Kulin Kłodzki – woj. dolnośląskie, tunel kolejowy w ciągu linii kolejowej nr 309, długość 577m,;;;57-343, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3aVINSdsDkcR8G_APPLzTF0;50.4193937,16.325545
Żegiestów – woj. małopolskie, tunel kolejowy w ciągu linii kolejowej nr 096, długość 513 m,s;;;33-360 Żegiestów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUwFyKp1zPkcRLNHUgMv9vxg;49.3531674,20.8103892
Strzyżów - woj. podkarpackie, tunel, schron kolejowy pod Żarnowską Góra, długość 438 m,;;;Tunelowa, 38-100 Strzyżów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb1DJGBpUPEcRpYBj-pY2EFo;49.8692216,21.8083552
Stępina – Cieszyna – woj. podkarpackie, tunel, schron, długość 393 m,;;;38-125 Stępina, Polska;https://www.google.com/maps/place/?q=place_id:ChIJM6ktklysPUcRcpyCNeRuq6Q;49.8720398,21.5914161
Jedlina Zdrój – woj. dolnośląskie, tunel kolejowy w ciągu linii kolejowej nr 286, długość 377m,;;;Dworcowa, 58-330 Jedlina-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJw4ZHPW1QDkcRmKjyeS4Kct8;50.7115205,16.3438049
Łupków – woj. podkarpackie, tunel kolejowy w ciągu linii kolejowej nr 107, długość 371 m,;;;Stary Łupków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCcgqf00CPEcROsyCKWfZdhw;49.2504774,22.0402325
