nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Latarnie morskie;;;Polna 30, 72-350 Niechorze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgSw4vnt2AEcRp2TB3ok2hAA;54.0947031,15.0638467
Gryficka Kolej Wąskotorowa;;;Błonie 1, 72-300 Gryfice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc1pOyKdkAEcR1SqhdawL75U;53.9109115,15.1896172
Stopień wodny na Nogacie;;;Starościńska, 82-200 Malbork, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2fLqFt5Z_UYRMxdqgOaYOxk;54.0410656,19.0272896
Żuraw gdański;;;Szeroka 67/68, 80-835 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJV2nWGqdz_UYRwS-frZqF0J0;54.35049429999999,18.6575279
Gdańska głowa;;;82-103, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhyU48jZr_UYRY3B4HaNxRwQ;54.26680640000001,18.9522718
Twierdza Wisłoujście;;;Stara Twierdza 1, 80-551 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6_y-W7QM_UYR16N3s8iMoO8;54.3956609,18.679898
Kuźnia wodna;;;Bytowska 1, 80-328 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJsXQs-U51_UYRY68QIAMiFdo;54.4066413,18.5391849
Centralne Muzeum Morskie;;;Ołowianka 9-13, 80-751 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgXgNfApz_UYR0qOqxbwK0I4;54.35089900000001,18.659019
Akwedukt na Wielkim Kanale Brdy;;;Wielki Kanał Brdy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpbLNENtYAkcR3boKM1HYisk;53.69859599999999,17.9590381
Parowozy;;;Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJlRM6k1dFFkcR_dClkWzBPdQ;50.0285016,19.9852257
Molo;;;Plac Zdrojowy 2, 81-723 Sopot, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXzMkc44K_UYREA__ZUDe-zc;54.446506,18.5720474
Zwodzony most kolejowy;;;Regalica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJLU2ukQgIqkcR7PXJA_iXgAA;53.3689547,14.5882908
Mosty;;;81-198 Mosty, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6WWGWVqv_UYR4VmfjFaHg7E;54.6106188,18.4957326
Słupskie, koszalińskie elektrownie wodne;;;Żydowo 121, 76-012, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXc2uToXrAUcROiHYa1rdNrQ;54.02514360000001,16.7070917
Koszalińska Kolej Dojazdowa;;;Kolejowa 4, 75-108 Koszalin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJlcPS3iPNAUcRb6dDDQPkqiE;54.1871395,16.1693893
Linia kolejowa;;;Polska;https://www.google.com/maps/place/?q=place_id:ChIJrz4RQnXLHkcR_luVwx4b27c;52.2648356,20.87205
Kanał Elbląski;;;Kanał Elbląski (Warmiński), Polska;https://www.google.com/maps/place/?q=place_id:ChIJf7d49auv4kYR0-ER69Jpdus;54.0270075,19.5942878
Kanał Augustowski;;;Kanał Augustowski;https://www.google.com/maps/place/?q=place_id:ChIJecYmoRFZ4EYR3Y-scrChEEw;53.8918899,23.3386028
Ełcka Kolej Dojazdowa;;;Wąski Tor 1, 19-300 Ełk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3TqPkH-54UYRR4dB8Rz0xqE;53.8263037,22.3633255
Gazownia miejska;;;Wałowa 41/43, 80-858 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJy8HDIXNz_UYRT-BStJ7fFO0;54.3579974,18.6591444
Kolej Leśna;;;Majdan 17, 38-607, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1yA6-YP-O0cRm5yjcdbb-yc;49.2055725,22.2990324
Kanał Mazurski;;;Kan. Mazurskiy, Obwód Królewiecki, Rosja;https://www.google.com/maps/place/?q=place_id:ChIJ7xZ_IsC240YRn1YovELIK0g;54.423567,21.3779548
Wigierska Kolej Wąskotorowa;;;Płociczno-Tartak 40, 16-402 Suwałki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJkeSoryEH4UYRaQujjgcq1So;54.0209999,22.982851
Wilczy szaniec;;;Gierłoż 5, 11-400 Kętrzyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk-GXI1wl4kYRJRyBd-m3Y08;54.08065389999999,21.4942846
Drogowy most obrotowy;;;11-500 Giżycko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJD_cmgReJ4UYRxh4NOjDMhRc;54.0231927,21.7391003
Schrony bojowe;;;Wesoła 52, 42-584 Dobieszowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJP_NYTOrUFkcRN6f18oQOuCE;50.3984211,18.9786049
Żuławska Kolej Dojazdowa;;;Dworcowa 29, 82-100 Nowy Dwór Gdański, Polska;https://www.google.com/maps/place/?q=place_id:ChIJsYSVwRVE_UYRwen13oXZq8U;54.2116098,19.1233164
Kolejowy most obrotowy;;;82-103 Rybina, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJZ1LBkxB_UYRzTocOT29T1E;54.28491169999999,19.1110287
Muzeum Nowoczesności;;;Ryszarda Knosały 3B, 10-010 Olsztyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJoyn54dR-4kYRPa23T6B-vXY;53.7734608,20.4813234
Spichlerze;;;Płochocińska 99A, 03-044 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJR2u-N7zJHkcRQHWK9al4DXs;52.3377911,21.02788
Węzeł wodny;;;Księcia Witolda 1, 50-202 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvWSQVWXpD0cRXrvXcj2uWuA;51.1147924,17.031442
Warzelnie soli i tężnie;;;Sól 183 B, 34-370 Sól, Polska;https://www.google.com/maps/place/?q=place_id:ChIJM1jycoM5FEcRL8fJ9H-vrJo;49.4854236,19.0364833
Most drogowy;;;11-500 Giżycko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJD_cmgReJ4UYRxh4NOjDMhRc;54.0231927,21.7391003
Stacja wodociągowa „Stare Bielany”;;;Wodociągowa 17, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6crUzFk0A0cR-4w00jNKaDc;53.0270161,18.5849587
Żnińska Kolej Powiatowa;;;Potockiego 4, 88-400 Żnin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQ-dPEa5kA0cRdMtnEpAak3I;52.8489459,17.7350745
