nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Polubienie strony RPK PTTK Bydgoszcz na Facebooku;;;;NOT_FOUND;
Udostępnienie postu ze strony RPK PTTK Bydgoszcz na Facebooku;;;Henryka Sienkiewicza 1/I, 85-037 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf3Yns8cTA0cRZ53TQzANcYM;53.1286842,17.9984627
Polubienie postu, zdjęcia zamieszczonego na stronie RPK PTTK Bydgoszcz na Facebooku;;;Henryka Sienkiewicza 1/I, 85-037 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf3Yns8cTA0cRZ53TQzANcYM;53.1286842,17.9984627
Komentarz postu na stronie RPK PTTK Bydgoszcz na Facebooku;;;Henryka Sienkiewicza 1/I, 85-037 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf3Yns8cTA0cRZ53TQzANcYM;53.1286842,17.9984627
Uczestnictwo w spotkaniu Klubu Krajoznawczego - RPK PTTK Bydgoszcz;;;Henryka Sienkiewicza 1/I, 85-037 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf3Yns8cTA0cRZ53TQzANcYM;53.1286842,17.9984627
Uczestnictwo w imprezie (wycieczka, rajd) Klubu Krajoznawczego - RPK PTTK Bydgoszcz;;;Henryka Sienkiewicza 1/I, 85-037 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf3Yns8cTA0cRZ53TQzANcYM;53.1286842,17.9984627
Prowadzenie prelekcji podczas spotkania Klubu Krajoznawczego - RPK PTTK Bydgoszcz;;;Henryka Sienkiewicza 1/I, 85-037 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf3Yns8cTA0cRZ53TQzANcYM;53.1286842,17.9984627
Organizacja wycieczki lub rajdu dla Klubu Krajoznawczego - RPK PTTK Bydgoszcz;;;Henryka Sienkiewicza 1/I, 85-037 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf3Yns8cTA0cRZ53TQzANcYM;53.1286842,17.9984627
Zdobycie dowolnego stopnia odznaki regionalnej prowadzonej przez nasz oddział (Młody Turysta Bydgoszczy, Przyjaciel Bydgoszczy, Miłośnik Brdy, Wędrownik Kujaw i Pomorza, Śladami Mennonitów w Polsce.;;;Lipowa 12-14/1, 62-800 Kalisz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHUNiw4oYcEERL6tjHT5ARvU;51.75558969999999,18.0840436
Przekazanie w formie darowizny wydawnictwa (książka, mapa, DVD itp.) o tematyce turystyczno-krajoznawczej do RPK PTTK Bydgoszcz;;;Henryka Sienkiewicza 1/I, 85-037 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf3Yns8cTA0cRZ53TQzANcYM;53.1286842,17.9984627
Wypożyczenie pozycji z księgozbioru RPK PTTK Bydgoszcz (członkowie PTTK);;;Henryka Sienkiewicza 1/I, 85-037 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf3Yns8cTA0cRZ53TQzANcYM;53.1286842,17.9984627
Korzystanie z księgozbioru na miejscu;;;Dobra 56/66, 00-312 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhVL4alzMHkcRKga7oYwiso4;52.2425648,21.0247693
Przekazanie do zbiorów RPK PTTK Bydgoszcz zdjęcia (swojego autorstwa) o tematyce krajoznawczej z terenu naszego województwa (wymagane oświadczenie autora);;;Henryka Sienkiewicza 1/I, 85-037 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf3Yns8cTA0cRZ53TQzANcYM;53.1286842,17.9984627
Przekazanie do zbiorów RPK PTTK Bydgoszcz zdjęcia (swojego autorstwa) przedstawiającego obiekt z kanonów odznak prowadzonych przez nasz oddział (wymagane oświadczenie autora);;;Henryka Sienkiewicza 1/I, 85-037 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf3Yns8cTA0cRZ53TQzANcYM;53.1286842,17.9984627
Przekazanie do zbiorów RPK PTTK Bydgoszcz zdjęcia (swojego autorstwa) o tematyce krajoznawczej z terenu pozostałych województw (wymagane oświadczenie autora);;;Henryka Sienkiewicza 1/I, 85-037 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf3Yns8cTA0cRZ53TQzANcYM;53.1286842,17.9984627
