nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Nowe Warpno;;;72-022 Nowe Warpno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJEbToIzpoqkcRt9fnU1ZxeB0;53.7222428,14.2891772
Kamień Pomorski;;;Kamień Pomorski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJzWmPORqEqkcRT4kGQ3MkIM0;53.9667104,14.7708431
Kołobrzeg;;;Kołobrzeg, Polska;https://www.google.com/maps/place/?q=place_id:ChIJH1fCLJgVAEcRDcAU_5wCqzQ;54.17591729999999,15.5832667
Stargard Szczeciński;;;Stargard, Polska;https://www.google.com/maps/place/?q=place_id:ChIJx-x1zGK3AEcRJ3MKvFdRVjo;53.3364746,15.0503771
Gdańsk;;;Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb_rUFBxz_UYRjb63Y_H7uZs;54.35202520000001,18.6466384
Toruń;;;Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGeyU2eE0A0cRxIlqWJpySnQ;53.0137902,18.5984437
Chełmno;;;Chełmno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ75bbtGLfAkcRS03MZULwB_A;53.34842,18.4249899
Orneta;;;Orneta, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9YxgGe6U4kYRQrXj92ba2VU;54.11537999999999,20.1302301
Morąg;;;14-300 Morąg, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMY0nis2Y4kYRkR7T01W8dz0;53.9160398,19.9279337
Białystok;;;Białystok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHZdBjwT8H0cRLHvwi8x9MXI;53.13248859999999,23.1688403
Zielona Góra;;;Zielona Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJySR0XNkTBkcRPTZYpkOSRQ0;51.9356214,15.5061862
Lubsko;;;Lubsko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ23jtA1AoBkcRJ-kb4WbwDVc;51.78437100000001,14.9719305
Poznań;;;Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtwrh7NJEBEcR0b80A5gx6qQ;52.40567859999999,16.9312766
Leszno;;;Leszno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ08RNkSaYBUcRIaPHkW7TSBs;51.8419861,16.5937545
Sulmierzyce;;;Sulmierzyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJY4h-4cQIGkcRptlsZQLL8Ko;51.1852442,19.1911952
Warszawa;;;Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAZ-GmmbMHkcR_NPqiCq-8HI;52.2296756,21.0122287
Siedlce;;;Siedlce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZfBw9k1aH0cRvirnnqB2zEg;52.1676031,22.2901645
Szydłowiec;;;Szydłowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTyYIio1IGEcRnbk95QL4oOE;51.2279908,20.8611466
Sandomierz;;;Sandomierz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJp0gk8Ae1IkcR58h5ymGZEB8;50.6822405,21.7501781
Zamość;;;22-400 Zamość, Polska;https://www.google.com/maps/place/?q=place_id:ChIJd9IR2q1nI0cRgKX4ApJFALo;50.7230879,23.2519685
Lublin;;;Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYUAVHhRXIkcRX-no9nruKFU;51.2509458,22.5747275
Bolesławiec;;;59-700 Bolesławiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrzgwDTs0D0cRonh00IwO_I0;51.2658553,15.5657397
Gryfów Śląski;;;59-620 Gryfów Śląski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPaUWXUcqD0cREa1cUkJ0wYI;51.0350353,15.4122128
Lwówek Śląski;;;Lwówek Śląski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbQxhuZovD0cR2kan6Do3Blo;51.1095792,15.5905136
Jelenia Góra;;;Jelenia Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2Uz1uTveDkcRvM8qEkeNFQw;50.9034749,15.731654
