nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Dawne kino Kosmos w Szczecinie;;;al. Wojska Polskiego 8, 70-471 Szczecin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJH7inoRcJqkcRBG1pbqNXcTw;53.4268791,14.5446776
Dworzec Gdynia Główna w Gdyni;;;plac Konstytucji, 81-001 Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJz0I0YACn_UYRGFvX-65_-FM;54.5215061,18.5301359
Falowiec przy ul. Obrońców Wybrzeża w Gdańsku;;;Obrońców Wybrzeża 4/10, 80-398 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJw6BZjSkL_UYRTrrKjzWXDfA;54.4085629,18.5971416
Budynek Uniwersytetu w Białymstoku;;;Świerkowa 20B, 15-328 Białystok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpb9i8AP8H0cRwqUNcG9hNz8;53.1154192,23.1484361
Wojewódzki Ośrodek Animacji Kultury w Białymstoku;;;Tadeusza Kościuszki 75/77, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJARXOs-E0A0cR6bAmpFfSwgw;53.0253014,18.62762
Okrąglak w Poznaniu;;;Okrąglak, Mielżyńskiego, 61-725 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQ8RqtjdbBEcR0F5ElVm55tM;52.4084399,16.9222608
Wieżowce Alfy w Poznaniu;;;;NOT_FOUND;
Collegium Historicum Uniwersytetu im. Adama Mickiewicza w Poznaniu;;;Uniwersytetu Poznańskiego 7, 61-614 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSSrgICJDBEcRzWP13H9OMX8;52.4667683,16.9208514
Akademia Wychowania Fizycznego i Politechnika Poznańska w Poznaniu;;;Królowej Jadwigi 27/39, 61-871 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgXa1ST1bBEcR1_-jSfTeRUY;52.3989542,16.9331725
Hotel Mercure w Poznaniu;;;Franklina Roosevelta 20, 60-829 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6TmG5DRbBEcRM1rVX4dkMEY;52.40849859999999,16.911609
Sąd Okręgowy w Poznaniu;;;Stanisława Hejmowskiego 2, 61-736 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJj68RyUdbBEcREZULQH-oshs;52.4138096,16.9283224
Dworzec Centralny w Warszawie;;;Al. Jerozolimskie 54, 00-019 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWTUjZY3MHkcR2U7HZ_LJC-s;52.22884,21.00327
Pałac Kultury i Nauki w Warszawie;;;pl. Defilad 1, 00-901 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSS5pkozMHkcRwi0fMeV66cI;52.231838,21.005995
Ściana Wschodnia i Rotunda PKO w Warszawie;;;Marszałkowska 100/102, 00-026 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJz19SdfPMHkcRD2dcfszVSy4;52.2303788,21.0121324
Centrum Bankowo-Finansowe „Nowy Świat” w Warszawie;;;"Nowy Świat 6/12 Wejście ""C, 00-400 Warszawa, Polska";https://www.google.com/maps/place/?q=place_id:ChIJkZ7UIffMHkcRaalH-GFQnCo;52.2312539,21.0218474
Ministerstwo Finansów w Warszawie;;;Świętokrzyska 12, 00-916 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZVy17F_MHkcRy3HPIDE4KD0;52.2376655,21.01595
Marszałkowska Dzielnica Mieszkaniowa w Warszawie;;;plac Zbawiciela, 00-642 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJxdT9_OXMHkcR53o82iE8bmc;52.2198437,21.0179561
Ministerstwo Rolnictwa i Rozwoju Wsi w Warszawie;;;Wspólna 30, 00-930 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ8RVYgvHMHkcRbBZIGGfGcfE;52.227869,21.016251
Dom towarowy Smyk w Warszawie;;;Interparking CEDET, Krucza 50, 00-025 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq6qqqvXMHkcR1k_2J13YOjs;52.23113739999999,21.0169465
Sejm Rzeczypospolitej Polskiej w Warszawie;;;Wiejska 4/6/8, 00-902 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9WvnbPvMHkcRUp0fXBEjK0E;52.2252964,21.0281277
Ufficio Primo w Warszawie;;;Wspólna 62, 00-684 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSb1xf-3MHkcRAb-XOY-Y14U;52.2265144,21.0091689
Biblioteka Uniwersytetu Łódzkiego w Łodzi;;;Jana Matejki 32/38, 90-237 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJv8xSwDvLG0cRZwVugi6KEUY;51.7746637,19.4868601
Biurowiec przy ul. Sienkiewicza w Łodzi;;;Henryka Sienkiewicza 82/84, 90-318 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJv3xdkNE0GkcRzuAEvwhlC6w;51.75703300000001,19.4639004
Sąd Rejonowy dla Łodzi-Śródmieścia w Łodzi;;;al. Tadeusza Kościuszki 107/109, 90-928 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0WeS_NY0GkcRnBLgWqLXhOc;51.7569347,19.45598
Osiedle na Bałutach w Łodzi;;;Bałuty, Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJz2_YFHvKG0cRqZRWyGQ2WTA;51.8064416,19.460037
Dworzec autobusowy w Kielcach;;;Czarnowska 12, 25-504 Kielce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJDxXcLeknGEcRPHIFnfN4la0;50.875787,20.621807
Iglica we Wrocławiu;;;Wystawowa 1, 51-618 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ79xotyfoD0cRlykMYR5sUyI;51.10755,17.075412
