nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Muzeum Wsi Słowińskiej w Klukach;;;Kluki 27, 76-214 Kluki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJy-cxfeJz_kYRFWWlv6-aJEY;54.6820433,17.3332051
Muzealna Zagroda Albrechta w Swołowie;;;Swołowo 8, 76-206 Swołowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOYRiOGYj_kYRhb6qO-2_C1o;54.4776852,16.8389117
Muzeum – Kaszubski Park Etnograficzny im. Teodory i Izydora Gulgowskich we Wdzydzach Kiszewskich;;;Teodory i Izydora Gulgowskich 68, 83-406 Wdzydze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5QFp1mFwAkcRerCVnVrzlzg;54.0108498,17.9441272
Muzeum Kultury Ludowej w Osieku nad Notecią;;;Dworcowa 12, 89-333 Osiek nad Notecią, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjfQkRfyWA0cRNolZ_Mz-A5o;53.1218918,17.3013235
Muzeum Etnograficzne w Toruniu (Ekspozycja w Centrum i Ekspozycja w Kaszczorku);;;Wały Generała Władysława Sikorskiego 19, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJi0_pW-I0A0cRR_735X21Fxs;53.0139766,18.6043118
Kujawsko-Dobrzyński Park Etnograficzny w Kłóbce;;;87-840 Kłóbka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0TEsWI58G0cRSJ_SnWDCE_Q;52.4503219,19.126109
Muzeum Etnograficzne w Zielonej Górze z siedzibą w Ochli;;;Ochla-Muzealna 5, 66-006 Zielona Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1UTRKeoQBkcR5wGHlkox46Q;51.8919291,15.4705473
Skansen Budownictwa Ludowego Zachodniej Wielkopolski w Wolsztynie;;;Bohaterów Bielnika 26, 64-200 Wolsztyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJA_hej6XQBUcRWnvYnD4MSx8;52.1202626,16.101789
Wielkopolski Park Etnograficzny w Dziekanowicach;;;Dziekanowice 23, 62-261 Lednogóra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJsUnzTXKMBEcRN8xdNJ-o-Po;52.5133154,17.3839142
Muzeum Budownictwa Ludowego – Park Etnograficzny w Olsztynku;;;Leśna 23, 11-015 Olsztynek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJkQnTTySDHUcRtPM2QfBlJ4g;53.5902975,20.2895324
Białostockie Muzeum Wsi w Osowiczach;;;Leśna 7, 16-010 Wasilków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJu6PHjq79H0cRNjIQKI8eDHk;53.1764427,23.1488688
Muzeum Rolnictwa im. ks. Krzysztofa Kluka w Ciechanowcu;;;Pałacowa 5, 18-230 Ciechanowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJV7h6dCecH0cRIlKf7olF7K4;52.68351209999999,22.4870081
Skansen Kurpiowski im. Adama Chętnika w Nowogrodzie i Zagroda Kurpiowska w Kadzidle;;;Zamkowa 25, 18-414 Nowogród, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-ckLGkU6HkcRqAXM8yBaK-8;53.2278426,21.875643
Muzeum Wsi Mazowieckiej w Sierpcu;;;Gabriela Narutowicza 64, 09-200 Sierpc, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvwv-RGhfHEcRQYSmHKKL1ig;52.8630732,19.6310486
Skansen w Maurzycach i Muzeum w Łowiczu;;;99-440 Maurzyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJC9_mitXuG0cRfTc1QolEO7Q;52.13776739999999,19.8674154
Muzeum Wsi Radomskiej w Radomiu;;;Szydłowiecka 30, 26-616 Radom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVdb68MFbGEcRJU_USGJuVQM;51.3678327,21.0822983
Muzeum Wsi Lubelskiej w Lublinie;;;al. Warszawska 96, 20-824 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTZgujb1ZIkcRPzmUUeif6MQ;51.2621088,22.5064248
Muzeum Wsi Kieleckiej w Tokarni;;;Krakowska 109, 26-060 Tokarnia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJiUCMb52GF0cR0Zbz38l4rYk;50.7625015,20.437501
Muzeum Kultury Ludowej Pogórza Sudeckiego w Kudowie-Zdroju;;;Pstrążna 14, 57-350 Kudowa-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWXybY75oDkcRkgMoy7pT5Hg;50.4745834,16.2596062
Muzeum Wsi Opolskiej w Opolu;;;Wrocławska 174, 45-835 Opole, Polska;https://www.google.com/maps/place/?q=place_id:ChIJt-lHZoBSEEcRxniUT_qH5jE;50.681932,17.8600248
Górnośląski Park Etnograficzny w Chorzowie;;;Parkowa 25, 41-500 Chorzów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJd9bZjQvSFkcRAC4Ma3aUTJ0;50.2910605,18.9710593
Muzeum – Nadwiślański Park Etnograficzny w Wygiełzowie i Zamek Lipowiec;;;Podzamcze 1, 32-551 Wygiełzów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyVkHOrPuFkcRwE43L2v2Hxg;50.0750244,19.4406848
Skansen Wsi Pogórzańskiej im. prof.. Romana Reinfussa w Szymbarku;;;38-311 Szymbark, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVVVVlYrEPUcRqgqb8UtdBkw;49.6223644,21.0947317
