nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Baranów Sandomierski;;;Baranów Sandomierski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJD2e4IhVGPUcRUWOOKfs9nKE;50.498985,21.5417402
Biała Podlaska;;;21-500 Biała Podlaska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJV2mmWyaRIUcRk-B-PX6DbVk;52.0338207,23.1202175
Biała Podlaska;;;21-500 Biała Podlaska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJV2mmWyaRIUcRk-B-PX6DbVk;52.0338207,23.1202175
Borowica;;;22-351 Borowica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJuc38RXUKI0cRLAwq2RKnvIo;51.0684891,23.12626
Chełm;;;Chełm, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ36UeUliaI0cR9vky0FB9vlI;51.1431232,23.4711986
Chełm;;;Chełm, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ36UeUliaI0cR9vky0FB9vlI;51.1431232,23.4711986
Chełm;;;Chełm, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ36UeUliaI0cR9vky0FB9vlI;51.1431232,23.4711986
Chodlik;;;Chodlik, Polska;https://www.google.com/maps/place/?q=place_id:ChIJd4qFJeWFIkcRFcqYKoR5inM;51.2119994,21.9301125
Czemierniki;;;Czemierniki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2WJyUAo9IkcROCnN-HWGDiU;51.6726476,22.6385451
Gołąb;;;24-100 Gołąb, Polska;https://www.google.com/maps/place/?q=place_id:ChIJn2kGH7eCGEcRojvuYasW18k;51.4874297,21.8761824
Górzno;;;Górzno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJiblBdd8CHUcRLgoq7KiaJ_4;53.1980031,19.6444061
Gródek;;;Gródek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJx8bttjIIIEcRaqPfZHEIKKg;53.0955034,23.6595152
Hrebenne;;;Hrebenne, Polska;https://www.google.com/maps/place/?q=place_id:ChIJoX06sie1JEcRjjvJ-wAr8as;50.2814381,23.5813745
Huszlew;;;08-206 Huszlew, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-3zQeQ7pIUcRVHQQERCdbIU;52.1373793,22.8399361
Jabłeczna;;;21-526 Jabłeczna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJdbxAmNNkIUcR2qFXimIuLF8;51.8065758,23.599393
