nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
BIELAWA - Ławeczka Eleni Tzoka;;;Wolności 109, 58-260 Bielawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfVcimdU3DkcRv6_2gFbLDiA;50.6882503,16.6209751
DŁUGOPOLE-ZDRÓJ - Ławeczka Kuracjuszki;;;Wolna 8, 57-520 Długopole-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJsVN4euQFDkcRvoYMpPpyqzw;50.2460113,16.6321873
GŁOGÓW - Ławeczka Jana z Głogowa;;;67-210 Głogów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyxKBphD0BUcRyMMqAZY8RLk;51.6652131,16.0861285
JEDLINA ZDRÓJ - Ławeczka Charlotty von Seker-Thoss;;;plac Zdrojowy, 58-330 Jedlina-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1_GK1LZRDkcR28ekZgPCJiI;50.728341,16.345277
JEDLINA ZDRÓJ - Ławeczka Józefa Piłsudskiego;;;Akacjowa, 58-330 Jedlina-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRUy0ykZQDkcRY1YakrZaU5c;50.7250106,16.3479999
KUDOWA-ZDRÓJ - Ławeczka Ogrodnika;;;Zdrojowa 43A, 57-350 Kudowa-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJi_JxGEdvDkcRF-cQhbfXRxw;50.4432677,16.2441454
OLEŚNICA - Ławeczka Dziewczyny z Różą;;;Rynek, 56-400 Oleśnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQYc5Y-DiD0cR6Hy0cW4t8xs;51.2094645,17.3795597
POLANICA ZDRÓJ - Pomnik Akiry Rubinsteina;;;57-320 Polanica-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAXYC_KATDkcR8Q7xcVX1oqo;50.408503,16.5093415
POLKOWICE - Ławeczka Górnika;;;Rynek, 59-100 Polkowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbyJh29pdD0cRtRtE8THInhA;51.5034568,16.0678174
SREBRNA GÓRA - Pomnik żołnierza epoki napoleońskiej;;;Letnia 26, 57-215 Srebrna Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO69BDN45DkcRK-X5Kx_WLD4;50.5753502,16.6564856
