nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
"Krojanty koło Chojnic – pomnik oraz kamień pamiątkowy na polu szarży w dniu 1 września 1939 roku;";;;Pole Szarży, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQfPHWDxEAkcRTI4cd_4HkqM;53.7185441,17.6459071
"Grudziądz – Cytadela – miejsce stacjonowania Pułku w latach 1923–1939 (zwiedzenie przynajmniej z zewnątrz);";;;Czwartaków 1, 86-302 Grudziądz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJG6_8YZjPAkcRkb5MjAm7jZc;53.5132014,18.7620407
Nowa Cerkiew koło Chojnic – Sala Tradycji 18. Pułku Ułanów Pomorskich (w Szkole Podstawowej) lub Grudziądz – Sala Tradycji Jazdy Polskiej (w Pałacu Opatek przy ul. Klasztornej).;;;Szkolna 11, 89-620 Nowa Cerkiew, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpeGqloBC_UYRMWLFPWiH7pE;53.7035537,17.6842422
Poznań – miejsce utworzenia Pułku w 1919 roku w ramach Wojsk Wielkopolskich;;;Stary Rynek 3, 61-772 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJI4_hV0dbBEcRukdUeHznrMc;52.4082734,16.9331544
"Odzyskanie Pomorza – rok 1920: Gniewkowo, Inowrocław, Toruń;";;;;NOT_FOUND;
Gniewkowo,;;;88-140 Gniewkowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb0dtPK5OA0cRvjWux-8nBv4;52.89463,18.40746
Inowrocław,;;;Inowrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWcpK15JQA0cRftP92xBElJw;52.7993317,18.2562032
"Toruń;";;;Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGeyU2eE0A0cRxIlqWJpySnQ;53.0137902,18.5984437
"Front północno-wschodni (litewski) – rok 1920: Miory, Nowe Kruki, Wianuża, Denisowo;";;;;NOT_FOUND;
Miory,;;;Miory, Obwód witebski, Białoruś;https://www.google.com/maps/place/?q=place_id:ChIJ3SrIeroVw0YRFgApeUpf9Kg;55.620091,27.6255021
Nowe Kruki,;;;plac Hallera 8, 03-464 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ8Qt5SzjNHkcRa-f7H4mePbc;52.2603313,21.0298321
Wianuża,;;;;NOT_FOUND;
"Denisowo;";;;09-454 Daniszewo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJebn89HARHEcRHwlA5b9QTuE;52.5831104,20.147039
"Bitwa nad Niemnem – rok 1920: Nowy Dwór, Wiśniówka, Krzesła, Klepacze, Skrobów, Tołkaczew, Szack;";;;;NOT_FOUND;
Nowy Dwór,;;;Nowy Dwór, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4amS7gFx4EYRNrhTryS1O_0;53.6311311,23.5438468
Wiśniówka,;;;Wiśniówka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqesvFgsmGEcRVQ0h3OALgmU;50.9325871,20.674828
Krzesła,;;;Ostródzka 53, 03-289 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrUh6ncXOHkcRnl0Dlc5vymE;52.3051816,21.0513312
