nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Bardo;Województwo dolnośląskie;;Bardo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIwq6VskiDkcRhHSiqx5oGWk;50.5058739,16.7399387
Bierutów;Województwo dolnośląskie;;Bierutów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjSRvdd0bEEcRHYMbjgN-VwA;51.12556130000001,17.5476492
Biestrzyków;Województwo dolnośląskie;;55-010 Biestrzyków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJR9Exv2XDD0cRvVkD8YIPz5A;51.0340665,17.03717
Bobrów;Województwo dolnośląskie;;Bobrów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJC2L2ok3hDkcRmOVRpVLKyZM;50.8780222,15.8503406
Bobrzany;Województwo dolnośląskie;;67-320 Bobrzany, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9esEqdauCEcRV4iMV5EZLCs;51.5874427,15.4660405
Bogatynia;Województwo dolnośląskie;;Bogatynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJiYSRcu0kCUcRiy98duMo1EE;50.9072496,14.9561498
Bolczów [patrz Janowice Wielkie];Województwo dolnośląskie;;Zamkowa 16, 58-520 Janowice Wielkie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc9kHbXbjDkcRuycYDhCFOCo;50.8607536,15.9118292
Bolków;Województwo dolnośląskie;;Bolków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJedCroRQCD0cR_qrzOGh5euo;50.92449999999999,16.1037801
Borzygniew;Województwo dolnośląskie;;55-081 Borzygniew, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9Q-21sOwD0cRgkEUsNQx1gk;50.9713603,16.624062
Chałupki;Województwo dolnośląskie;;Chałupki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQ2l9AGXfEUcRiCrOh1Df96g;50.4886098,16.9955422
Chobienia;Województwo dolnośląskie;;Chobienia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJC9iyxX6HBUcRsdO5mrR87TM;51.5433741,16.4481859
Chocianowiec;Województwo dolnośląskie;;59-140 Chocianowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJiagYSKRDD0cRInsAMw6Xto8;51.3905282,15.9491122
Chocianów;Województwo dolnośląskie;;Chocianów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ31y-EJFED0cRmxfzMU5cZ5c;51.41724,15.90438
Chojnik [patrz Sobieszów];Województwo dolnośląskie;;Zamek Chojnik, 58-570 Jelenia Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2w3DVlbcDkcRA-Tjug3EeC4;50.8339331,15.6442416
Chojnów;Województwo dolnośląskie;;Chojnów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2fjF6gpAD0cRFWiFPIiS7tM;51.2732,15.93648
Ciepłowody;Województwo dolnośląskie;;57-211 Ciepłowody, Polska;https://www.google.com/maps/place/?q=place_id:ChIJoekGKlkuDkcRRpm8biRrA5w;50.6745982,16.9086948
