nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Gdańsk – Akademia Sztuk Pięknych, ul. Targ Węglowy 6.;Akademie Sztuk Pięknych;;Targ Węglowy 6, 80-836 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9fvTN55z_UYRGkWhMcqjlLI;54.3506444,18.6489861
Katowice – Akademia Sztuk Pięknych, ul. Raciborska 37.;Akademie Sztuk Pięknych;;Raciborska 37, 40-074 Katowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJczc1ckLOFkcRTenNsLlMf0g;50.2548693,19.0020958
Kraków – Akademia Sztuk Pięknych im. Jana Matejki, pl. Jana Matejki 13.;Akademie Sztuk Pięknych;;plac Jana Matejki 13, 31-157 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJh7erqhpbFkcRgo4BPCEsJ34;50.0662258,19.9416155
Łódź – Akademia Sztuk Pięknych im. Władysława Strzemińskiego (d. Państwowa Wyższa Szkoła Sztuk Plastycznych), ul. Wojska Polskiego 121.;Akademie Sztuk Pięknych;;Wojska Polskiego 121, 91-726 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ93ZO9xvLG0cRhb6HHF1oS7s;51.7885809,19.4832827
Poznań – Akademia Sztuk Pięknych, al. Marcinkowskiego 29.;Akademie Sztuk Pięknych;;Aleje Karola Marcinkowskiego 29, 60-967 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJe0yzlEdbBEcR4s7T9XL5pyQ;52.4100522,16.9287566
Warszawa – Akademia Sztuk Pięknych (najstarsza wyższa uczelnia artystyczna w Polsce), ul. Krakowskie Przedmieście 5.;Akademie Sztuk Pięknych;;Krakowskie Przedmieście 5, 00-068 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJLzAMf2DMHkcR5qCqT76Dq9M;52.2394019,21.0150792
Wrocław – Akademia Sztuk Pięknych im. Eugeniusza Gepperta, ul. Plac Polski 3/4.;Akademie Sztuk Pięknych;;plac Polski 3/4, 50-156 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJsS9LHtjpD0cRAdGoq0dWdM0;51.1114129,17.0433181
Gdańsk – Akademia Medyczna (najstarsza samodzielna wyższa uczelnia medyczna w Polsce), ul. Marii Skłodowskiej-Curie 3A.;Akademie medyczne;;Marii Skłodowskiej-Curie 3a, 80-210 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTxJ1TX1z_UYR0wIqLiwcOWs;54.3659002,18.6228077
Szczecin – Pomorska Akademia Medyczna, ul. Rybacka 1.;Akademie medyczne;;Rybacka 1, 70-204 Szczecin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGdQwsRoJqkcRzOn0HOGf3UI;53.4230157,14.5543878
Wrocław – Akademia Medyczna im. Piastów Śląskich, ul. Pasteura 1.;Akademie medyczne;;Rektorat, wybrzeże Ludwika Pasteura 1, 50-367 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1QKnqCnoD0cRTcuhNj4QKhE;51.1117344,17.0680678
Bydgoszcz – Akademia Muzyczna im. Feliksa Nowowiejskiego, ul. Juliusza Słowackiego 7.;Akademie muzyczne;;prof. Jerzego Godziszewskiego 1, 85-075 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUfhq88ATA0cRtQx6wUDPJDo;53.1364241,18.0192081
Gdańsk – Akademia Muzyczna im. Stanisława Moniuszki, ul. Łąkowa 1/2.;Akademie muzyczne;;Łąkowa 1-2, 80-743 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJl6u-iaZz_UYRkN-eP7TF14I;54.3461922,18.6635292
Katowice – Akademia Muzyczna im. Karola Szymanowskiego, ul. Zacisze 3.;Akademie muzyczne;;Zacisze 3, 40-025 Katowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0zJo9ErOFkcRfmmYI0_ArEQ;50.2554259,19.0301245
Kraków – Akademia Muzyczna, ul. Św. Tomasza 43.;Akademie muzyczne;;Św. Tomasza 43, 31-027 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJe_JechFbFkcRcEqR0Ky8DwA;50.0617184,19.9432165
Łódź – Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów, ul. Gdańska 32.;Akademie muzyczne;;Gdańska 32, 90-716 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgTG0mdHKG0cRSZVL_eIiQ2E;51.773047,19.448571
Poznań – Akademia Muzyczna im. Ignacego Jana Paderewskiego, ul. Święty Marcin 87.;Akademie muzyczne;;Święty Marcin 87, 61-808 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJuwIvJTRbBEcRjyV5gMYfzyE;52.4071972,16.9163215
Wrocław – Akademia Muzyczna im. Karola Lipińskiego, pl. Jana Pawła II 2.;Akademie muzyczne;;plac Jana Pawła II nr 2, 50-043 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvRnxOwrCD0cR9Esn2aXoBfs;51.1111519,17.0213048
Częstochowa – Akademia im. Jana Długosza, ul. Jerzego Waszyngtona 4/8.;Akademie pedagogiczne;;Jerzego Waszyngtona 4/8, 42-200 Częstochowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGUbelNq1EEcRtrN4EXlGYMk;50.810087,19.116269
Siedlce – Akademia Podlaska, ul. Stanisława Konarskiego 2.;Akademie pedagogiczne;;Stanisława Konarskiego 2, 08-110 Siedlce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJe9kXsrJbH0cR4RmYuso3GQY;52.1696246,22.2842718
Słupsk – Akademia Pomorska (d. Pomorska Akademia Pedagogiczna), ul. Arciszewskiego 22A.;Akademie pedagogiczne;;Krzysztofa Arciszewskiego 22A, 76-200 Słupsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbaA3WnEa_kYRBlNEnqg7AE8;54.4525039,17.042463
Warszawa – Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej (najstarsza uczelnia pedagogiczna w Polsce), ul. Szczęśliwicka 40.;Akademie pedagogiczne;;Szczęśliwicka 40, 02-353 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJWJjq6bMHkcR6K64T4gVolc;52.217093,20.9707995
Gdynia – Akademia Marynarki Wojennej im. Bohaterów Westerplatte, ul. Śmidowicza 69.;Akademie wojskowe;;Inżyniera Jana Śmidowicza 69, 81-127 Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs0BkOgKn_UYRsd2ztX3RRGE;54.5429687,18.5461962
Warszawa – Akademia Obrony Narodowej, al. gen. Antoniego „Montera” Chruściela 103.;Akademie wojskowe;;Aleja Generała Antoniego Chruściela „Montera” 103, 00-910 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJuT5a9-zRHkcRHUvLc2i6Ssw;52.2679992,21.1740083
Warszawa – Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego (WAT), ul. gen. Sylwestra Kaliskiego 2.;Akademie wojskowe;;gen. Sylwestra Kaliskiego 2, 00-908 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJn4Q4zGrLHkcRhsxqATdHRyM;52.25316249999999,20.8996832
Gdańsk – Akademia Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego, ul. Kazimierza Górskiego 1.;Akademie wychowania fizycznego;;Kazimierza Górskiego 1, 80-336 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYTk5fM6g_UYRxOOAB-sQObI;54.41995900000001,18.5625195
Katowice – Akademia Wychowania Fizycznego im. Jerzego Kukuczki, ul. Mikołowska 72A.;Akademie wychowania fizycznego;;Mikołowska 72A, 40-065 Katowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGcLLp1zOFkcRnubDlwT3feM;50.2499639,19.0037803
Kraków – Akademia Wychowania Fizycznego im. Bronisława Czecha, al. Jana Pawła II 78.;Akademie wychowania fizycznego;;al. Jana Pawła II 78, 31-571 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7wzwaixFFkcRGlIEcenKFQs;50.0725854,20.0006913
Poznań – Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego, ul. Królowej Jadwigi 27/39.;Akademie wychowania fizycznego;;Królowej Jadwigi 27/39, 61-871 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgXa1ST1bBEcR1_-jSfTeRUY;52.3989542,16.9331725
Warszawa – Akademia Wychowania Fizycznego Józefa Piłsudskiego, ul. Marymoncka 34.;Akademie wychowania fizycznego;;Marymoncka 34, 00-968 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr5zEm9TLHkcRfswjfPGCwyg;52.285264,20.958769
Wrocław – Akademia Wychowania Fizycznego, al. Ignacego Jana Paderewskiego 35.;Akademie wychowania fizycznego;;al Ignacego Jana Paderewskiego 35, 51-612 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVyMpSDzoD0cR0qS46zVY9nA;51.1140988,17.0941246
Bielsko-Biała – Akademia Techniczno-Humanistyczna (ATH), ul. Willowa 2.;Inne akademie;;Willowa 2, 43-300 Bielsko-Biała, Polska;https://www.google.com/maps/place/?q=place_id:ChIJlyuGp8CfFkcRz574zuL5WKs;49.7832302,19.0577378
Gdynia – Akademia Morska, ul. Morska 81-87.;Inne akademie;;Morska 81/87, 81-225 Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1wxF7cOm_UYRDKb0DtJGWu0;54.52646069999999,18.5116564
Katowice – Akademia Ekonomiczna im. Karola Adamieckiego, ul. 1 Maja 50.;Inne akademie;;1 Maja 50, 40-287 Katowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJH036Z8nPFkcRwQvcATyAJg8;50.2584208,19.0447436
Kraków – Akademia Górniczo-Hutnicza im. Stanisława Staszica (AGH), al. Adama Mickiewicza 30.;Inne akademie;;al. Adama Mickiewicza 30, 30-059 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIZu1VqdbFkcR0RezIbqNDLI;50.06448229999999,19.9232752
Kraków – Papieska Akademia Teologiczna (PAT), ul. Kanonicza 25.;Inne akademie;;Kanonicza 25, 31-002 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAQK5zxJbFkcRSBImvgyn87I;50.05558079999999,19.9366751
Szczecin – Akademia Morska, ul. Wały Chrobrego 1-2.;Inne akademie;;Wały Chrobrego 1/2, 70-500 Szczecin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-5Nyng4JqkcR4WMpp5S_mNE;53.42887109999999,14.5636405
Warszawa – Akademia Teatralna im. Aleksandra Zelwerowicza, ul. Miodowa 22/24.;Inne akademie;;Miodowa 22/24, 00-246 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq5wCamXMHkcRXj1xNVk16qs;52.2483772,21.0071314
Warszawa – Chrześcijańska Akademia Teologiczna (ChAT), ul. Miodowa 21C.;Inne akademie;;Miodowa 21C, 00-246 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ59syEWXMHkcRbKLH4UGCvMc;52.24763189999999,21.006964
Warszawa – Szkoła Główna Handlowa (d. SGPIS – najstarsza uczelnia ekonomiczna w Polsce), al. Niepodległości 162.;Inne akademie;;al. Niepodległości 162, 02-554 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_SJ_NdvMHkcRZdYYXWD2Q7E;52.2089374,21.0087369
Warszawa – Szkoła Główna Służby Pożarniczej (SGSP), ul. Juliusza Słowackiego 52/54.;Inne akademie;;Słowackiego 52/54, 01-629 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJU6oI0-vLHkcRuLDxJEe0rRs;52.2715554,20.9754119
