nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
pkt. - Wrocław,;;;Janiszewskiego 8, 50-372 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwS9_1yroD0cRQkfOFmVzXpc;51.1104224,17.0597113
pkt. - Bystrzyca Kłodzka, Kłodzko, Legnica, świdnica,;;;;NOT_FOUND;
pkt. - Bogatynia, Bolesławiec, Bolków, Chełmsko śląskie, Cieplice śląskie, Duszniki-Zdrój, Głogów, Gryfów, Jelenia Góra, Kamienna Góra, Krzeszów, Lubań, Lubawka, Lubomierz, Lwówek śląski, Oleśnica, Siedlęcin, Syców, świerzawa, Trzebnica, Wałbrzych, Wleń, Złotoryja,;;;;NOT_FOUND;
pkt. - Bardo śląskie, Bierutów, Chojnów, Dzierżoniów, Góra, Jawor, Kąty Wrocławskie, Lądek-Zdrój, Lubiąż, Lubin Legnicki, Międzylesie, Milicz, Niemcza, Oława, Prochowice, Radków, Rogoźnica, Sobótka, Strzegom, Strzelin, środa śląska, Wołów, Ząbkowice, Ziębice,;;;;NOT_FOUND;
pkt. - Toruń,;;;Generała Jana Henryka Dąbrowskiego 8/24, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1faFJ181A0cR5EoeW4c12zk;53.0155326,18.6081557
pkt. - Bydgoszcz, Chełmno, Grudziądz, Włocławek,;;;;NOT_FOUND;
pkt. - Biskupin, Brodnica, Ciechocinek, Kruszwica, Strzelno,;;;;NOT_FOUND;
pkt. - Brześć Kujawski, Chełmża, Golub-Dobrzyń, Inowrocław, Kcynia, Koronowo, Mogilno, Nieszawa, Nowe nad Wisłą, Radziejów, Radzyń Chełmiński, Rypin, świecie nad Wisłą, Unisław, Żnin,;;;;NOT_FOUND;
pkt. - Lublin,;;;plac Litewski, 20-080 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJE32UQ2hXIkcRGmXOS1ewLQI;51.2480985,22.559483
pkt. - Chełm, Kazimierz Dolny, Zamość,;;;;NOT_FOUND;
pkt. - Biała Podlaska, Kodeń, Janów Podlaski, Międzyrzec Podlaski, Radzyń Podlaski, Włodawa,;;;;NOT_FOUND;
pkt. - Hrubieszów, Janowiec, Janów Lubelski, Kock, Krasnystaw, Kraśnik, Lubartów, Łęczna, Nałęczów, Opole Lubelskie, Szczebrzeszyn, Tomaszów Lubelski, Zwierzyniec,;;;;NOT_FOUND;
pkt. -;;;;NOT_FOUND;
pkt. - Kożuchów, Zielona Góra,;;;;NOT_FOUND;
pkt. - Bytom Odrzański, Gorzów, Łagów Lubuski, Wschowa, Żagań,;;;;NOT_FOUND;
pkt. - Lubsko, Międzyrzecz, Nowa Sól, Ośno Lubuskie, Strzelce Krajeńskie, Sulechów, Szprotawa, świebodzin, Żary,;;;;NOT_FOUND;
pkt. -;;;;NOT_FOUND;
pkt. - Łęczyca, Łowicz, Łódź, Piotrków Trybunalski,;;;;NOT_FOUND;
pkt. - Arkadia - Nieborów, Opoczno, Sieradz, Skierniewice, Sulejów Podklasztorze, Wieluń,;;;;NOT_FOUND;
pkt. - Bełchatów, Brzeziny, Drzewica, Inowłódz, Łask, Oporów, Pabianice, Poddębice, Radomsko, Rawa Mazowiecka, Tomaszów Mazowiecki, Uniejów, Warta, Witów, Zgierz, Złoczew,;;;;NOT_FOUND;
pkt. - Kraków,;;;Szlak 5, 31-161 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJEV35VwZbFkcRHL5AbpFGpH0;50.0703787,19.9336114
pkt. - Biecz, Tarnów,;;;;NOT_FOUND;
pkt. - Igołomia, Kalwaria Zebrzydowska, Kęty, Lanckorona, Ojców, Oświęcim, Stary Sącz, Sucha Beskidzka, Wadowice, Wieliczka, Zator,;;;;NOT_FOUND;
pkt. - Alwernia, Bochnia, Ciężkowice, Dobczyce, Gorlice, Krynica, Krzeszowice, Lipnica Murowana, Miechów, Mogilany, Niepołomice, Nowy Sącz, Nowy Targ, Olkusz, Poronin, Rabka, Wiśnicz Nowy, Wojnicz, Zakliczyn, Zalipie, Zakopane, Zubrzyca,;;;;NOT_FOUND;
pkt. - Warszawa,;;;;NOT_FOUND;
pkt. - Ciechanów, Płock, Pułtusk, Siedlce,;;;;NOT_FOUND;
pkt. - Ostrołęka, Radom, Szydłowiec,;;;;NOT_FOUND;
pkt. - Czerwińsk, Gostynin, Góra Kalwaria, Iłża, Kozienice, Liw, Mordy, Myszyniec, Nowe Miasto nad Pilicą, Przasnysz, Przysucha, Radziejowice, Sochaczew, Warka, Węgrów, Zwoleń, Żyrardów,;;;;NOT_FOUND;
pkt. -;;;;NOT_FOUND;
pkt. - Brzeg, Nysa, Opole, Paczków,;;;;NOT_FOUND;
pkt. - Głogówek, Góra św. Anny, Namysłów, Otmuchów,;;;;NOT_FOUND;
pkt. - Biała, Byczyna, Czarnowąsy, Głubczyce, Głuchołazy, Grodków, Kietrz, Kluczbork, Kędzierzyn Koźle, Krapkowice, Lewin Brzeski, Niemodlin, Prószków, Prudnik, Olesno, Strzelce Opolskie,;;;;NOT_FOUND;
pkt. -;;;;NOT_FOUND;
pkt. - Jarosław, Przemyśl, Rzeszów,;;;;NOT_FOUND;
pkt. - Baranów Sandomierski, Krosno, Łańcut, Sanok,;;;;NOT_FOUND;
pkt. - Bircza, Brzozów, Dubiecko, Dukla, Głogów Małopolski, Jasło, Kolbuszowa, Krasiczyn, Lesko, Leżajsk, Lubaczów, Machów, Mielec, Nisko, Pruchnik, Przeworsk, Tarnobrzeg, Ulanów, Zagórz,;;;;NOT_FOUND;
pkt. -;;;;NOT_FOUND;
pkt. - Białystok;;;Aleja Tysiąclecia Państwa Polskiego 8, 15-111 Białystok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwVL1MZ39H0cRGi6hfmtSxVY;53.14972119999999,23.1581675
pkt. - Bielsk Podlaski, Ciechanowiec, Drohiczyn, Łomża, Suwałki, Tykocin,;;;;NOT_FOUND;
pkt. - Choroszcz, Nowogród nad Narwią, Sejny, Siemiatycze, Supraśl, Wizna,;;;;NOT_FOUND;
pkt. - Gdańsk;;;;NOT_FOUND;
pkt. - Gdynia, Malbork, Słupsk,;;;;NOT_FOUND;
pkt. - Chojnice, Kartuzy, Pelplin,;;;;NOT_FOUND;
pkt. - Bytów, Człuchów, Dzierzgoń, Gniew, Hel, Kluki, Kwidzyn, Lębork, Łeba, Puck, Skarszewy, Sławno, Sopot, Starogard Gdański, Sztum, Tczew, Waplewo Wielkie, Wdzydze, Wejherowo, Wiele,;;;;NOT_FOUND;
pkt. -;;;;NOT_FOUND;
pkt. - Cieszyn, Częstochowa, Racibórz,;;;;NOT_FOUND;
pkt. - Bielsko-Biała, Gliwice, Istebna, Katowice, Koniaków, Skoczów, Tarnowskie Góry, Żywiec,;;;;NOT_FOUND;
