nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
województwo dolnośląskie (57 obiektów);;;;NOT_FOUND;
Bartniki-Niwnice;;;Bartniki, Niwnice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGVNSpC8sD0cRQ0YomS81z34;51.1088868,15.4856413
Biały Kościół;;;57-100 Biały Kościół, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7ZzweXQrDkcRHTeeRImHpxY;50.7303247,17.036159
Brzeg Głogowski;;;Brzeg Głogowski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJT7COYY_5BUcRoyVYSlBcLKg;51.6973196,15.9153018
Głogów;;;Głogów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgetqeBn0BUcRpUUViGUBzt4;51.66358520000001,16.0846672
Głogów;;;Głogów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgetqeBn0BUcRpUUViGUBzt4;51.66358520000001,16.0846672
Głogów;;;Głogów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgetqeBn0BUcRpUUViGUBzt4;51.66358520000001,16.0846672
Głogów;;;Głogów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgetqeBn0BUcRpUUViGUBzt4;51.66358520000001,16.0846672
Gogołów;;;Gogołów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwUp0f3KuPUcRG7Rskya-tuc;49.8521601,21.5068832
Gościszów;;;Gościszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPX1SXXEtD0cRxUNoAemtfsA;51.1614332,15.4523742
Gościszów;;;Gościszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPX1SXXEtD0cRxUNoAemtfsA;51.1614332,15.4523742
Henryków;;;Henryków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJi92b6_8oDkcRe7UZHixPVTY;50.6554854,17.0117993
Jerzmanki;;;59-900 Jerzmanki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZ4A2W2LZCEcRXKirzh5V-W8;51.13270439999999,15.0704209
Kiełczyn;;;58-207 Kiełczyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-YDlZcFKDkcRByJfkDqNAKw;50.808257,16.6453287
Kondratów;;;Kondratów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJodzOhc0bD0cRLSW4N5Jb9vI;51.047507,15.9727028
Kościelniki Średnie;;;59-820 Kościelniki Średnie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ35GclPjUCEcRccki9bJdzPo;51.0654084,15.2908273
Legnica;;;Legnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwTdAEoUSD0cRouaIICEVjkM;51.2070067,16.1553231
Legnica;;;Legnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwTdAEoUSD0cRouaIICEVjkM;51.2070067,16.1553231
Lubiąż;;;Lubiąż, Polska;https://www.google.com/maps/place/?q=place_id:ChIJz4I59vt1D0cRBTICR93CaUQ;51.2761771,16.4579492
Lubiąż;;;Lubiąż, Polska;https://www.google.com/maps/place/?q=place_id:ChIJz4I59vt1D0cRBTICR93CaUQ;51.2761771,16.4579492
Lwówek Śląski;;;Lwówek Śląski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbQxhuZovD0cR2kan6Do3Blo;51.1095792,15.5905136
Nowy Kościół;;;Nowy Kościół, Polska;https://www.google.com/maps/place/?q=place_id:ChIJafIpGWIYD0cR9gyl4I_Q870;51.0768956,15.8660756
Pastuchów;;;Pastuchów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJlcOVOZuuD0cRYs0e14UIwU4;50.9477348,16.4380093
Pielgrzymka;;;Pielgrzymka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1bJMJtUiD0cRx8YsWK9J8KI;51.11490939999999,15.8136913
Płóczki Górne;;;59-600 Płóczki Górne, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPVq-neAuD0cRCb76C9A07ME;51.0822223,15.5334211
Proszków;;;Prószków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhZMbKz-sEUcRsjfBVJf78ag;50.57668289999999,17.8714069
Raciborowice Górne;;;Raciborowice Górne, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyd6EhUI6D0cRMccXf4HPsWo;51.18771100000001,15.6975015
Rokitnica;;;;NOT_FOUND;
Rokitnica;;;;NOT_FOUND;
Sędziszowa;;;59-540 Sędziszowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs4yiRskYD0cRszc0Eo18SDY;51.0262946,15.876093
Sobótka;;;Sobótka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtzllzoq1D0cRXH-Jo_l7aAs;50.89984,16.7445201
Sobótka;;;Sobótka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtzllzoq1D0cRXH-Jo_l7aAs;50.89984,16.7445201
Sokołowiec;;;Sokołowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO79CGwAiD0cRXazoV6WtZ08;51.04009689999999,15.8309077
Stary Zamek;;;55-050 Stary Zamek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ03xQqZjJD0cRB-XVPLWD5Mc;50.9304469,16.8110954
Stolec;;;Stolec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJY-gA8bQlDkcRAoq0uMyGhLs;50.5850471,16.8844522
Stronia;;;Stronia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXQtP57AcEEcRotoYbb7F8S8;51.1988476,17.5387808
Strzelin;;;57-100 Strzelin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJN2YMtsbUD0cRM4Iqv0dPBq8;50.78121669999999,17.0646124
Studniska Dolne;;;59-975 Studniska Dolne, Polska;https://www.google.com/maps/place/?q=place_id:ChIJte12AQrZCEcR2TkpoqBhbfs;51.10448969999999,15.0655822
Środa Śląska;;;Środa Śląska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUf7jzoaiD0cR0Cry6hIKd8c;51.1641896,16.5925834
Środa Śląska;;;Środa Śląska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUf7jzoaiD0cR0Cry6hIKd8c;51.1641896,16.5925834
Świerzawa;;;59-540 Świerzawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJySagZMkeD0cRE6wueNOBVtg;51.01404729999999,15.894809
Święta Katarzyna;;;26-010 Święta Katarzyna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJYxttQUiGEcR15kwxC1Faqw;50.9063685,20.8811294
Trójca;;;Trójca, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjWEcd1LaCEcRmeDPQEPfQeo;51.15868560000001,15.1008685
Trzebnica;;;Trzebnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJLdF4xFjyD0cR0rPmvN2Mo90;51.3104211,17.0632716
Tymowa;;;Tymowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJsaxieJCKPUcRLJ9sguQYgPI;49.85276280000001,20.6154297
Tyniec nad Ślęzą;;;Tyniec nad Ślęzą, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWR_WJmHOD0cRwMA3rstj74k;50.88865699999999,16.927546
Ujazd Górny;;;55-340 Ujazd Górny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJM7dDuRWkD0cRDxyCz1hl8K8;51.0842412,16.5024725
Wądroże Wielkie;;;59-430 Wądroże Wielkie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSeYQxo0JD0cRVJ_ZykTA9S4;51.115337,16.3309425
Wierzbna;;;Wierzbna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ59tiOXCyD0cRfZ3BW2lgTz4;50.9017144,16.5051543
Wleń;;;Wleń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgzhG28QmD0cR18VRjeKeTgE;51.0176058,15.677587
