nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Jelenia Góra - cerkiew Świętych Apostołów Piotra i Pawła;I. Województwo dolnośląskie;;1 Maja 44, 58-500 Jelenia Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIw90MyneDkcRwfS0VmxkASQ;50.903117,15.7419058
Malczyce - cerkiew Zwiastowania Przenajświętszej Bogurodzicy;I. Województwo dolnośląskie;;Mickiewicza 29, 55-320 Malczyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ84-OD6afD0cR1j0vDaB2SS4;51.2197358,16.5006355
Oleśnica - cerkiew Zaśnięcia Najświętszej Maryi Panny;I. Województwo dolnośląskie;;Łużycka 20, 56-409 Oleśnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJL9e3st_iD0cRorxnYT9bw7w;51.2117346,17.3812724
Sokołowsko - cerkiew św. Michała Archanioła;I. Województwo dolnośląskie;;Parkowa 5, 58-350 Sokołowsko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJL9dv2ydaDkcRr18i0jqh9Zg;50.6825682,16.2392147
Wołów - cerkiew Opieki Najświętszej Maryi Panny;I. Województwo dolnośląskie;;DW340 28, 56-100 Wołów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBVc4kFebD0cRGrRM5Xmc4-I;51.33654569999999,16.6418178
Wrocław - katedra św. Wincentego i św. Jakuba;I. Województwo dolnośląskie;;plac Nankiera 15, 50-001 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgwzZw9jpD0cRBW2MS-TdLXg;51.1127096,17.0383355
Wrocław - sobór Narodzenia Przenajświętszej Bogurodzicy;I. Województwo dolnośląskie;;Świętego Mikołaja 40, 50-128 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-XM-WQrCD0cROL3eFMEzOUQ;51.11160539999999,17.0240319
Bydgoszcz - cerkiew św. Mikołaja;II. Województwo kujawsko-pomorskie;;Nowy Rynek 5, 85-131 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJed7W8iYTA0cRvaUIEpMhLGs;53.1205367,17.9977902
Ciechocinek - cerkiew św. Michała Archanioła;II. Województwo kujawsko-pomorskie;;Wojska Polskiego 3, 87-720 Ciechocinek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWaaZi7e3HEcRd6Bba0gtKD0;52.8780854,18.8032249
Toruń - cerkiew św. Mikołaja;II. Województwo kujawsko-pomorskie;;Podgórna 69, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGTXAku80A0cRAkDx618XIx0;53.0226066,18.6097304
