nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Wągrowiec - klasztor cystersów przeniesiony z Łękna w 1396 r., kościół z wyposażeniem barokowym, częściowa rekonstrukcja po zniszczeniu w 1945 r.;I. Region Wielkopolska;;;NOT_FOUND;
Ląd - opactwo cystersów założone około 1175 r., obecny kościół barokowy oraz klasztor.;I. Region Wielkopolska;;Ląd 101, 62-405 Ląd, Polska;https://www.google.com/maps/place/?q=place_id:ChIJy_BENnvPBEcRSgHB1KMX-k0;52.2041037,17.8936255
Obra - opactwo cystersów zało- żone 1231 r., kościół barokowy 1722- 1757 r. klasztor współczesny.;I. Region Wielkopolska;;Szkolna 12, 64-211 Obra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJM4HL89XbBUcRQk1oDMQl7t8;52.070836,16.0568421
Paradyż (Gościkowo) - opactwo cystersów fund. 1230 r., kościół gotycki, przebudowany na barokowy, klasztor.;I. Region Wielkopolska;;66-203 Gościkowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhYuwSqRfBkcRG-ROKbrgG4A;52.3372442,15.5443107
Przemęt - opactwo cystersów założone w 1413 r., kościół barokowy 1651-1690 r., pozostałości klasztoru z 1758 r.;I. Region Wielkopolska;;;NOT_FOUND;
Bledzew - opactwo cystersów fund. 1312 r., pozostałe części wyposażenia znajdujące się w kościele parafialnym obok Rynku.;I. Region Wielkopolska;;Kościelna 14, 27-215 Wąchock, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-UxMpiY-GEcRhwBxfIDNn5Y;51.075185,21.0152525
Lubiąż - opactwo cystersów 1163 r., kościół w odbudowie. Budynki klasztorne - pałac opatów. Wielkie założenie architektoniczne.;II. Region Śląsk;;plac Klasztorny 1, 56-100 Lubiąż, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5Zxa_hyeD0cRjj21prlvP6o;51.2616633,16.4686456
Henryków - opactwo cystersów 1225 r., kościół gotycki, wyposażenie barokowe. Budynki klasztorne.;II. Region Śląsk;;plac Cystersów 1, 57-210 Henryków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvVGLsw8pDkcRPMenYtxSk-4;50.65313200000001,17.0140059
Kamieniec Ząbkowicki - opactwo cystersów założone w 1249 r., kościół barokowy i pozostałości klasztoru.;II. Region Śląsk;;Kościelna 4, 57-230 Kamieniec Ząbkowicki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOfBCd-EjDkcRN72t2R9tBho;50.5195714,16.8751888
Krzeszów - opactwo cystersów fund. 1292 r., kościół barokowy 1728-1735 r., kościół św. Józefa i budynek klasztorny.;II. Region Śląsk;;plac Jana Pawła II 1, 58-405 Krzeszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHfxZf3v3DkcRmY_6Cm495ws;50.73247,16.0692758
Jemielnica - opactwo cystersów fund. 1280 r., kościół gotycki rozbudowany na barokowy, budynek klasztorny.;II. Region Śląsk;;47-133 Jemielnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPVp7DiUdEUcR-bRYBtb0I70;50.5460131,18.37772
Rudy - opactwo cystersów fund. 1252 r., kościół romański przebudowany na barokowy. Klasztor. Pałac opata. Park krajobrazowy.;II. Region Śląsk;;Cysterska 4, 47-430 Rudy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ22axq0JHEUcRkhH6X_nLYM8;50.1944692,18.4484193
Szczyrzyc - zespół opactwa cystersów fund. 1245 r., kościół z 1620 r. przebudowany w XIX w. - barokowy. Klasztor. Spichlerz.;III. Region Małopolska;;Szczyrzyc 1, 34-623 Szczyrzyc, Polska;https://www.google.com/maps/place/?q=place_id:ChIJH-4c_3ARFkcRcHaYMkkt8yQ;49.7841676,20.188129
Wąchock - opactwo cystersów fund. 1179 r., obecny kościół z XIII w. z wystrojem barokowym. Klasztor, pałac opacki, brama.;III. Region Małopolska;;Kościelna 14, 27-215 Wąchock, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-UxMpiY-GEcRhwBxfIDNn5Y;51.075185,21.0152525
Koprzywnica - opactwo cystersów fund. 1185 r., obecnie kościół z XIII w. przebudowany w XVI-XVIII w. Klasztor. Dwór opacki.;III. Region Małopolska;;;NOT_FOUND;
Sulejów - Podklasztorze - opactwo cystersów fund. 1176 r. kościół z XIII w. wystrój barokowy. Klasztor, obwarowania, zabudowania gospodarcze.;III. Region Małopolska;;Opacka 13, 97-330 Sulejów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJn9EnF2iNGUcRtFcK_J8Fsls;51.3645759,19.8793821
Jędrzejów - opactwo cystersów fund. 1140, przebudowa w XV w., rozbudowany w okresie baroku. Klasztor,dzwonnica, ogród.;III. Region Małopolska;;Klasztorna 20, 28-300 Jędrzejów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_59_pq-eF0cR-pqJFimICcE;50.6535553,20.2846505
Mogiła - Nowa Huta - opactwo cystersów fund. 1225 r., obecnie kościół z XIII w., przebudowany w XVIII w. na barokowy. Klasztor, pałac opacki.;III. Region Małopolska;;Klasztorna 11, 31-979 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvfrzXABFFkcR--fXlhVPJoM;50.0643742,20.0530009
Bierzwnik - opactwo cystersów fund. 1282 r., obecnie kościół z XIV w. rozbudowany, klasztor, spichlerz.;IV. Region Pomorze;;73-240 Bierzwnik, Polska;https://www.google.com/maps/place/?q=place_id:ChIJW4NccPrTBkcR3fp-wEUEgoI;53.0393696,15.659965
Bukowo Morskie - siedziba cystersów z XIII w., kościół podklasztorny z 1. poł. XIV w.;IV. Region Pomorze;;;NOT_FOUND;
Kołbacz - opactwo cystersów fund. 1173 r., kościół z XIII w., przebudowany w XVIII w. Klasztor, stodoła gotycka z XIII w.;IV. Region Pomorze;;;NOT_FOUND;
Koronowo - kościół cystersów z XIV w., wystrój barokowy.;IV. Region Pomorze;;Bydgoska 23, 86-010 Koronowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOS9vskcEA0cRgEBuez4OrDI;53.3092087,17.9355764
Pelplin - opactwo cystersów fund. 1274 r., gotycki kościół wystrój barokowy. Obecnie katedra. Klasztor.;IV. Region Pomorze;;Plac Mariacki 7, 83-130 Pelplin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXa1hd8-YAkcRV-DZVuWYzyM;53.9269478,18.6943372
