nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Oświęcim;;;Oświęcim, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMUw4T-CUFkcRvW6XMSFrHB4;50.0348425,19.2102965
Oświęcim;;;Oświęcim, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMUw4T-CUFkcRvW6XMSFrHB4;50.0348425,19.2102965
Brzeszcze;;;Brzeszcze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgV0Rc--9FkcRrgcTO6uHLX4;49.9815,19.15303
Brzeszcze;;;Brzeszcze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgV0Rc--9FkcRrgcTO6uHLX4;49.9815,19.15303
Brzeszcze;;;Brzeszcze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgV0Rc--9FkcRrgcTO6uHLX4;49.9815,19.15303
Jawiszowice;;;Jawiszowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ77fl6H69FkcRSXRW8ZfokYw;49.9603216,19.1390255
Miedźna;;;Miedźna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpz6EVHu8FkcR1ieX0DSB11A;49.9826254,19.0487945
Ćwiklice;;;43-229 Ćwiklice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJL0U53w27FkcRi4Zajzc87oQ;49.9774445,18.9903031
Pszczyna;;;Pszczyna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc3BjCY66FkcRg_ab-qkPDjY;49.9777792,18.9476954
Pszczyna;;;Pszczyna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc3BjCY66FkcRg_ab-qkPDjY;49.9777792,18.9476954
Poręba;;;Poręba, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6ctffCskF0cRmP49QM6NYMI;50.48803,19.3389389
Brzeźce;;;Brzeźce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXYdDyM6xFkcRQ9xi9aTIfEQ;49.9854734,18.835363
Studzionka;;;Studzionka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMb22WwuuFkcROu73Gap9GQY;49.961832,18.7895667
Pawłowice;;;Pawłowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1UzPp6StFkcRJbexbeP9Lhw;49.9613015,18.7178627
Pawłowice;;;Pawłowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1UzPp6StFkcRJbexbeP9Lhw;49.9613015,18.7178627
Jastrzębie Zdrój - Bzie Zameckie;;;Bzie Dolne, 44-336 Jastrzębie-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO0ytKJasFkcRwEGJ6RD0Dy4;49.93,18.65
Jastrzębie Zdrój - Górne;;;Jastrzębie Górne, 44-335 Jastrzębie-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtykamBlTEUcRIh-KJkduQYI;49.958282,18.5999607
Jastrzębie Zdrój;;;Jastrzębie-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-f_mZxlTEUcRZmg4q3u7Ri0;49.9454207,18.6101103
Mszana;;;Mszana, Polska;https://www.google.com/maps/place/?q=place_id:ChIJNSa73mJREUcRhq5iG-uYN6Q;49.9692585,18.5272387
Wodzisław Śląski - Wilchwy;;;Wilchwy, 44-304 Wodzisław Śląski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVX2uhp9REUcRQ4DA24TnFC0;49.985796,18.499386
Wodzisław Śląski;;;Wodzisław Śląski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ87rkb0xQEUcRKXOzvYE4l_w;50.003137,18.4719102
Wodzisław Śląski;;;Wodzisław Śląski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ87rkb0xQEUcRKXOzvYE4l_w;50.003137,18.4719102
Wodzisław Śląski;;;Wodzisław Śląski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ87rkb0xQEUcRKXOzvYE4l_w;50.003137,18.4719102
