nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Dumanów k. Kamieńca Podolskiego – miejsce urodzenia 31.01.1867 r.;;;;NOT_FOUND;
Mohylew Podolski – nauka w prywatnej szkole powszechnej,;;;Mochtyńska 87, 03-289 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_5MDnDbJHkcRyumujFk-Mns;52.3556201,21.0370093
Kamieniec Podolski – nauka w gimnazjum rosyjskim,;;;;NOT_FOUND;
Odessa – studia matematyczno – fizyczne na Uniwersytecie,;;;plac Marii Curie-Skłodowskiej 1, 20-031 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJDzl9rmNXIkcRp-JIITNI45A;51.2457572,22.5422445
Archangielsk – zsyłka za działalność patriotyczną, ukończenie Szkoły Morskiej,;;;;NOT_FOUND;
Daleki Wschód - Syberia, Chiny, Japonia, Indie, Egipt, Syria podczas wakacji, jako wolontariusz, odbywał podróże egzotyczne do tych krajów,;;;;NOT_FOUND;
Kraków – nauka w Akademii Sztuk Pięknych w latach 1901 -1906,;;;plac Jana Matejki 13, 31-157 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJh7erqhpbFkcRgo4BPCEsJ34;50.0662258,19.9416155
Zakopane – w 1907r. pobyt z powody złego stanu zdrowia,;;;;NOT_FOUND;
Nowy Targ – w 1918 r. był komendantem wojskowym Nowego Targu i rejonu tatrzańskiego,;;;;NOT_FOUND;
Jastarnia – od 1929 r. pełnił obowiązki kierownika i głównego instruktora Ośrodka Wyszkolenia Żeglarskiego,;;;Portowa 43, 84-140 Jastarnia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ55mczSmn_UYRhwuDLWm6w5k;54.6964736,18.6743726
Wejherowo – organizował kursy dla harcerskich drużyn wodniackich;;;Kalwaryjska 9, 84-200 Wejherowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2yp-MOi7_UYRELP-0DddXlk;54.59782149999999,18.2267901
Gdynia – Basen Jachtowy im. M. Zaruskiego,;;;Basen Żeglarski M. Zaruskiego, Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ09zdrjmn_UYRlpNJT7Gn53Q;54.51715979999999,18.5530263
Gdynia – pomnik M. Zaruskiego,;;;81-345 Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9XXrpzin_UYRh8KBMXtwy-4;54.5186633,18.5590225
Łódź – Park im. M. Zaruskiego na Stokach,;;;Giewont, 91-001 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBfFdNmLLG0cRYtqSQqxDYLc;51.780688,19.5314223
Łódź – obelisk M. Zaruskiego,;;;Krańcowa 55A, 90-001 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0XXVDlc1GkcRmH-aI9Tvx_E;51.7663675,19.3951268
Łódź – nazwa ulicy im. M. Zaruskiego,;;;Giewont, 91-001 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBfFdNmLLG0cRYtqSQqxDYLc;51.780688,19.5314223
Łódź – Gimnazjum nr.19,im.M.Zaruskiego,;;;aleja Kardynała Stefana Wyszyńskiego 100, 94-042 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ75mzm3o1GkcRe8dZslF8fLs;51.741916,19.3884931
Łódź - Szkoła Podstawowa nr 141, im. M. Zaruskiego,;;;Zakładowa 35, 92-402 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYVLv0y0zGkcR4wc7ZpcWxcI;51.7416351,19.5608985
Bydgoszcz - nazwa ulicy w Fordonie, Osiedle Tatrzańskie,;;;Marcina Kromera 11, 85-790 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2_ygNVAWA0cRjM4LpF0-jQ0;53.1659936,18.1563595
Bielsko – Biała-Szkoła Podstawowa nr. 37, im M Zaruskiego,;;;Doliny Miętusiej 5, 43-316 Bielsko-Biała, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTSMu8CmgFkcRPjlsDO5SjDU;49.8033631,19.0340619
Gdańsk – Gimnazjum im. M. Zaruskiego,;;;Piecewska 10, 80-286 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-f0qZmB0_UYR0MdJx3DWnlw;54.3583807,18.5933805
Gdańsk - Szkoła Podstawowa nr.1,im.M.Zaruskiego,;;;Piecewska 10, 80-286 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-f0qZmB0_UYR0MdJx3DWnlw;54.3583807,18.5933805
Gdynia – Zespół Szkół nr 3,im M. Zaruskiego,;;;Nagietkowa 73, 81-589 Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJF-2wvqCh_UYRPfCPnyt70Zg;54.4713833,18.4609888
Ińsk - Gimnazjum Publiczne, im. M. Zaruskiego,;;;Poprzeczna 1, 73-140 Ińsko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJd51F5UnnAEcRc0uW9tayg_U;53.4389915,15.5519447
Kolbudy k. Gdańska – Szkoła Podstawowa, im M. Zaruskiego,;;;Wybickiego 33, 83-050 Kolbudy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUaBOEbB3_UYR8FG7W541Op8;54.27843799999999,18.4768299
Poznań – Gimnazjum nr 44, im. M. Zaruskiego,;;;Ściegiennego 10, 60-128 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo7xfRS5FBEcRzUMknqLptto;52.3844808,16.8831999
Puck – Szkoła Podstawowa, im. M. Zaruskiego,;;;Przebendowskiego 27, 84-100 Puck, Polska;https://www.google.com/maps/place/?q=place_id:ChIJS78_ihmy_UYR7BADHDvPUcg;54.7157839,18.4200802
Sosnowiec – Oddział PTTK im. M. Zaruskiego,;;;3 Maja 11, 41-200 Sosnowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqf4Fs6XaFkcRlXu8zJZ8PII;50.27699029999999,19.1253508
Ustka – Gimnazjum, im. M. Zaruskiego,;;;Walerego Wróblewskiego 7, 76-270 Ustka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6WLHV4A-_kYRgGPDBjL-sZg;54.5797192,16.8678203
Warszawa – Stołeczny Oddział Wojskowy PTTK im. M. Zaruskiego,;;;al. Niepodległości 141, 02-570 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIeGH69DMHkcR6f8-IDa-Vgk;52.203035,21.0096268
Warszawa – Staromiejskie Koło Terenowe PTTK na Runku Starego Miasta, im M. Zaruskiego,;;;Senatorska 11, 00-075 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJneHo5ubMHkcRq08a-tXM088;52.2464569,21.0125364
