nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Wola Okrzejska;;;Wola Okrzejska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmeaeb9EJIkcRcMzn2BwO6vs;51.7494805,22.1336435
Okrzeja;;;Okrzeja, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6yhOo0GnGEcRyf40OVY4LvQ;51.74069979999999,22.085534
Burzec;;;Burzec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ05yh6xcGIkcRPR9AgCX3BX4;51.7873343,22.261227
Ruda k. Krzywdy;;;21-470 Ruda, Polska;https://www.google.com/maps/place/?q=place_id:ChIJY0MyYKUHIkcR3lvfaZSfuek;51.8158968,22.2302093
Wojcieszków;;;Wojcieszków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqWBeFIsFIkcRjMAJvq_02nA;51.7683945,22.3156769
Wężyczyn k. Latowicza;;;05-317 Wężyczyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf5GAGqBKH0cRcz2GNKHguY8;52.06098679999999,21.8199279
Grabowce k. Ułęża;;;Grabowce Górne, Polska;https://www.google.com/maps/place/?q=place_id:ChIJoXL2Lsx0IkcRtI7f4iDatW4;51.6227479,22.1086807
Warszawa;;;Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAZ-GmmbMHkcR_NPqiCq-8HI;52.2296756,21.0122287
Bielice k. Sochaczewa;;;96-503 Bielice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJF7DBHov-G0cRV5Pisih3KT4;52.264996,20.2242222
Poświętne k. Płońska;;;Henryka Sienkiewicza 11, 09-100 Płońsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJn19HNlYYHEcRL4tRXH2AuP4;52.6328163,20.3831025
Guzów k. Żyrardowa;;;96-317 Guzów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2wHRZR9aGUcRYZMRqygEK7I;52.11670969999999,20.337352
Lipków w Puszczy Kampinoskiej;;;Kampinoski Park Narodowy, Kazimierza Tetmajera 38, 05-080 Izabelin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTwUIh6u1HkcReBA7RcyAtlU;52.28038369999999,20.8086597
Kraków;;;Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0RhONcBEFkcRv4pHdrW2a7Q;50.06465009999999,19.9449799
Warmątowice;;;Warmątowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJC_fJp5geEUcRtT4kB1UCk20;50.49385729999999,18.3783276
Lublin;;;Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYUAVHhRXIkcRX-no9nruKFU;51.2509458,22.5747275
Oblęgorek;;;26-067 Oblęgorek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ42iGIZQrGEcRFIMR77GJYoc;50.954243,20.4783085
Zakopane;;;Zakopane, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOTnvlJLyFUcRoKZrcaGHjd8;49.299181,19.949562
Wola Okrzejska;;;Wola Okrzejska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmeaeb9EJIkcRcMzn2BwO6vs;51.7494805,22.1336435
Oblęgorek;;;26-067 Oblęgorek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ42iGIZQrGEcRFIMR77GJYoc;50.954243,20.4783085
Poznań;;;Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtwrh7NJEBEcR0b80A5gx6qQ;52.40567859999999,16.9312766
Szczawnica;;;Szczawnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJe1Ft-QQGPkcRjjqoAsDRwzU;49.4251093,20.4826052
Zakopane;;;Zakopane, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOTnvlJLyFUcRoKZrcaGHjd8;49.299181,19.949562
Nałęczów;;;Nałęczów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJNXa1DrRhIkcRjgNfEKN0vMs;51.28567,22.215293
Sopot;;;Sopot, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXyYcTJEK_UYR-pV6bzMZ0_c;54.441581,18.5600956
Rudawa k. Krakowa;;;Rudawa, Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQTi4M3ZbFkcR3gJTB7-E4vo;50.067514,19.8833528
Częstochowa;;;Częstochowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr6gsTsW1EEcRNoIXGk0NT4U;50.8118195,19.1203094
