nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Goraj,;Miasta;;Goraj, Polska;https://www.google.com/maps/place/?q=place_id:ChIJLUgl2ZM8I0cRnND7E0R6wuA;50.7268204,22.702128
Janów Lubelski,;Miasta;;Janów Lubelski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJN_sI_LcnI0cR_P1qv5vLyJg;50.70668999999999,22.41078
Józefów,;Miasta;;Józefów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfWGmBRcrGUcRNUAr373_mWI;52.1368197,21.2354266
Kraśnik,;Miasta;;Kraśnik, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpQQXmUPoIkcRcTq26RQ5fbI;50.92328310000001,22.2269571
Krzeszów,;Miasta;;Krzeszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ09ZKXXz3DkcR_IDlMy8MyvI;50.7333738,16.0707451
Szczebrzeszyn,;Miasta;;Szczebrzeszyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGf0ePPFAI0cRukW_YbYZ508;50.6948235,22.9794788
Tarnogród,;Miasta;;Tarnogród, Polska;https://www.google.com/maps/place/?q=place_id:ChIJC3APvwC0PEcRrquIZSbEhaI;50.3610555,22.7406396
Tomaszów,;Miasta;;97-200 Tomaszów Mazowiecki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ50JuaM6aGUcRVACWDrOuVDY;51.5311945,20.0086471
Turobin,;Miasta;;Turobin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr2E5lo4XI0cRTf2KGcfz9Po;50.8232678,22.7436465
Zamość.;Miasta;;22-400 Zamość, Polska;https://www.google.com/maps/place/?q=place_id:ChIJd9IR2q1nI0cRgKX4ApJFALo;50.7230879,23.2519685
Aleksandrów,;Wsie i folwarki;;Folwarki, 44-240 Żory, Polska;https://www.google.com/maps/place/?q=place_id:ChIJz6V9e-VMEUcRHN4S52_j7Hg;50.05256499999999,18.65791
Babice,;Wsie i folwarki;;;NOT_FOUND;
Barchaczów,;Wsie i folwarki;;22-437 Barchaczów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJy3ssiGNgI0cRlggcX0B43RY;50.6776841,23.3794882
Batorz,;Wsie i folwarki;;Batorz 52a, 23-320 Batorz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrWzmovsfI0cR4J7olCdJYEA;50.8493579,22.4925864
Biała,;Wsie i folwarki;;Bielskie 6, 11-513 Bielskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ822i7jOS4UYRvJwmdjjFt-k;53.88966019999999,21.9642238
Białobrzegi,;Wsie i folwarki;;;NOT_FOUND;
Bidaczów,;Wsie i folwarki;;Stary Bidaczów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJe0v8rB4zI0cRfZWnUEl0k7o;50.4839097,22.5811937
Biskupice,;Wsie i folwarki;;32-020, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1cxNY_lAFkcR26vP99ciNo4;49.9646125,20.1195272
Biszcza,;Wsie i folwarki;;37-611 Folwarki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJw0mZejBWO0cRBFeoqW0hC4s;50.2532497,23.0889872
Blinów,;Wsie i folwarki;;;NOT_FOUND;
Błażek,;Wsie i folwarki;;16-500 Folwark-Berżniki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJy4xKNent4EYRwZ0EwDxcnV0;54.0858973,23.453694
Bodaczów,;Wsie i folwarki;;Kościelna, 22-460 Bodaczów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJl7eXYO5BI0cRtl_i5OMz5tw;50.7187932,23.0382043
Bononia,;Wsie i folwarki;;;NOT_FOUND;
Bortatycze,;Wsie i folwarki;;22-400 Chyża, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvZT3k2NoI0cRkqwVq9cmJEM;50.7409597,23.1934391
Branew,;Wsie i folwarki;;Branew, Polska;https://www.google.com/maps/place/?q=place_id:ChIJnd6MtwwkI0cRtowCLAsoVEU;50.7389154,22.5563242
Branewka,;Wsie i folwarki;;;NOT_FOUND;
Brody Małe,;Wsie i folwarki;;22-460 Brody Małe, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMYvAQjxBI0cRVJgN3p-wmvI;50.6772131,22.9760251
Brody Wielkie,;Wsie i folwarki;;Folwarki Wielkie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSZyp2l8EIEcRpWl_rPywYcw;53.0259142,23.4114086
Brodziaki,;Wsie i folwarki;;Brodziaki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPZdDvzlKI0cREhwvRoIqcmA;50.5057558,22.7862778
Brzozówka,;Wsie i folwarki;;Brzozówka Folwarczna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSdmSa9ob4EYRXb1wSzfAdho;53.3525106,23.0815528
Budzyń,;Wsie i folwarki;;Budzyń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0aT87cSKA0cRu9X9ralkOpo;52.89138999999999,16.9848498
Bukowa,;Wsie i folwarki;;29-105 Bukowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJObaaFLt-F0cRGpW3neaLbxw;50.8621314,20.209307
Bukowina,;Wsie i folwarki;;;NOT_FOUND;
Bystre,;Wsie i folwarki;;;NOT_FOUND;
Chłopków,;Wsie i folwarki;;22-463 Chłopków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJra3E4MM-I0cRziT4U2lKazE;50.709817,22.8174777
Chmielek,;Wsie i folwarki;;Chmielek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZSu4uI6yPEcRbIHVCqElZLY;50.3959312,22.8638592
Chomęciska,;Wsie i folwarki;;;NOT_FOUND;
Chrzanów,;Wsie i folwarki;;Chrzanów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCyoend3rFkcR9KNhYwzXYVc;50.13549279999999,19.402071
Ciosmy,;Wsie i folwarki;;Ciosmy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJj1cnq0UyI0cR6T50HjV2h5k;50.54389130000001,22.5424723
Ciotusza,;Wsie i folwarki;;;NOT_FOUND;
Czarnystok,;Wsie i folwarki;;Nadawki 23, 16-010 Wasilków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0wriM6T9H0cR6yNp1zXG2nI;53.182201,23.152597
Czarnięcin,;Wsie i folwarki;;;NOT_FOUND;
Dąbrówka,;Wsie i folwarki;;Dąbrówka Starzeńska 12, 36-065 Dąbrówka Starzeńska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCVpAJ0ZhPEcR7w9-QFiT1_g;49.781678,22.2326321
Dąbrowica,;Wsie i folwarki;;Dąbrowica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZ5FZSGtZIkcRggsEOr7nQdc;51.2731134,22.4600729
Derenia,;Wsie i folwarki;;;NOT_FOUND;
Leszkowice,;Wsie i folwarki;;;NOT_FOUND;
Długi Kąt,;Wsie i folwarki;;Długi Kąt, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5YzCOHXc4UYR_HBbvVY131k;53.5482901,22.0501128
Dorbozy,;Wsie i folwarki;;Ul.Zapolskich, 26-026 Nida, Polska;https://www.google.com/maps/place/?q=place_id:ChIJEX-uQwAnGEcRGWS4niFSpwY;50.7629212,20.5219674
Dzwola,;Wsie i folwarki;;09-130 Wola-Folwark, Polska;https://www.google.com/maps/place/?q=place_id:ChIJM4HkgdE8HEcRXY9Xe4csZP8;52.7198194,20.367512
Flisy,;Wsie i folwarki;;23-304 Flisy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJU0HTYUIvI0cRMDhZ4jeIccA;50.65853269999999,22.4874726
Gilów,;Wsie i folwarki;;Gilów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs6V8zVUxDkcRNUQijVodisE;50.7215664,16.7770308
Godziszów,;Wsie i folwarki;;23-302 Godziszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJzyllCiohI0cR2nRzFr8JCpU;50.7482268,22.4963508
Gorajec Gorajecki,;Wsie i folwarki;;Gorajec 14, 37-611 Gorajec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJp0H95QRUO0cRaYHXW2hEW6g;50.2694969,23.2054043
Gózd,;Wsie i folwarki;;;NOT_FOUND;
Grabowica,;Wsie i folwarki;;28-130 Folwarki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJS1g8EVbnF0cRiMvKKJH0vgU;50.4556339,20.9310786
Grudki,;Wsie i folwarki;;Kolejowa 21, 34-103 Woźniki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwapD_KGOFkcRltgnD9f0G3E;49.9406659,19.4807991
Guzówka,;Wsie i folwarki;;Guzówka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJu9kHxwgZI0cRCaX1Re5L_4U;50.8623393,22.6896174
Hamernia,;Wsie i folwarki;;23-460 Hamernia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4VxBu6tWI0cR3Ta_cYSTNNs;50.4590845,23.1151551
Hedwiżyn,;Wsie i folwarki;;23-400 Hedwiżyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1b0dzSFII0cRWSp3T1jzG9A;50.5840535,22.7967043
Horyszów,;Wsie i folwarki;;;NOT_FOUND;
Hosznia,;Wsie i folwarki;;;NOT_FOUND;
Huciska,;Wsie i folwarki;;Kościelisko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQ92hnw2TFUcRUNu0kakS4PY;49.25913320000001,19.816884
Hucisko,;Wsie i folwarki;;34-233 Hucisko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJN_tWf2IqFEcRhmDiE81Zs8I;49.6906685,19.3973049
Huszczka Mała,;Wsie i folwarki;;22-420 Huszczka Mała, Polska;https://www.google.com/maps/place/?q=place_id:ChIJM6Izs_hvI0cRWLhcpAR8eIE;50.8493934,23.3099161
Huszczka Duża,;Wsie i folwarki;;Huszczka Duża, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmanyvFtlI0cRCi_hJb6rqu8;50.837184,23.3131559
Huta Krzeszowska,;Wsie i folwarki;;37-414 Huta Krzeszowska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJiXeBJEItI0cRlpjU-keX33Q;50.5245282,22.4541953
Huta Turobińska,;Wsie i folwarki;;Huta 7, 16-402 Suwałki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO3Ww-aH94EYRHjxVV_jSMwk;54.1039428,23.0179748
Janowice,;Wsie i folwarki;;84-351, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZ00i3v7f_UYRDnDkyDaZvJs;54.6051286,17.6380994
Jarosławiec,;Wsie i folwarki;;;NOT_FOUND;
Nasiennik,;Wsie i folwarki;;;NOT_FOUND;
Jedlinki,;Wsie i folwarki;;23-423 Jedlinki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfbgafd3LPEcRjeYaWt0_wuM;50.40655270000001,22.5503038
Kalinowie,;Wsie i folwarki;;Kalinowa 99, 98-235 Kalinowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJU_FkRlnuGkcRlAeTwalapn0;51.693497,18.481405
Kamionka,;Wsie i folwarki;;Kamionka 286, 39-122, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXbp2j2H8PEcRaMLbZxOArho;50.1678078,21.6986063
Kapronie,;Wsie i folwarki;;23-304 Kapronie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs9lGZv0vI0cRmMhXkVCYgYU;50.644367,22.5783092
Kawęczyn (obok Janowa Lubelskiego),;Wsie i folwarki;;24-350 Kawęczyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJy7r7D6_yIkcRj4d-sLO2Aq4;51.0981247,22.1494557
Kawęczyn (bok Szczebrzeszyna),;Wsie i folwarki;;Kawęczynek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ53vBuDZHI0cRYgnBcnAmSBw;50.6640047,22.9118151
