nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Bardo;;;Bardo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIwq6VskiDkcRhHSiqx5oGWk;50.5058739,16.7399387
Henryków;;;Henryków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJi92b6_8oDkcRe7UZHixPVTY;50.6554854,17.0117993
Kłodzko;;;Kłodzko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCQMlXQQXDkcRHh4UdfhXMHc;50.4345636,16.6613941
Kłodzko;;;Kłodzko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCQMlXQQXDkcRHh4UdfhXMHc;50.4345636,16.6613941
Kamieniec Ząbkowicki;;;Kamieniec Ząbkowicki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ8eytL_0jDkcR0J6k6PH-s80;50.52295729999999,16.8734603
Krzeszów;;;Krzeszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ09ZKXXz3DkcR_IDlMy8MyvI;50.7333738,16.0707451
Legnica;;;Legnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwTdAEoUSD0cRouaIICEVjkM;51.2070067,16.1553231
Legnickie Pole;;;59-241 Legnickie Pole, Polska;https://www.google.com/maps/place/?q=place_id:ChIJM_4V5RwMD0cRwftTEiyRlXg;51.1443537,16.2427819
Lubiąż;;;Lubiąż, Polska;https://www.google.com/maps/place/?q=place_id:ChIJz4I59vt1D0cRBTICR93CaUQ;51.2761771,16.4579492
Lubomierz;;;Lubomierz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc69y-DYoD0cRwdYKthAHKqw;51.01264639999999,15.510661
Lwówek Śląski;;;Lwówek Śląski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbQxhuZovD0cR2kan6Do3Blo;51.1095792,15.5905136
Sobótka;;;Sobótka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtzllzoq1D0cRXH-Jo_l7aAs;50.89984,16.7445201
