nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Czernica – kopiec- rycerska siedziba, gm., Czernica, pow. wrocławski,;;;Kolejowa 3, 55-003 Czernica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ64ICwVzeD0cRaBn72uRPrLM;51.0488254,17.23617
Kliczków – kopiec parkowy, gm. Osiecznica, pow. bolesławiecki,;;;Kliczków 8, 59-724 Kliczków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJz4bR1HjKCEcR3E4ob2E_JNI;51.3364584,15.4336624
Kwietno – kopiec widokowo –parkowy, gm. Malczyce, pow. średzki,;;;Wspólna 2, 55-320 Kwietno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7-RHIQChD0cR5Nb9uAyfrH4;51.1725936,16.4670527
Milicz – kopiec widokowo – parkowy, gm. Milicz, pow. milicki,;;;56-300 Milicz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQwlsb4JQBUcRmB0TJYQPn6o;51.5258956,17.3881539
Starej Rudnej - kopiec, gm. Rudna, pow. lubiński,.;;;Polska;https://www.google.com/maps/place/?q=place_id:ChIJWVY0IXpjD0cRPp_fanXbMqs;51.4882444,16.2883497
Sułów – kopiec widokowo –parkowy, gm. Milicz, pow. milicki,;;;56-300 Sułów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAzWcI1deBUcRPeJqQiQz70o;51.4891578,17.1642908
Szczepankowie – kopiec – duży kurhan, gm. Kobierzyce, pow. wrocławski,;;;;NOT_FOUND;
Wrocław – kopiec – Nekropolia Żołnierzy Polskich, na Grabiszynie, dzielnica Oporów,;;;Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJNzOMO7vBD0cRBRq_AqJnXA0;51.08318329999999,16.9733814
Aleksandrów Kujawski - kopiec, Gm. Aleksandrów Kujawski , pow. aleksandrowski,;;;Juliusza Słowackiego 8, 87-700 Aleksandrów Kujawski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvaCgxae2HEcRdVUGL0ge_sE;52.8751729,18.6959619
Plemięta – kopiec, gm. Gruta pow. grudziądzki,;;;87-140 Chełmża, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7dYwGM4vA0cRpmfugGgcIhw;53.1809348,18.5676856
Płowce – kopiec Władysława Łokietka, gm. Brześć Kujawski., pow. włocławski,;;;Pl. Władysława Łokietka 2-3, 87-880 Brześć Kujawski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRX8BcSygHEcRGnzyfugQ7Dc;52.6041265,18.9010639
Radziejów – kopiec z figurą sakralną, gm. Radziejów, pow. radziejowski,;;;Franciszkańska 4, 88-200 Radziejów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3efQ3f2pHEcRVud7KV7oUPA;52.6263641,18.5271656
Więcławie – kopiec z kapliczką, gm. Gniewkowo, pow. inowrocławski,;;;;NOT_FOUND;
Złotowo – kopiec – kurhan, gm. Barcin, pow. żniński,;;;40, 88-190 Złotowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJY5SP_iRdA0cRbV8o0bysQPc;52.86528690000001,18.0549833
Batorz – kopiec Marcina „Lelewela” Borelowskiego, gm. Batorz, pow. janowski,;;;Unnamed Road, 23-320, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwaLjjBIfI0cR2DA3hBiopas;50.8455579,22.5092273
Bełżyce – kopiec im. T. Kościuszki, gm. Bełżyce, pow. lubelski,;;;24-200 Bełżyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJxwgli7P1IkcRsharFZ1Q6CM;51.1699713,22.2777236
Biłgoraj – kopiec –mogiła żołnierz z I w. św. gm. Biłgoraj, pow. biłgorajski,;;;Torowa 4, 23-400 Biłgoraj, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1T6BlRQ2I0cRD8N39P7hap0;50.550244,22.742852
Bochotnica – kopiec bohaterów z1920 r. gm. Kazimierz Dolny, pow. puławski,;;;Podzamcze 30, 24-120 Bochotnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJySq6qQZ9IkcRd5gY36Ii_wQ;51.3350935,21.9950304
Borów – kopiec żołnierzy z I w. .św. gm. Borzechów, pow. lubelski,;;;;NOT_FOUND;
Borzechów – kopiec żołnierzy z I w. św. gm. Borzechów, pow. lubelski,;;;"Borzechów; 1, 24-224, Polska";https://www.google.com/maps/place/?q=place_id:ChIJ07ylSI7xIkcR6BrsuPaN31w;51.0881932,22.2818774
Bychawa – kopiec mogiła, gm. Bychawa, ,pow. lubelski,;;;Pileckiego 7A, 23-100 Bychawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrwc1Msj8IkcRykaEkU8tcTE;51.0238342,22.5239161
Ciechanki – kopiec – mogiła ofiar z I w. św. gm. Puchaczów, pow. łęczyński,;;;Ciechanki 56, 21-013 Ciechanki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBzmLPfStI0cRkdAnmHuJToc;51.2754987,22.9552059
Charlęż – kopiec na cm z I w. św. gm. Spiczyn, pow. łęczyński,;;;;NOT_FOUND;
Chełm – kopiec Wolności, gm. Chełm, pow. Chełm ,;;;22-100 Chełm, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk1Vs1zabI0cRLDMQ6JM45u8;51.1326323,23.479434
Chełm – kopiec im. T. Kościuszki, gm. Chełm, pow. Chełm,;;;22-100 Chełm, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk1Vs1zabI0cRLDMQ6JM45u8;51.1326323,23.479434
Chełm – kopiec pamięci pomordowanych , gm. Chełm. pow. Chełm,;;;22-100 Chełm, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk1Vs1zabI0cRLDMQ6JM45u8;51.1326323,23.479434
Chełm – kopiec z pomnikiem żołnierzy AK, gm. Chełm, pow. Chełm ,;;;22-100 Chełm, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk1Vs1zabI0cRLDMQ6JM45u8;51.1326323,23.479434
Chełm - kopiec z figurą NMP, gm. Chełm, pow. Chełm ,;;;22-100 Chełm, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk1Vs1zabI0cRLDMQ6JM45u8;51.1326323,23.479434
Chełm - kopiec z krzyżem wotywnym, gm. Chełm, pow. Chełm,;;;22-100 Chełm, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk1Vs1zabI0cRLDMQ6JM45u8;51.1326323,23.479434
Chełm – kopiec parkowo –widokowy, gm. Chełm, pow. Chełm ,;;;22-100 Chełm, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk1Vs1zabI0cRLDMQ6JM45u8;51.1326323,23.479434
