nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Bardo Śląskie;;;Bardo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIwq6VskiDkcRhHSiqx5oGWk;50.5058739,16.7399387
Międzygórze;;;57-514 Międzygórze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwWZRVTQCDkcRgW16nFUnXUM;50.2306597,16.7665525
Twardogóra;;;Twardogóra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvUB1NhL_D0cRkF1qa2-DQcA;51.36499,17.46841
Wambierzyce;;;Wambierzyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJzXcDxpRqDkcR6xPGSAeOdTM;50.4800556,16.4379126
Wrocław (Podkamień);;;Podkamień, Polska;https://www.google.com/maps/place/?q=place_id:ChIJlYxfv2_BEUcREghvQ0lbLQE;50.4349066,17.3410769
Wrocław (Lwów);;;Wita Stwosza 57, 50-438 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3SmYt-TDD0cR14wDBaiCs18;51.11053039999999,17.0339309
Wrocław (Mariampol);;;26-903 Mariampol, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPeZ50eTuGEcRUW4DZ-8ucsw;51.663666,21.2976817
Wrocław;;;Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJv4q11MLpD0cR9eAFwq5WCbc;51.10929480000001,17.0386019
Bydgoszcz;;;Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb71OdoYTA0cRDvNlS4zknuQ;53.12348040000001,18.0084378
Byszewo;;;Byszewo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2xrjzEoGA0cRRCXlnXLAZlI;53.2946474,17.818592
Chełmno;;;Chełmno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ75bbtGLfAkcRS03MZULwB_A;53.34842,18.4249899
Markowice;;;Markowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJByeyP6NXA0cRA-hGoREwWe8;52.7076207,18.2162878
Obory;;;87-645 Obory, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQU-GvTLoHEcR-vNgctUfA6Y;53.0018718,19.2138624
Ostrowąs;;;87-700 Ostrowąs, Polska;https://www.google.com/maps/place/?q=place_id:ChIJL2CNqRKxHEcRsXB2HdSiCLg;52.8303333,18.6952193
Pieranie;;;88-133 Pieranie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHd5RkzRTA0cRw3F0BctO1Us;52.7496333,18.4653584
Rywałd Królewski;;;Rywałd 48, 87-220 Rywałd, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAzFCgzEsHUcRX7ay57p9MGw;53.3780969,19.0297125
Skępe;;;87-630 Skępe, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRW2Mew3tHEcR6hzGMcB7JeQ;52.8677421,19.356164
Toruń;;;Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGeyU2eE0A0cRxIlqWJpySnQ;53.0137902,18.5984437
Chełm;;;Chełm, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ36UeUliaI0cR9vky0FB9vlI;51.1431232,23.4711986
Janów Lubelski;;;Janów Lubelski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJN_sI_LcnI0cR_P1qv5vLyJg;50.70668999999999,22.41078
Kazimierz Dolny;;;Kazimierz Dolny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTemGEId9IkcRqj6G9QUTpJo;51.3180409,21.9542482
Kodeń;;;Kodeń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo1IjfAVxIUcRsOTIcudaWC0;51.9143932,23.6072498
Krasnobród;;;22-440 Krasnobród, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs62jR-pZI0cRvLi7kVXlcEc;50.5453129,23.213387
Leśna Podlaska;;;21-542 Leśna Podlaska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ8ZIgEzaVIUcRE4HocQGWVnY;52.13163950000001,23.0297501
Lublin (Latyczów);;;22-300 Latyczów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJefey5xNzI0cR0aXPVLFt6yA;50.9449497,23.1617204
Lublin;;;Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYUAVHhRXIkcRX-no9nruKFU;51.2509458,22.5747275
Wąwolnica;;;24-160 Wąwolnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJawAJwxhiIkcRZWLUoXLA4Oo;51.294469,22.147076
Tomaszów Lubelski;;;22-600 Tomaszów Lubelski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFcyqxxGvJEcRjPXOCKzXaAI;50.447024,23.4163099
Włodawa - Orchówek;;;22-200 Orchówek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJubuBRiPdI0cRIZFos4u03FI;51.52358659999999,23.5729622
Wola Gułowska;;;21-481 Wola Gułowska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIXIp5lYJIkcRBG5PFPWEeXU;51.7005369,22.2087031
Rokitno;;;21-504 Rokitno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpadcjk69IUcRDSFXmMVXzAw;52.12103459999999,23.2950865
Charłupia Mała;;;98-200 Charłupia Mała, Polska;https://www.google.com/maps/place/?q=place_id:ChIJB54jhzH0GkcRP8Msi9URh6o;51.6199767,18.6786451
Gidle;;;97-540 Gidle, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf-3QqVhRF0cRJgW5mEC3bNI;50.96192610000001,19.4712316
Głogowiec;;;Głogowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJnQnTD42cG0cRbQ8mZtn-HR4;52.2803012,19.3271134
Łask;;;Łask, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwZkjeWNGGkcR9spDk3meViw;51.5906364,19.1327882
Piotrków Trybunalski;;;Piotrków Trybunalski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZSon3Y2KGUcRznyoKX8F3V0;51.40517209999999,19.7030244
Studzianna;;;26-315 Studzianna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMaleT4GhGUcRE27wYIghXwY;51.524528,20.3487877
Wieluń;;;98-300 Wieluń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyQeonmZ_GkcRAlzioLJI4ls;51.2186,18.56892
Bochnia;;;32-700 Bochnia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ96J6DjE7FkcRaAdJAiOJ8sA;49.96845769999999,20.4303286
Czerna;;;32-065 Czerna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo1IGj33wFkcRrjwD8Y0KcFc;50.17077399999999,19.6228967
Kalwaria Zebrzydowska;;;34-130 Kalwaria Zebrzydowska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPUvbwwdjFkcRT1YYLubxfjU;49.86686,19.67676
Kraków (Sokal);;;Wawel 5, 31-001 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9Rk2BW1bFkcRmKV_1sTfuaw;50.0541115,19.935423
Kraków;;;Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0RhONcBEFkcRv4pHdrW2a7Q;50.06465009999999,19.9449799
Kraków;;;Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0RhONcBEFkcRv4pHdrW2a7Q;50.06465009999999,19.9449799
Kraków;;;Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0RhONcBEFkcRv4pHdrW2a7Q;50.06465009999999,19.9449799
Kraków;;;Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0RhONcBEFkcRv4pHdrW2a7Q;50.06465009999999,19.9449799
Kraków - Bieńczyce;;;Bieńczyce, Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJn2_EPEFFFkcR3GOvvch6KLI;50.0903807,20.021665
Kraków - Podgórze;;;Podgórze, Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwdPkzOxEFkcR_PAafjhm-0A;50.0448508,19.9730816
Limanowa;;;34-600 Limanowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJdxaXEeocFkcRgZOkwsUXU78;49.70587,20.42228
Lipinki;;;Lipinki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrwOvokbIPUcR-vTw1mAhj2c;49.6718969,21.2911553
Ludźmierz;;;Ludźmierz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJS2dBWaTlFUcRhpvdvzTCRWA;49.4582953,19.9843477
Maków Podhalański;;;Maków Podhalański, Polska;https://www.google.com/maps/place/?q=place_id:ChIJoZSloVp5FkcR_iBVwopIw0Q;49.72953,19.67695
Myślenice;;;32-400 Myślenice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpaeJOIJuFkcRuZPF2p5TyZQ;49.83347,19.93965
Nowy Sącz;;;Nowy Sącz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJz5XxszzlPUcRJTLwo-TgZZg;49.6174535,20.7153325
Odporyszów;;;33-240 Odporyszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJxeb5_gN_PUcR3SV5BoYduto;50.151476,20.911113
Okulice;;;32-712 Okulice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwTRUZTQuFkcR6qd9FMhz2dI;50.0592249,20.5296546
Pasierbiec;;;34-600 Pasierbiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJxezEG5QbFkcRVo5rl6dJKAA;49.7578543,20.3801242
Płoki;;;Płoki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJKVMsinflFkcRqrHD1tp5Dqc;50.2032566,19.5135882
Smardzowice;;;32-077 Smardzowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMZp6DERWFkcRQ2Whirb6WFg;50.1914052,19.8651212
Staniątki;;;32-005 Staniątki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIdNaRWdHFkcRQbAvmsf1yE0;50.0076543,20.1932291
Szczyrzyc;;;34-623 Szczyrzyc, Polska;https://www.google.com/maps/place/?q=place_id:ChIJT4AsQnERFkcR5qhh9UZuq5U;49.7827196,20.1892459
Tuchów;;;33-170 Tuchów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm5vp9UCXPUcR9H7HrKnUSNk;49.89477,21.05416
Wadowice;;;34-100 Wadowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpZyTCJaIFkcRibEOounaP7M;49.88278560000001,19.4939579
Wieliczka;;;Wieliczka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhy_YasRDFkcRUwR0_HFmgh0;49.9870619,20.0647971
Zakopane - Krzeptówki;;;ulica Stare Krzeptówki, 34-500 Zakopane, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjWRoMFHtFUcRRq354WclKyA;49.2811574,19.918093
Zielenice;;;32-107 Zielenice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3xoyVfWyF0cREj5DpS2oSnA;50.2896928,20.1886653
Błotnica;;;66-540 Błotnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6VT8yQzFBkcRpD9VM0A1pkw;52.842586,15.684836
