nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Bardo,;;;Bardo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIwq6VskiDkcRhHSiqx5oGWk;50.5058739,16.7399387
Bolków,;;;Bolków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJedCroRQCD0cR_qrzOGh5euo;50.92449999999999,16.1037801
Chełmsko Śląskie,;;;Chełmsko Śląskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMVlgAA72DkcRsLsRmsuUUzU;50.6642375,16.0731221
Duszniki Zdrój,;;;Duszniki-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_eTxHGFsDkcRDzYttRmDCGo;50.404284,16.3904406
Gryfów Śląski,;;;59-620 Gryfów Śląski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPaUWXUcqD0cREa1cUkJ0wYI;51.0350353,15.4122128
Karpacz,;;;Karpacz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmZVVc43oDkcR4qqHoT_QHHU;50.7758815,15.7555976
Lądek Zdrój,;;;Lądek-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0-K5_4sdDkcR17jrYWIdcw4;50.3430802,16.8795362
Lubomierz,;;;Lubomierz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc69y-DYoD0cRwdYKthAHKqw;51.01264639999999,15.510661
Międzylesie,;;;Międzylesie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqcJChf_9DUcRfntQKjeHCSs;50.1477491,16.6670843
Niemcza,;;;Niemcza, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ58cfSyIyDkcRusE2J_hepzM;50.7197493,16.8357165
Polanica Zdrój,;;;Polanica-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5wnPop8TDkcR8F1uBb0d1hQ;50.40422969999999,16.5127837
Prochowice,;;;Prochowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjRk7Pml0D0cRjiXH_rlc1AA;51.27303999999999,16.3653
Radków,;;;Radków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ41j8YRVqDkcR602K74270xI;50.5046222,16.3972701
Sobótka,;;;Sobótka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtzllzoq1D0cRXH-Jo_l7aAs;50.89984,16.7445201
Srebrna Góra,;;;Srebrna Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1xGJGFY5DkcR3PP9cu6eqI4;50.575675,16.6608276
Szklarska Poręba,;;;58-580 Szklarska Poręba, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbYTZu1HFDkcRV5XRoJ5oddg;50.8274316,15.5261477
Świeradów Zdrój,;;;Świeradów-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6ySy2XnTDkcRqREVCpsC2dA;50.9080121,15.3437795
Wleń,;;;Wleń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgzhG28QmD0cR18VRjeKeTgE;51.0176058,15.677587
Złoty Stok,;;;Złoty Stok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJI5b07BQfDkcRvgxpiml9AM4;50.44459,16.87578
Brześć Kujawski,;;;87-880 Brześć Kujawski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJe6i0roefHEcRbcxSrixnlpk;52.60628,18.9012899
Dobrzyń nad Wisłą,;;;Dobrzyń nad Wisłą, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHY3nqcWFHEcRFFfyPe4WOF0;52.6375464,19.3182434
Gąsawa,;;;Gąsawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJEbEObGhiA0cRvk80ibh8hgM;52.7674269,17.7555923
Górzno,;;;Górzno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJiblBdd8CHUcRLgoq7KiaJ_4;53.1980031,19.6444061
Kcynia,;;;Kcynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7ygEtRidA0cR-9FdCe0LsY0;52.99166,17.4884299
Kowal,;;;87-820 Kowal, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ03FDm6-CHEcRV2sxHsJn0T0;52.53015,19.14773
Kowalewo Pomorskie,;;;87-410 Kowalewo Pomorskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJg-sv72XRHEcRhu4NGjioicw;53.15467,18.89802
Kruszwica,;;;88-150 Kruszwica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJD9a19ZBVA0cR2E-_l7eyzJw;52.67429,18.33159
Lubraniec,;;;87-890 Lubraniec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3T1r2jJeG0cRqdA7hsPMfts;52.5413225,18.8315208
Łabiszyn,;;;89-210 Łabiszyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJu3m_R9BuA0cRniNuj3VeH3o;52.95211,17.91972
Nieszawa,;;;Nieszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk-Gi6nu5HEcRn-rHvv0IfD4;52.8344014,18.8950771
Nowe,;;;Nowe, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9yvaEWnHAkcRmfqB2FnVVbk;53.64903,18.7271078
Pakość,;;;88-170 Pakość, Polska;https://www.google.com/maps/place/?q=place_id:ChIJY2W0Kw1cA0cRkQDOuSD8XUs;52.8072096,18.0916731
Radzyń Chełmiński,;;;87-220 Radzyń Chełmiński, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfY4OC8YsHUcRUv83yDOhbmY;53.385034,18.9371303
Skępe,;;;87-630 Skępe, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRW2Mew3tHEcR6hzGMcB7JeQ;52.8677421,19.356164
