nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Będomin – miejsce urodzenia Józefa Wybickiego, Muzeum Hymnu.;;;Będomin 16, 83-422 Nowy Barkoczyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBQnXR3qH_UYRIRGKI70rIvw;54.1295807,18.1198888
Bochnia – tablica poświęcona J.H Dąbrowskiemu w bazylice św. Mikołaja;;;Plac Świętej Kingi 9, 32-700 Bochnia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs3kC2jU7FkcRTo7ykqkZmOU;49.9692697,20.4280765
Bolesławowo k/ Skarszew – portret i kamień z tablicą poświęconą J. Wybickiemu.;;;Bolesławowo 15, 83-250 Skarszewy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpTMwQIN9_UYR6zWTQ7ZjWD4;54.071841,18.4850869
Brodnica k/Śremu – miejsce spoczynku Józefa Wybickiego do 1923 r., pomnik;;;;NOT_FOUND;
Bydgoszcz – tablica na Starym Rynku upamiętniająca pobyt J. Wybickiego i;;;Stary Rynek, 85-105 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWYtOgbsTA0cRfE_e-y9cX24;53.12216549999999,18.0006989
Bydgoszcz - w parku głaz a na nim tablica upamiętniająca miejsce dowodzenia J.H. Dąbrowskiego w bitwie w 1794 r.;;;;NOT_FOUND;
Gdów – tablica w 250 rocznicę urodzin J.H. Dąbrowskiego;;;;NOT_FOUND;
Gniew – tablica upamiętniająca pobyt Jana Henryka Dąbrowskiego;;;;NOT_FOUND;
Kargowa – tablica z okazji 200 rocznicy Mazurka Dąbrowskiego;;;;NOT_FOUND;
Kętrzyn - kamień z tablicą upamiętniająca pobyt w 1807 r.;;;;NOT_FOUND;
Kościerzyna – pomnik J. Wybickiego;;;Mazurka Dąbrowskiego, 83-400 Kościerzyna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs4FcF8h3AkcREfp7Y6hRd-0;54.1191606,17.978099
Łabiszyn – na kamieniu tablica z okazji 200 rocznicy wyzwolenia miasta w 1794 r przez J.H. Dąbrowskiego;;;plac 1000-lecia 1, 89-210 Łabiszyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJWLN8dFuA0cRUTrb51dBKR0;52.9527598,17.9197593
Manieczki – miejsce zgonu Józefa Wybickiego, muzeum, pomnik.;;;63-112 Manieczki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTwmz59GrBUcRAtJpdSt45Ow;52.11209969999999,16.9350188
Margonin – Izba pamięci Józefa Wybickiego;;;Margonin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSzTCkzqNA0cRqOHD0j-ecj0;52.9855471,17.1252624
Niechanowo – tablica upamiętniająca pobyt J. Wybickiego.;;;Parkowa 6, 62-220 Niechanowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIfKL8rGVBEcR75FVzh0o_Zk;52.462024,17.6786162
Olsztyn – tablica na budynku „Gazety Olsztyńskiej” w 200 rocznicę Mazurka Dąbrowskiego.;;;Gazety Olsztyńskiej, 10-001 Olsztyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4T6itNZ-4kYRJ8EGIO3qtKE;53.77736119999999,20.4761915
Parkowo – izba pamięci J.H. Dąbrowskiego;;;Piastowska 37, 66-210 Dąbrówka Wielkopolska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqVkU0FZ9BkcRBROExsaQeJc;52.2747314,15.8077512
Pierzchowice k/Bochni - miejsce urodzenia Jana Henryka Dąbrowskiego.;;;32-420 Pierzchów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq6qqDS48FkcR22OQ_j16Gy8;49.9337266,20.2938806
Pilaszków - w parku pomnik J.H. Dąbrowskiego;;;32-420 Pierzchów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq6qqDS48FkcR22OQ_j16Gy8;49.9337266,20.2938806
Płock – witraż J. Wybickiego;;;;NOT_FOUND;
Poznań – kościół św. Wojciecha – miejsce spoczynku prochów J. Wybickiego, miejsce przechowywania urny z sercem Jana Henryka Dąbrowskiego, tablica pamiątkowa;;;Wzgórze Św. Wojciecha 1, 61-748 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJE_4RbkZbBEcRV6KXf1PAGEM;52.4135965,16.9322486
Poznań – Stary Rynek - Pałac Mielżyńskich (Pałac Górowskiego) w 1806 r. tu swoją kwaterę umieścili Jan Henryk Dąbrowski i Józef Wybicki - miejsce spotkania z przedstawicielami społeczeństwa Wielkopolskiego - tablica pamiątkowa.;;;Stary Rynek 91, 61-773 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXSPLT0dbBEcRHrrZBi5Q5rk;52.4089259,16.9336267
Poznań - Chwaliszewo - tablica upamiętniająca autora Hymnu;;;;NOT_FOUND;
Rumia – pomnik Jana Henryka Dąbrowskiego i Józefa Wybickiego;;;Starowiejska, 84-230 Rumia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-TtlbRyl_UYRi0wXmfTX930;54.5781755,18.3980111
Rypin - przed budynkiem Liceum Plastycznego popiersie Józefa Wybickiego;;;Sportowa 24, 87-500 Rypin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJP4t8yi_kHEcReWuUw-ACEKk;53.0675219,19.3970035
Sikorzyn – Dworek Wybickich;;;Rodu Wybickich 62, 83-316 Sikorzyno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2XTLmOWI_UYRl4tkoPQtMz4;54.1932004,18.0297729
Skarszew – tablica upamiętniająca pobyt J. Wybickiego;;;plac gen. Hallera 1, 83-250 Skarszewy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJn79BlPZ9_UYRCVMmLTxFEC4;54.0720824,18.444368
Szymbark – pomnik Józefa Wybickiego;;;Mazurka Dąbrowskiego, 83-400 Kościerzyna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs4FcF8h3AkcREfp7Y6hRd-0;54.1191606,17.978099
Śrem – pomnik J. Wybickiego przed Ratuszem,;;;63-100 Śrem, Polska;https://www.google.com/maps/place/?q=place_id:ChIJLfcegPAABUcRbSbRDpnxwQs;52.0983187,17.0253452
Śrem - popiersie J. Wybickiego przed Liceum Ogólnokształcącym;;;Poznańska 11, 63-100 Śrem, Polska;https://www.google.com/maps/place/?q=place_id:ChIJkfdtj-UABUcR8EvyKcR7RaA;52.09598130000001,17.0233114
Środa Wlkp. – pomnik Jana Henryka Dąbrowskiego.;;;Dąbrowskiego, 63-000 Środa Wielkopolska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs1G0QxX7BEcRfjDIQzQBIOs;52.2264215,17.2825852
Tczew - tablica upamiętniająca szturm armii dowodzonej przez Jana Henryka Dąbrowskiego;;;dworzec Suchostrzygi, 83-110 Tczew, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk1KkWUZh_UYRnsbSdpND6ho;54.0956391,18.7503832
Wełna – miejscowość, z której pochodzi Estera żona Wybickiego, miejsce ślubu – drewniany kościół.;;;;NOT_FOUND;
Winnagóra – miejsce zgonu i spoczynku Jana Henryka Dąbrowskiego, izba pamięci.;;;Winna Góra 9, 63-013 Winna Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJN-Bcb07nBEcR2GMzkTLyBu4;52.2077527,17.4459144
