nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Żurawno kolo Halicza – miejsce urodzenia 04 lutego 1505 r.,;;;;NOT_FOUND;
Skalbmierz – w 1514r przez 2 lata uczęszcza do szkoły,;;;Kanonijska 7, 28-530 Skalbmierz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs9QngUK2F0cR9z72i12geks;50.3162117,20.3954964
Lwów – przez następne 2 lata, uczęszcza do szkoły,;;;;NOT_FOUND;
Kraków w 1518 r., studiuje w Akademii Krakowskiej, przebywa w latach 1541–69  w Krakowie przy ul. Grodzkiej, obecnie w tym miejscu posadowiona jest kamienica nr 60, wzniesiona w 1871 r.,;;;;NOT_FOUND;
Sawczyn – (wieś, nie istnieje) założona przez M. Reja w 1542 r.,;;;;NOT_FOUND;
Rejowiec – miasto założone przez Mikołaja Reja w 1547 r.,;;;;NOT_FOUND;
Oksa – miasto założone przez Mikołaja Reja w 1554 r.,;;;Oksa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbfm5vM92F0cRg3LTMEJzHbY;50.728749,20.100239
Sędziszów – miejscowość z której pochodziła, żona M. Reja, Zofia Kościeniówna, z którą wziął ślub w 1531 r.,;;;;NOT_FOUND;
Nagłowice – majątek i miejsce zamieszkania rodziców M. Reja, Mikołaj Rej nigdy  tam nie mieszkał, chociaż podpisywał się „Mikołaj Rej z Nagłowic” aktualnie w dworku – muzeum Mikołaja Reja,;;;Walewskiego 7, 28-362 Nagłowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJy0CDBUaZF0cR-yM79ESXSVY;50.6751567,20.1041596
Topola – wieś, która oddziedziczył i mieszkał od około 1546 r.,;;;;NOT_FOUND;
Temerowice – wieś, którą otrzymał od króla Zygmunta Starego, za zasługi rymotwórcze,;;;;NOT_FOUND;
Dziewięciele – wieś, otrzymana w darze od Zygmunta II Augusta.,;;;;NOT_FOUND;
Chełm, Krasnystaw, Książ, Lublin, Urzędów – w tych miejscowościach uczestniczył w rozprawach sądowych i targach,;;;;NOT_FOUND;
Topola, Bobki, Zlanowice – w byłym woj. kieleckim i sandomierskim, posiadał dobra ziemskie,;;;05-480 Glinki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWSZGZyXXGEcResCT8mznFyw;51.9991833,21.2321818
Wywła – miejscowość, w której urodziła się żona M. Reja , Zofia Kościeniówna,;;;28-350 Wywła, Polska;https://www.google.com/maps/place/?q=place_id:ChIJT_KUwBkNF0cRSBz5EQgivmY;50.6133219,19.9243587
Kobyle, Wola Kobylska, gmina Rejowiec, – na gruntach tych wsi, M. Rej założył Rejowiec,;;;22-360 Kobyle, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2dEMUA6fI0cRC2eKUKycFMQ;51.0824563,23.2790056
Stajne, Rybie ,Wereszcze, gmina Rejowiec – dobra wniesione w posiadanie Ziemi Chełmskiej,;;;Stajne, 22-169 Rejowiec Fabryczny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAX08ZfWhI0cRm7decit7zKw;51.11141620000001,23.2613811
Siennica Różana, gmina Siennica Różana – dobra w niesione w posiadanie Ziemi Chełmskiej,;;;22-304 Siennica Różana, Polska;https://www.google.com/maps/place/?q=place_id:ChIJn0oLEnF2I0cR-IVf4I5TSLM;51.0000803,23.3235504
Hańsk, Kulczyn, gmina Hańsk – dobra wniesione w posiadanie Ziemi Chełmskiej,;;;Kulczyn-Kolonia 48, 22-235 Hańsk Pierwszy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO29NMn7HI0cRHgqmFVs-AlI;51.3815119,23.3261785
Kołacze, gmina Stary Brus – dobra wniesione w posiadanie Ziemi Chełmskiej,;;;22-244 Kołacze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFaVOgODFI0cRvK5KxK_CHMA;51.4708424,23.3233659
Popkowice, Skorczyce, gmina Urzędów – dobra wniesione w posiadanie Ziemi Chełmskiej,;;;23-250 Skorczyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJp5K1_B3sIkcRh-wj2ySS9GU;51.0092533,22.1981989
Plisków, gmina Leśniowice – dobra wniesione w posiadanie Ziemi Chełmskiej,;;;22-122 Plisków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJffADBgR4I0cRTuAUsEWD9y0;50.9934349,23.4486226
Czerniów, Kłodnica, Łopiennik, Pawłów, Rakołupy, Żdżanne – z mieszkańcami tych wsi prowadzi długo trwałe procesy sądowe w sprawie stosunków międzysąsiedzkich.;;;;NOT_FOUND;
