nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Aleksandrów Kujawski – gmina Aleksandrów Kujawski, pow. aleksandrowski, woj. kujawsko-pomorskie, grobowiec Władysława Trojanowskiego, zbudowany po 1864 r;;;87-700 Aleksandrów Kujawski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ639MHOK3HEcRc11dNg6kMaY;52.8797682,18.6997346
Brodnica – gmina Brodnica, pow. brodnicki, woj. kujawsko-pomorskie, grobowiec dr Leopolda Fredricha Dittmera (1797- 1831), na dawnym cmentarzu ewangelickim,;;;Sądowa 4, 87-300 Brodnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq0DQ-SQfHUcRc4EQGeJgaOw;53.2607168,19.3919913
Chojna - gmina Chojna, pow. gryfiński, woj. zachodnio-pomorskie, pomnik – piramida wzniesiony z kamieni polnych, przy drodze do Krajnika Dolnego (zw. kopcem szwedzkim),;;;Odrzańska, 74-500 Chojna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJzSXu0MBYB0cRDcsD0tH36xk;52.96227409999999,14.4230258
Czersk - gmina Czersk, pow. Chojnice, woj. pomorskie, piramida na cm z I w.św.;;;plac Tysiąclecia 16, 05-530 Czersk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRYqG3jDYGEcRkfR6DZdQ_Vw;51.9582281,21.234069
Iłówiec - gmina Brodnica, pow. śremski, woj. wielkopolskie, piramidka – przydrożna kapliczka, upamiętniającą pobyt Napoleona w 1806 r.;;;Iłówiec 17, 63-112 Iłówiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJof5EJSOtBUcRtmGApdrFBvk;52.16737930000001,16.80834
Karczew - gmina Karczew, pw. otwocki, woj. mazowieckie, zbiorowa mogiła – pomnik żołnierzy insurekcji z 1794 r.;;;Adama Mickiewicza 45, 05-480 Karczew, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgeie8w0qGUcRyCGQu_Xaqyg;52.08138090000001,21.2571769
Kartlewo – gmina Przybiernów, pow. goleniowski, woj. zachodnio- pomorski, pomnik mieszkańców poległych w I w. św.;;;72-130 Maszewo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCfYxMQ6WAEcRZ40HGFC55YI;53.4967032,15.0536739
Kasina Wielka – gmina Mszana Dolna, pow. limanowski, woj. małopolski, kamienna smukła piramida – obelisk, jako pomnik poległych w I w. św.;;;34-741 Kasina Wielka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJW7JzxaQPFkcRE-Re4a22VTk;49.7074562,20.1262169
Kraków – gmina Kraków, pow. Kraków, woj małopolskie, Cmentarz Rakowicki:grób rodziny Schoengut-Strzeminskich (kw.V),;;;Rakowicka 26, 31-510 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4fLDYh1bFkcRf6eDsONQ6WU;50.0738873,19.954187
Kraków – Cmentarz Rakowicki: grób rodziny Duszyńskich (kw.He),;;;Rakowicka 26, 31-510 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4fLDYh1bFkcRf6eDsONQ6WU;50.0738873,19.954187
Kraków - Cmentarz Rakowicki: grób rodziny Szydłowskich i Kostków (pas Ac),;;;Rakowicka 26, 31-510 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4fLDYh1bFkcRf6eDsONQ6WU;50.0738873,19.954187
Krynica - gmina Rejowiec Osada, pow. chełmski, woj. lubelskie, „ARIANKA”- grobowisko ariańskie, pochówek Pawła Orzechowskiego (1550 – 1612),;;;22-302 Krynica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAR70r-yfI0cR9YcaeZk4nJY;51.0635427,23.2459739
Lidzbark Warmiński – gmina Lidzbark Warminski, pow. lidzbarski, woj. warminsko-mazurskie, pomnik na cmentarzu poległych jeńcow z I w. św.;;;11-100 Markajmy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ63IT6Y714kYRi6INiKeMoiI;54.12775019999999,20.6088093
Lipa koło Bolkowa - gmina Bolków, pow. jaworski, woj. dolnośląskie, na terenie ruin zamku, XII-wieczna konstrukcja przypisywana temperiuszom, interpretowana jako rodzaj ”obserwatorium” astronomicznego - ewentualnie komin zamkowej kuchni?;;;Zamkowa 1, 59-420 Bolków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJzakRQ2sCD0cRR7yWW_AMQ_U;50.92176,16.0978687
Łaziska – gmina Wągrowiec, pow. wągrowiecki, woj. wielkopolskie, grobowiec rotmistrza Franciszka Łakińskiego, zmarłego w 1845r.;;;Łaziska 97, 62-100, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVYsFKQB5BEcR1PggPEHRa3E;52.7932686,17.2324161
Międzybrodzie – gmina Sanok, pow, sanocki, woj. podkarpackie, grobowiec rodziny Kulczyckich, zbudowany około 1935 r.;;;;NOT_FOUND;
Piotrowice - gmina Kąty Wrocławskie, pow. wrocławski, woj. dolnośląskie, grobowiec rodziny von Limburg-Styrum, wzniesiony około 1865 – 1870,;;;;NOT_FOUND;
Rożnów - gmina Wołczyn, pow. kluczborski, woj. opolskie, grobowiec rodziny von Eben und Brunnen, wzniesiony około 1780 r.,;;;Rożnów 48, 46-262 Rożnów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6-ZJ-r1lEEcRLEAlZuu7Q4g;51.05340589999999,18.1418807
Sanok – gmina Sanok, pow. sanocki, woj. podkarpackie, na cmentarzu grobowiec gen. Adama Dembickiego von Wroceń, zmarłego w 1933 r.;;;;NOT_FOUND;
Sanok – jw. , na cmentarzu grobowiec rodziny Szomek, około 1920 r.;;;Władysława Łokietka 38, 38-500 Sanok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6fYZH4hyPEcRPAFioEfI_zI;49.556513,22.2277231
Szczepanów – gmina Brzesko, pow. brzeski, woj. małopolskie, pomnik na cmentarzu wojennym z I w. św.;;;Świętego Stanisława 30, 32-823 Szczepanów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6xlNmo4oFkcRTlaJ9pqlyVI;50.007124,20.6485336
