nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Góra Malinowa – Jaskinia Malinowa. pow. bielski, woj. śląskie,;;;MX5J+2W, Wisła, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIUN-SgAjFEcR5DwBFGmUlTc;49.6575545,18.9822639
Jerzmanowice – Jaskinia Nietoperzowa, gmina Jerzmanowice – Przeginia, pow. krakowski,  woj. małopolskie,;;;Nietoperzowa 88, 32-048 Jerzmanowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXaU0Qfj4FkcRt-aTIVgYPgc;50.1939184,19.774458
Kletno –Jaskinia Niedźwiedzia, gmina Stronie Śląskie, pow. kłodzki, woj. dolnośląskie,;;;Stronie Lasy 18, 57-550, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVVMqKm7nO0cRWCPg5NtmM_Y;50.234414,16.842811
Kiry – Jaskinia Mroźna, gmina Kościelisko, pow. tatrzański, woj. małopolskie,;;;Kiry 26, 34-511 Kościelisko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYYsgSe2SFUcRcOOuDo7uTTk;49.2523126,19.8702975
Kiry – Jaskinia Mylna, gmina Kościelisko, pow. tatrzański ,woj. małopolskie,;;;Szlak pieszy czerwony, 34-511 Kościelisko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJU_tBe2CSFUcRTpecNMu2ZBU;49.2394908,19.8623116
Kiry – Jaskinia Obłazowa, gmina Kościelisko, pow. tatrzański, woj. małopolskie,;;;34-511 Kościelisko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqYfa1F-SFUcR49AYJLf0zu0;49.2395629,19.8624518
Kiry – Jaskinia Raptawicka gmina Kościelisko, pow. tatrzański, woj. małopolskie,;;;34-511 Kościelisko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2wJod2CSFUcRZD89h5uUVe8;49.23983339999999,19.8619837
Kiry – Smocza Jama (w Wąwozie Kraków), gmina Kościelisko, pow. tatrzański, woj. małopolskie,;;;Szlak pieszy żółty, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXWICcP6TFUcRU48cUnZblt0;49.23781349999999,19.8680168
Kraków –Jaskinia Smocza Jama, gmina Kraków, pow. Kraków, woj. małopolskie,;;;Wawel 5, 31-001 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ96dOkG1bFkcRGqZOv1nYNFk;50.0530031,19.9335826
Lubień – Jaskinia Zimna Dziura (w Szczeblu), gmina Lubień, pow. myślenicki, woj. małopolskie,;;;59-600 Lwówek Śląski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo0hdtoYvD0cRAf3FzinMnmE;51.105873,15.6253695
