nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Jawor – kościół ewangelicko-augsburski Ducha Świętego, tzw. Kościół Pokoju.;a. Kościoły:;;park Pokoju 2, 59-400 Jawor, Polska;https://www.google.com/maps/place/?q=place_id:ChIJN6cT3pcFD0cRXGL4OKNIeQo;51.0539419,16.1891651
Karpacz – kościół ewangelicko-augsburski Naszego Zbawiciela, tzw. Kościół Wang.;a. Kościoły:;;Na Śnieżkę 8, 58-540 Karpacz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOTDdKHDoDkcRsvR0pTSUxas;50.7773804,15.724084
Legnica – kościół ewangelicko-augsburski Marii Panny.;a. Kościoły:;;Plac Mariacki 1, 59-220 Legnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ87OOtpsSD0cRVMOYKPHv7gc;51.2097871,16.165341
Milicz – kościół rzymskokatolicki św. Andrzeja Boboli, d. ewangelicki kościół Świętego Krzyża, tzw. Kościół Łaski.;a. Kościoły:;;aleja Spacerowa 2, 56-300 Milicz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ38eC3_JbBUcRF154JbILAHg;51.5279953,17.2725472
Pielgrzymka – kościół rzymskokatolicki św. Jana Nepomucena, d. ewangelicki kościół ucieczkowy.;a. Kościoły:;;Pielgrzymka 112, 59-524 Pielgrzymka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJdWbJOyo9D0cRHNbURCuncpk;51.1198506,15.8155546
Pogorzeliska, gm. Chocianów – kościół rzymskokatolicki św. Jacka, d. ewangelicki kościół graniczny.;a. Kościoły:;;Pogorzeliska 21, 59-140 Pogorzeliska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgRnL-D9bD0cRbzsamuudy84;51.4662778,15.9188487
Strzelin – kościół rzymskokatolicki Matki Chrystusa i św. Jana Apostoła, jednocześnie kościół parafii ewangelicko-reformowanej.;a. Kościoły:;;Staromiejska 23, 57-100 Strzelin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZy9pNcbUD0cR8WgSpWHxad8;50.7748561,17.072857
Syców – kościół ewangelicko-augsburski ap. Jana i Piotra.;a. Kościoły:;;plac Królowej Jadwigi 3, 56-500 Syców, Polska;https://www.google.com/maps/place/?q=place_id:ChIJucoShEwGEEcRDRNvDZvQ4Gg;51.3066193,17.7187262
Świdnica – kościół ewangelicko-augsburski Świętej Trójcy, tzw. Kościół Pokoju.;a. Kościoły:;;plac Pokoju 6, 58-100 Świdnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJC5a0BzVNDkcRmXToO57XwRs;50.8464847,16.4916674
Wrocław – kościół ewangelicko-augsburski Opatrzności Bożej.;a. Kościoły:;;Kazimierza Wielkiego 29, 50-077 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk132mHTCD0cRBiAknuAcoTk;51.1079011,17.0279843
Jelenia Góra – cmentarz ewangelicki z zespołem kaplic, ul. 1 Maja.;b. Cmentarze:;;58-500 Jelenia Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4-MAXQDfDkcRedX7eIkSFEY;50.89221790000001,15.7294054
Krzyżowa – cmentarz ewangelicki rodziny von Moltke.;b. Cmentarze:;;58-112 Krzyżowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2UqTZTRNDkcRmGndel-tcM4;50.7967165,16.5260187
Kudowa-Zdrój – cmentarz ewangelicki w Pstrążnej.;b. Cmentarze:;;57-350 Kudowa-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO917BcFoDkcRgXQpB4LdoPE;50.4731327,16.2686336
Międzybórz – cmentarz ewangelicki, ul. Kościelna.;b. Cmentarze:;;56-513 Międzybórz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpbi1Bk6qGkcRxJfvYE2QLic;51.401453,17.6447998
Szklarska Poręba – cmentarz ewangelicki, ul. Ludwika Waryńskiego/Piastowska.;b. Cmentarze:;;Waryńskiego 3, 58-580 Szklarska Poręba, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWaLEQRLbDkcRXVQ6DxxG6KI;50.839975,15.5545426
Mysłakowice – pomnik Johanna Fleidla i osada tyrolska.;c. Inne:;;Starowiejska 14, 58-533 Mysłakowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfyiMZnrnDkcRxIv9V6kfMf4;50.845993,15.774342
Piława Górna – osiedle braci morawskich.;c. Inne:;;plac Piastów Śląskich 4, 58-240 Piława Górna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmaWKStUxDkcRk8bK55e-3tE;50.6818901,16.7455403
Twardocice – pomnik szwenkfeldystów.;c. Inne:;;Bydlęca ścieżka, 59-516 Twardocice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMTbCFRojD0cRGJseyyg-5Sw;51.092068,15.7831693
Wrocław – pomnik Dietricha Bonhoeffera.;c. Inne:;;50-001 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyTORg_fDD0cRjEoATVh5L4A;51.1113124,17.0305983
Złotoryja – pomnik Valentina Trozendorfa.;c. Inne:;;;NOT_FOUND;
Bydgoszcz – kościół ewangelicko-metodystyczny, d. kościół baptystów.;a. Kościoły:;;Pomorska 41, 85-046 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq-2NG8cTA0cR4QqC9rVJh0A;53.1316459,18.0046161
Grudziądz – kościół ewangelicko-augsburski św. Jana, d. kościół katolicko-apostolski.;a. Kościoły:;;Cmentarna 3a, 86-300 Grudziądz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJlTDHeSnQAkcRjiMYudSVkxg;53.4760745,18.7599019
Kokocko – kościół rzymskokatolicki Niepokalanego Serca NMP, d. ewangelicki kościół Zbawiciela.;a. Kościoły:;;86-260 Kokocko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSd21bTkiA0cRr592_kt0kCU;53.2619723,18.3219021
Mała Nieszawka – kościół rzymskokatolicki NSPJ, d. kaplica menonicka.;a. Kościoły:;;Toruńska 184, 87-103 Mała Nieszawka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJkZDkZJI1A0cRpDu9E3LUwUg;52.9932341,18.524201
Mątawy – kościół rzymskokatolicki NMP Królowej Polski, d. menonicki dom modlitwy.;a. Kościoły:;;Mątawy 21, 86-170 Mątawy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmf2j2g7GAkcR6Y1fKSPfkMw;53.5755101,18.7497137
Toruń – kościół ewangelicko-augsburski św. Szczepana.;a. Kościoły:;;Wały Generała Władysława Sikorskiego 14, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJzM4PuM0A0cRQI4YnliYgpo;53.0131273,18.6060723
Bydgoszcz – cmentarz ewangelicko-augsburski, ul. Zaświat.;b. Cmentarze:;;Zaświat 6, 85-685 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJa1dAbNATA0cRt7Viuv-bz8U;53.1421358,18.0043531
Ciechocinek – cmentarz ewangelicki, ul. Słońsk Górny.;b. Cmentarze:;;Słońsk Górny 23-25, 87-720 Ciechocinek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHY57CXe3HEcROPAB8lhElb8;52.8852601,18.8161825
Sosnówka, gm. Grudziądz – cmentarz menonicki.;b. Cmentarze:;;86-302 Grudziądz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJdaOYMQDbAkcRe8vEGlBbSg8;53.41269250000001,18.6200578
Brodnica – pomnik Anny Wazówny.;c. Inne:;;87-300 Brodnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUROf1jgfHUcRmzUvKX4Ayrs;53.2581831,19.4000221
Toruń – Ratusz Staromiejski, Muzeum Okręgowe, Sala Wielka i wystawa „Dawny Toruń”.;c. Inne:;;Rynek Staromiejski 1, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1Z76lh01A0cRnp6b3uoiS08;53.0103951,18.6044611
Wielka Nieszawka – Olęderski Park Etnograficzny.;c. Inne:;;Mennonitów 14, 87-165 Wielka Nieszawka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBVYWYBE2A0cRPnFceQj02wg;53.0029742,18.4848155
Bełżyce – kościół rzymskokatolicki Nawrócenia św. Pawła, d. kalwiński dom modlitwy.;a. Kościoły:;;Plac Kościelny 8, 24-200 Bełżyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm-wuUWf0IkcRhxSTzvGBOHw;51.1747076,22.2776667
Lublin – kościół ewangelicko-augsburski Świętej Trójcy.;a. Kościoły:;;Ewangelicka 1, 20-075 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPylHNmZXIkcRDLMurnbKPIc;51.2486618,22.555111
Lublin – cmentarz ewangelicko-augsburski, ul. Lipowa.;b. Cmentarze:;;Lipowa, 20-400 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJiWcIlQ9XIkcRRCZfHkKlaj0;51.2439999,22.5523301
Rejowiec – pomnik Mikołaja Reja.;c. Inne:;;Rynek 2, 22-360 Rejowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJV10D8jGfI0cRmqc8VfLiJ0k;51.091519,23.2814269
Chlastawa – kościół rzymskokatolicki Narodzenia NMP, d. ewangelicki kościół ucieczkowy.;a. Kościoły:;;66-210, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhyO0God8BkcRPEQckvs86wI;52.2439858,15.8353437
Gorzów Wielkopolski – kościół rzymskokatolicki św. Antoniego i św. Stanisława Kostki, d. ewangelicki Kościół Zgody.;a. Kościoły:;;plac Staromiejski 1, 66-400 Gorzów Wielkopolski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr5kfaJYfB0cR0lWSkI-6Kx4;52.7332641,15.243828
