nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Gidle,;;;97-540 Gidle, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf-3QqVhRF0cRJgW5mEC3bNI;50.96192610000001,19.4712316
Kobiele Wielkie,;;;97-524 Kobiele Wielkie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm91K4eZXF0cRNxWPUfiSeZk;51.0315709,19.6249295
Tuszyn k. Łodzi,;;;95-080 Tuszyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm8rVf9AvGkcRuqUtZlMezFU;51.6061554,19.5335486
Wolbórka,;;;Wolbórka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJT0FhV7qIGUcRVMNXkp9xCio;51.5555337,19.7790613
Prażek,;;;Praszka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJceMF-1eFEEcReeJJAuppwys;51.05359,18.4535
Stacja PKP Baby,;;;97-310, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5xQk8NsnGkcRo4llU46AeMM;51.5370624,19.716567
Skierniewice,;;;96-100 Skierniewice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-RahO1ZgGUcREJx_IN_1KHk;51.9547169,20.1583303
Otwock,;;;Otwock, Polska;https://www.google.com/maps/place/?q=place_id:ChIJI9CKboMqGUcRxIbqLi7kC3s;52.1053186,21.2616247
Warszawa ul Miodowa, ul. Górnośląska, Aleja Zasłużonych – Powązki, Kościół Św. Krzyża, Włochy,;;;Powązkowska 14, 01-797 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6ePy7JfLHkcRZFN1qlD8W6o;52.2532874,20.9778219
ul Miodowa,;;;Miodowa, Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJz4NLvGXMHkcRcV4VPUc7K6M;52.24721,21.0097684
ul. Górnośląska,;;;Górnośląska, Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXXJdr_3MHkcR-jF7NYE5vUY;52.2251494,21.035899
Aleja Zasłużonych – Powązki,;;;Aleja Zasłużonych, Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbagkqoXLHkcRkzX5Fw9ygEw;52.25239029999999,20.9775192
Kościół Św. Krzyża,;;;plac Kościelny 1, 50-329 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGbgwjdnpD0cRux5e_EE2mS8;51.1149761,17.0438554
Włochy,;;;Zawichojska 33, 27-600 Sandomierz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSftPW6e1IkcRJUOiLpferZg;50.68820290000001,21.753684
Przyłęk,;;;26-704 Przyłęk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJoUq1GYR_GEcRME4PvXkgpR4;51.3082164,21.7473602
Rogów,;;;95-063 Rogów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0zXtLLzWG0cR7yh09yxuTH0;51.8179836,19.8857226
Stacja PKP Krosnowa,;;;96-128, Polska;https://www.google.com/maps/place/?q=place_id:ChIJzdLJ7NbZG0cR3xoRMAKLxkU;51.8644617,19.92336
Łódź,;;;Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr1ZFdSTLG0cRrNshm2OufMs;51.7592924,19.4558778
Lipce Reymontowskie,;;;Lipce Reymontowskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6fCQB6jZG0cRlvTIHZWaiZ0;51.8978017,19.9416859
Zakopane,;;;Zakopane, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOTnvlJLyFUcRoKZrcaGHjd8;49.299181,19.949562
Charłupia Wielka k. Sieradza,;;;Charłupia Wielka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo6cpSsH0GkcRjYXjnKcvT14;51.5704968,18.6295519
Kołaczkowo k. Wrześni,;;;62-306 Kołaczkowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJa5GzuiLdBEcRma8pmpEeXpY;52.2171464,17.6251468
Poznań,;;;Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtwrh7NJEBEcR0b80A5gx6qQ;52.40567859999999,16.9312766
Krynica,;;;Krynica-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ91-BUAV2PkcR-S7CPByZiEs;49.4215158,20.9594208
Kraków,;;;Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0RhONcBEFkcRv4pHdrW2a7Q;50.06465009999999,19.9449799
Mikołajowo k. Sandomierza,;;;;NOT_FOUND;
Wierzchosławice k. Tarnowa,;;;Wierzchosławice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFb0n_aSGPUcR6-HkZDyIjjA;50.02002599999999,20.8533492
Wierzchownia,;;;Wierzchownia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ63jZGYECHUcRbvPdz0_2VkQ;53.1541036,19.6496267
Łęczyca k. Sieradza,;;;Łęczyca, Polska;https://www.google.com/maps/place/?q=place_id:ChIJuRA4ohykG0cRZFYJY8mQmtA;52.05959,19.19969
Częstochowa.;;;Częstochowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr6gsTsW1EEcRNoIXGk0NT4U;50.8118195,19.1203094
