nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Jawor – prawa miejskie otrzymał prawdopodobnie w połowie XIII w., ratusz neorenesansowy z 1897 r., siedziba władz samorządowych i administracyjnych.;Województwo dolnośląskie;;;NOT_FOUND;
Jelenia Góra – prawa miejskie nadane w połowie XIII w., ratusz klasycystyczny z lat 1744-49 jest siedzibą władz samorządowych i administracyjnych.;Województwo dolnośląskie;;;NOT_FOUND;
Kłodzko – prawa miejskie nadane w 2 poł. XIII w., ratusz w stylu neorenesansowym nadanym w wyniku ostatniej przebudowy w XIX w., siedziba władz samorządowych i administracyjnych.;Województwo dolnośląskie;;;NOT_FOUND;
Legnica – prawa miejskie nadane w 1264 r. Stary ratusz – barokowy, przypominający pałac mieści placówki kulturalne, Teatr Dramatyczny i kawiarnię. Nowy ratusz neorenesansowy z lat 1902-05 jest siedzibą władz miejskich.;Województwo dolnośląskie;;Rynek 39, 59-220 Legnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCTAspZoSD0cRTdX7K7MIAFA;51.2072294,16.1612048
Nowa Ruda – prawa miejskie nadane w 1434 r., ratusz eklektyczny z lat 1892-94 jest siedzibą władz miejskich.;Województwo dolnośląskie;;Rynek 1, 57-400 Nowa Ruda, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbzKNdcVADkcRFUQ1FZs_l-U;50.579029,16.5019721
Wałbrzych – prawa miejskie nadane na początku XV w., ratusz neogotycki z 1856 r. jest siedzibą władz samorządowych i administracyjnych.;Województwo dolnośląskie;;;NOT_FOUND;
Wrocław - prawa miejskie nadane w 1261 r., ratusz – perła średniowiecznej architektury świeckiej – gotycko-renesansowy z XV w., jest siedzibą Muzeum Sztuki Mieszczańskiej.;Województwo dolnośląskie;;Rynek Ratusz 1, 50-116 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZbdqsXXCD0cRaN5OXkzLH5o;51.10966130000001,17.0317516
Chełmno – prawa miejskie nadane w 1233 r., ratusz renesansowy z XVII w., mieści bogato wyposażone Muzeum Ziemi Chełmskiej.;Województwo kujawsko-pomorskie;;;NOT_FOUND;
Toruń - prawa miejskie uzyskał w 1233 r., ratusz gotycki z lat 1391-1401 mieści Muzeum Okręgowe.;Województwo kujawsko-pomorskie;;Rynek Staromiejski 1, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1Z76lh01A0cRnp6b3uoiS08;53.0103951,18.6044611
Żnin – prawa miejskie posiada od 1263 r., po ratusz gotyckim z lat 1447-1500 pozostała Wieża mieszcząca Muzeum Ziemi Pałuckiej.;Województwo kujawsko-pomorskie;;plac Wolności 1, 88-400 Żnin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7xg5yKxkA0cRKx8v3aZ-Rjo;52.84629260000001,17.7229404
Lublin – prawa miejskie otrzymał w 1317 r. Stary ratusz renesansowy z 1495 r. mieści Muzeum Historii Ratusza i Trybunału Koronnego oraz Pałac Ślubów. Nowy ratusz zbudowany w latach 1827-30 jest siedzibą władz miasta.;Województwo lubelskie;;Rynek 1, 20-400 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyyjkcWpXIkcRsidvEdOOuFE;51.2479366,22.5678009
Zamość - prawa miejskie od 1580 r., renesansowy ratusz – siedziba Urzędu Miasta należy do najwspanialszych budowli świeckich w Polsce. Zbudowany w latach 1591-1622. W 1992 r. Zamość wpisany został przez UNESCO na listę Światowego Dziedzictwa Kulturowego.;Województwo lubelskie;;Rynek Wielki 13, 22-400 Zamość, Polska;https://www.google.com/maps/place/?q=place_id:ChIJK6pYiaRnI0cRj4zKpOiJ8sU;50.7174382,23.2524964
Bytom Odrzański – prawa miejskie ok. 1289 r., ratusz późnorenesansowy z lat 1602- -09 jest siedzibą władz samorządowych i administracyjnych.;Województwo lubuskie;;Rynek 1, 67-115 Bytom Odrzański, Polska;https://www.google.com/maps/place/?q=place_id:ChIJK88fOBb8BUcR7tOMXsG-qIY;51.7308712,15.8263385
Szprotawa – prawa miejskie od połowy XIII w., ratusz gotycko-barokowy z XIV w. Unikatowy, dwuwieżowy ratusz jest siedzibą władz miasta i gminy.;Województwo lubuskie;;Rynek 45, 67-300 Szprotawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJB9wqixSsCEcRq_D5aVLXmvk;51.5658605,15.5373474
Świebodzin – prawa miejskie nadane na początku XIV w., ratusz renesansowy z 1541 r jest siedzibą Muzeum Regionalnego.;Województwo lubuskie;;;NOT_FOUND;
Zielona Góra – prawa miejskie od 1323 r., ratusz wielokrotnie przebudowywany, w 1801 r. otrzymał klasycystyczną elewację przetrwała do dziś. Jest siedzibą władz miejskich, Urzędu Stanu Cywilnego, mieści również winiarnię i restaurację.;Województwo lubuskie;;Stary Rynek 1, 65-068 Zielona Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJD6eXh3sTBkcRq8GbFZqBwvg;51.93825589999999,15.505204
Łowicz – prawa miejskie od 1419 r., ratusz klasycystyczny z lat 1825-28 jest siedzibą władz samorządowych i administracyjnych.;Województwo łódzkie;;Stary Rynek 1, 99-400 Łowicz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7QbJvRLmG0cRns_sdHJb9W0;52.1081477,19.9449711
Łódź - prawa miejskie od 1423 r., ratusz klasycystyczny z 1827 r., siedziba Archiwum Miejskiego.;Województwo łódzkie;;Plac Wolności 1, 91-415 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm2ZSp9DKG0cRkT66MwFh0UI;51.7761672,19.4545253
Skierniewice – prawa miejskie od 1457 r., ratusz zbudowany w latach 1846-47 jest siedzibą władz miejskich.;Województwo łódzkie;;Rynek 1, 96-100 Skierniewice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJd5X4bv9gGUcRUauDvKqwAvg;51.9564293,20.1402661
Biecz - prawa miejskie od 1363 r., ratusz zbudowany w stylu gotyckim w XV w., wielokrotnie przebudowywany, obecnie klasycystyczny z renesansową wieżą zegarową – siedziba władz miasta.;Województwo małopolskie;;Rynek, 38-340 Biecz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJDyRT_RW5PUcRtvhpQGQfw1A;49.7306434,21.2499174
Kraków – prawa miejskie nadane w 1257 r., wieża ratuszowa pozostałość po rozebranym w 1817 r. gotycko-renesansowym ratuszu. W wieży mieści się kawiarnia, Teatr Satyry “Maszkaron” oraz Muzeum Historyczne Miasta Krakowa.;Województwo małopolskie;;Rynek Główny 1, 30-001 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJsf5l4Q1bFkcR7pjruKeJvgo;50.0615295,19.9364793
Nowy Sącz - prawa miejskie posiada od 1292 r., ratusz eklektyczny z lat 1895-97 jest siedzibą władz miejskich.;Województwo małopolskie;;;NOT_FOUND;
Tarnów – prawa miejskie otrzymał w 1330 r., ratusz gotycko-renesansowy z tabej połowy XIV w. przebudowany w XVI w., obecnie Muzeum Okręgowe.;Województwo małopolskie;;Rynek 1, 33-100 Tarnów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZagMjaqEPUcR96CiCJsX1vo;50.01247710000001,20.9883161
Błonie – prawa miejskie od 1380 r., ratusz klasycystyczny zbudowany w 1843 r. jest siedzibą Urzędu Miasta i Gminy Błonie.;Województwo mazowieckie;;;NOT_FOUND;
Ciechanów - prawa miejskie nadane w połowie XIV w., ratusz neogotycki z 1844 r., Siedziba władz miejskich i Urzędu Stanu Cywilnego.;Województwo mazowieckie;;plac Jana Pawła II 6, 06-400 Ciechanów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFebWbaQuHEcRAXY0Ur5z_9k;52.8824981,20.6186421
