nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Głogowiec miejsce urodzenia;;;99-140 Głogowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0SmDZR4GG0cRfyX5AXFCtUE;52.0275736,18.9285345
miejsce urodzenia;;;Żelazowa Wola 15, 96-503 Żelazowa Wola, Polska;https://www.google.com/maps/place/?q=place_id:ChIJn44N7sP9G0cRKwRnFr0cRSA;52.2572008,20.3117588
Świnice Warckie kościół parafialny Św. Kazimierza – chrzest cmentarz parafialny – miejsce spoczynku rodziców;;;99-140 Świnice Warckie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJNWj1v14JG0cRtmXLcM8LZXw;52.0404585,18.9258256
kościół parafialny Św. Kazimierza – chrzest;;;Józefa Ignacego Kraszewskiego 23, 05-803 Pruszków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk631Aus1GUcRug7r8EnE-EY;52.16233459999999,20.809602
cmentarz parafialny – miejsce spoczynku rodziców;;;Miejsce, Święte, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyW6v31h4HkcRsDEIsCoZtv4;53.05329529999999,20.9672594
Aleksandrów Łódzki miejsce pobytu – praca jako służąca;;;Warszawska 10, 95-069 Aleksandrów Łódzki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr6aCYJu0G0cRxCTeWga6drk;51.8218565,19.304391
miejsce pobytu – praca jako służąca;;;;NOT_FOUND;
Łódź ul. Abramowskiego 29 – praca w sklepie katedra – tablica park Wenecja – miejsce pierwszego objawienia pl. Niepodległości – parafia;;;plac Niepodległości 1, 91-421 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMX4X_Ok0GkcRpq256C6TqtY;51.7408932,19.4639682
ul. Abramowskiego 29 – praca w sklepie;;;Edwarda Abramowskiego 29, 90-355 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO-hGTc40GkcRyTOw94A7OF8;51.75465320000001,19.4687907
katedra – tablica;;;plac Najświętszej Maryi Panny 3, 25-010 Kielce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJF0zkpZInGEcRm5I1OMjGLHA;50.8687956,20.6290073
park Wenecja – miejsce pierwszego objawienia;;;Parkowa 11A, 55-050 Sulistrowiczki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJh4RHKkzLD0cR53IioZyZVKY;50.8451713,16.7269385
pl. Niepodległości – parafia;;;plac Niepodległości 1, 91-421 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMX4X_Ok0GkcRpq256C6TqtY;51.7408932,19.4639682
Warszawa ul. Żytnia 3/9 – dom zakonny (przyjęcie do zgromadzenia, praca w kuchni, przygotowania do ślubów wieczystych) ul. Hetmańska – praca w nowopowstającym Zgromadzeniu;;;Żytnia 11, 01-014 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhYg-0oHMHkcR290KjhfzV5k;52.2400198,20.9816644
