nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
red. Jerzy Markiewicz, Bataliony Chłopskie w obronie Zamojszczyzny: Bitwy pod Wojdą, Zaborecznem i Różą 30.XII.1942 - 1-2.II.1943, Ludowa Spółdzielnia Wydawnicza, 1957;;;;NOT_FOUND;
red. nauk. Kazimierz Przybysz, Bataliony Chłopskie w walce o narodowe i społeczne wyzwolenie: sesja popularnonaukowa w 30 rocznicę bitew pod Wojdą, Zaborecznem i Różą, Lublin 3-4 II 1973 r., Warszawa 1975;;;;NOT_FOUND;
Stanisław Jagiełło, Kryptonim „Telegraf”: z dziejów Batalionów Chłopskich na Kielecczyźnie, Warszawa 1979;;;;NOT_FOUND;
Paweł Czuba, Jan Wojtal, Walczyli na ziemi krasnostawskiej: 1939-1945, Warszawa 1979;;;;NOT_FOUND;
Władysław Ważniewski, Partyzanci spod znaku Bartosza, Warszawa 1980;;;Bartosza Głowackiego, 05-075 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJg4QX9WjRHkcRpwmrcDrd8Ww;52.2534527,21.2316531
Janusz Gmitruk, Piotr Matusak, Jan Nowak, Kalendarium działalności bojowej Batalionów Chłopskich 1940-1945, Warszawa 1983;;;;NOT_FOUND;
Zygmunt Grządzielski, Kazimierz Marczyk, Powstanie, działalność i walka zbrojna Batalionów Chłopskich w latach 1940-1945 na terenach województwa częstochowskiego: zarys problemu, Częstochowa 1983;;;;NOT_FOUND;
Kazimierz Banach, Z dziejów Batalionów Chłopskich: wspomnienia, rozważania, materiały, Warszawa 1984;;;;NOT_FOUND;
"Alina Fitowa, Bataliony Chłopskie w Małopolsce 1939-1945; działalność organizacyjna, polityczna i zbrojna, Warszawa 1984";;;;NOT_FOUND;
Kazimierz Przybysz, Andrzej Wojtas, Bataliony Chłopskie, t. 1-3, Warszawa 1985-1986;;;;NOT_FOUND;
Janusz Gmitruk, Piotr Matusak, Witold Wojdyło, Bataliony Chłopskie, Warszawa 1987;;;;NOT_FOUND;
oprac. Maria Jędrzejec, Twierdzą nam będzie każdy próg: kobiety ruchu ludowego w walce z hitlerowskim okupantem: sylwetki, wspomnienia, artykuły, Warszawa 1987;;;;NOT_FOUND;
Kazimierz Przybysz, Ludowcy na ziemiach włączonych do Rzeszy: 1939-1945, Warszawa 1987;;;;NOT_FOUND;
Wojciech Jekiełek, Bataliony Chłopskie w Małopolsce i na Śląsku: kalendarium, Warszawa 1987;;;;NOT_FOUND;
Walki oddziałów ZWZ-AK i BCh Inspektoratu Zamojskiego w latach 1939-1944, t. 1-2, Zamość 1990-1991;;;;NOT_FOUND;
Wacław Jaroszyński, Bolesław Kłembukowski, Eugeniusz Tokarczuk, Łuny nad Huczwą i Bugiem: walki oddziałów AK i BCh w Obwodzie Hrubieszowskim w latach 1939-1944, Zamość 1992;;;;NOT_FOUND;
Mieczysław Wójtowicz, ROCH i Bataliony Chłopskie w Obwodzie Krasnostawskim 1939-1945, Lublin 1997;;;;NOT_FOUND;
Aleksander Kabara, Zapalnik: z walk AK i BCh na Płaskowyżu Tarnowskim w latach 1939-1944, Warszawa 1997;;;;NOT_FOUND;
Tadeusz Piesio, Konspiracyjny ruch ludowy w powiecie garwolińskim 1939-1945, Warszawa 1999;;;;NOT_FOUND;
Janusz Gmitruk, Bataliony Chłopskie 1940-1945, Warszawa 2000;;;;NOT_FOUND;
Julian Czuba, Henryk Odrzygóźdź, Bataliony Chłopskie na południowym Podlasiu o Polskę wolną, równą i sprawiedliwą, Biała Podlaska 2004;;;;NOT_FOUND;
"Chłopi gminy Złota w walce z niemieckim okupantem / Władysław Odrobina. - Poznań; Luboń: Wydawnictwo i Drukarnia Uni-Druk, 2006. - 145, [1] s. : il. ; 21 cm. - Indeks. - ISBN 83-921889-6-9";;;;NOT_FOUND;
