nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Kępa Tolnicka – 4 km od Reszla – miejsce urodzenia ojca W. Pola, Ksawerego,;;;Wincentego Pola, 11-440 Reszel, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQbwwC1I_4kYRsmG398V3Pik;54.05182139999999,21.1605334
Lublin – miejsce urodzenia W. Pola 20.04.1807 r.;;;;NOT_FOUND;
Tarnopol – nauka w kolegium jezuickim,;;;;NOT_FOUND;
Lwów – ukończenie gimnazjum, studia na Wydziale Filozofii Uniwersytetu Lwowskiego,;;;Universytetska St, 1, Lviv, L'vivs'ka oblast, Ukraina, 79000;https://www.google.com/maps/place/?q=place_id:ChIJ-c8ydXHdOkcReYFAW_Qnph4;49.840348,24.0222967
Wilno – praca na Uniwersytecie Wileńskim jako zastępca lektora języka i literatury niemieckiej,;;;Universiteto g. 3, Vilnius, 01513 Vilniaus m. sav., Litwa;https://www.google.com/maps/place/?q=place_id:ChIJYUy3mxaU3UYRC9C37O1_cMg;54.6825757,25.2876469
Jastrzębie – przekroczenie granicy z Prusami 5 10.1831 r.;;;;NOT_FOUND;
Brodnica – internowanie w zabudowaniach Klasztoru Franciszkanów,;;;Sądowa 5 A, 87-300 Brodnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJG7IhRmcfHUcRudbZOjIrsME;53.2595415,19.3930495
Lipsk- pobyt , jako wysłannik gen. Józefa Bema;;;;NOT_FOUND;
Drezno – pobyt , jako wysłannik gen. Józefa Bema,;;;;NOT_FOUND;
Zakopane- miejsce ukrycia w obawie przed represjami,;;;Tadeusza Kościuszki 14, 34-500 Zakopane, Polska;https://www.google.com/maps/place/?q=place_id:ChIJxYc4MwDzFUcRcyKGPBf9g2E;49.29721,19.955899
Zagórzany k. Gorlic - pobyt pod koniec roku 1835,;;;;NOT_FOUND;
Kalnica k. Sanoka – był administratorem dóbr Ksawerego Krasickiego,;;;;NOT_FOUND;
Lesko - w połowie 1839 r. zamieszkał w zamku, który został odbudowany z jego inicjatywy,;;;38-600 Lesko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ32lsyR4LPEcRsV9qEQ5RrFk;49.4689183,22.3267518
Glinik Mariampolski – miejsce pobytu od 1840 r. przez kolejne 6 lat,;;;;NOT_FOUND;
Dwór Polanka – Dzielnica Krosna – miejsce schronienia podczas rzezi galicyjskiej Jakuba Szeli w 1846 r.;;;Księdza Jerzego Popiełuszki 103, 38-400 Krosno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJEeaSgdNOPEcRQZS8Ax5gVn0;49.7025409,21.724717
Jasło – pobyt w cyrkule;;;Świętego Jana z Dukli 26, 38-200 Jasło, Polska;https://www.google.com/maps/place/?q=place_id:ChIJNXx2t1y0PUcRrdMZkVRCEZs;49.7235737,21.4708474
Lwów – pobyt w areszcie i przymusowe zamieszkanie pod nadzorem policji za rzekomy udział w przygotowaniu do wybuchu powstania krakowskiego,;;;;NOT_FOUND;
Kraków – w 1849 r. został mianowany profesorem nadzwyczajnym geografii powszechnej, porównawczej na Uniwersytecie Jagiellońskim,;;;Gronostajowa 7, 30-387 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPa9LQYlcFkcR_HHxeRDKsl8;50.026307,19.9022671
Przemyśl – miejsce pobytu zima 1860/1861 r.;;;;NOT_FOUND;
Skołoszów k. Radymna – dzierżawa folwarku na wiosnę 1861 r.;;;Przemyska 37, 37-550 Skołoszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyQXAKlxjO0cRrg0I-qNJTG8;49.912433,22.820716
