nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Bolesławów,;Województwo dolnośląskie;;57-000 Bolesławów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7x2MTR_9EUcRcjqc6c7uJvw;50.2560991,16.8939379
Borów,;Województwo dolnośląskie;;57-160 Borów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJuXogmt3RD0cRkt1wjz-ZBBA;50.8829633,16.9905967
Chełmsko Śląskie,;Województwo dolnośląskie;;Chełmsko Śląskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMVlgAA72DkcRsLsRmsuUUzU;50.6642375,16.0731221
Chobienia,;Województwo dolnośląskie;;Chobienia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJC9iyxX6HBUcRsdO5mrR87TM;51.5433741,16.4481859
Ciechanowice,;Województwo dolnośląskie;;Ciechanowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJE8WGF878DkcReeU7oTZ6LbA;50.86668419999999,15.9839422
Cieszków,;Województwo dolnośląskie;;Cieszków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6wvDl1hEBUcRDEIbi9xcBlw;51.6309996,17.3576012
Czernina,;Województwo dolnośląskie;;Czernina, Polska;https://www.google.com/maps/place/?q=place_id:ChIJNVRWUoacBUcR1UHpFD8C9wc;51.7218684,16.6172247
Dobromierz,;Województwo dolnośląskie;;58-170 Dobromierz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJUVIHnQAD0cRGcGgMvpBGIM;50.91175459999999,16.241178
Dobroszyce,;Województwo dolnośląskie;;56-410 Dobroszyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJF9hBe2P7D0cRS0dzq3tWidY;51.2653364,17.3407781
Goszcz,;Województwo dolnośląskie;;56-416 Goszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJv9OeVoFVBUcReYi5Avd81V4;51.3966854,17.480329
Kliczków,;Województwo dolnośląskie;;Kliczków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ66cJ2njKCEcRIafObxLKGpU;51.3358286,15.4333215
