nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Będkowice;;;32-089 Będkowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIT2aOC_4FkcR9sNfsCKI-IU;50.1675,19.7546678
Białogórze;;;Białogóra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUyy7fYTN_UYRpTHijQ9J0Is;54.8148867,17.9619641
Bratków;;;Bratków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2-H4wzMhCUcRr-w_yiBhFrw;51.00446909999999,14.9439466
Długopole Górne;;;57-520 Długopole Górne, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ13QsXYUGDkcRahroY67fI6Y;50.2198363,16.6470529
Gilów;;;Gilów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs6V8zVUxDkcRNUQijVodisE;50.7215664,16.7770308
Grodziszcze;;;58-100 Grodziszcze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYVfZVHhLDkcRwF1oMSSNfCo;50.79768199999999,16.5643818
Gromnik;;;33-180 Gromnik, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0a27e2eRPUcRYn-rLM6vpI4;49.8379577,20.9612402
Jelenia Góra;;;Jelenia Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2Uz1uTveDkcRvM8qEkeNFQw;50.9034749,15.731654
Mierzyce;;;98-324 Mierzyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJ4wd19SCEEcRxkBOJgTHPXo;51.1555062,18.692764
Myślibórz;;;Myślibórz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7bcyqmRHB0cRiQIySNTXnoY;52.9237186,14.8678501
Niedów;;;59-900 Niedów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ53fpe0MnCUcRo77hzECknIM;51.0419954,14.9940916
Partynice;;;Partynice, Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQUnf6LnDD0cRoxhSqRmvxH0;51.060308,16.9999767
Rokitnica;;;;NOT_FOUND;
Ryczeń;;;Ryczeń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJa5RZ3p2GBUcRF9R_2cnjqtM;51.6188803,16.509136
Ryczyn Wielki;;;Lipowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJl6RFpzQkEEcRDeYplJ76rtQ;50.92676179999999,17.409296
