nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Stare Miasto i Kazimierz w Krakowie,;;;Kazimierz, Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ74t9LmpbFkcR117OG5wuZ2I;50.04855629999999,19.9447183
kopalnia soli i Zamek Żupny w Wieliczce,;;;Zamkowa 8, 32-020 Wieliczka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-ycQZGJBFkcRqhv9GRb-fv4;49.9839341,20.0600602
niemiecki nazistowski obóz koncentracyjny i zagłady Auschwitz-Birkenau w Oświęcimiu,;;;Więźniów Oświęcimia 55, 32-600 Oświęcim, Polska;https://www.google.com/maps/place/?q=place_id:ChIJof9NATK-FkcRxVMagtZz4eg;50.0293909,19.2054949
Puszcza Białowieska,;;;Puszcza Białowieska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyT9YHzRAIEcRPCg34KZdRUo;52.7228852,23.6555674
Stare Miasto w Warszawie,;;;Stare Miasto, Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3Xb5SW_MHkcRT2114lb00lA;52.2477331,21.0136079
Stare Miasto w Zamościu,;;;Osiedle Stare Miasto, 22-400 Zamość, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBSCV_whnI0cR490wIzrY0fI;50.7158926,23.2690595
średniowieczny zespół miejski Torunia,;;;Przedzamcze 3, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5zO1yh81A0cRxZVNvxV2c3A;53.0092864,18.6105361
Zamek Krzyżacki w Malborku,;;;Starościńska 1, 82-200 Malbork, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUxu-TAtZ_UYRln6bQfTjg3U;54.0397846,19.0280495
zespół architektoniczno-krajobrazowy oraz park pielgrzymkowy w Kalwarii Zebrzydowskiej,;;;34-130 Kalwaria Zebrzydowska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJUM09iFjFkcRb-ijRvuagBs;49.8597875,19.6841038
Kościół Pokoju pw. św. Ducha w Jaworze,;;;park Pokoju 2, 59-400 Jawor, Polska;https://www.google.com/maps/place/?q=place_id:ChIJN6cT3pcFD0cRXGL4OKNIeQo;51.0539419,16.1891651
Kościół Pokoju pw. Trójcy Świętej w Świdnicy,;;;plac Pokoju 6, 58-100 Świdnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJC5a0BzVNDkcRmXToO57XwRs;50.8464847,16.4916674
kościół pw. św. Michała Archanioła w Binarowej,;;;Binarowa 409, 38-340 Binarowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_bB5GRy5PUcRRwa_5A4a3Q0;49.75727029999999,21.2275679
kościół pw. Wszystkich Świętych w Bliznem,;;;36-221 Blizne, Polska;https://www.google.com/maps/place/?q=place_id:ChIJkTUbw6ZcPEcRxk_ZZTe9o6Y;49.7506089,21.9762881
kościół pw. św. Michała Archanioła w Dębnie Podhalańskim,;;;Kościelna 42, 34-434 Dębno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXQid1kj5FUcRmEc823FdQv4;49.4659278,20.2113733
kościół pw. Wniebowzięcia Najświętszej Maryi Panny i św. Michała Archanioła w Haczowie,;;;Haczów 603, 36-213 Haczów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIX36Zd1FPEcR5HonBupnkO4;49.6703583,21.8900785
kościół pw. św. Leonarda w Lipnicy Murowanej,;;;Cmentarz Parafialny, Lipnica Dolna 223, 32-724 Lipnica Dolna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_bB7dwAhFkcRzkoWy4jtSVM;49.8604587,20.5303765
kościół pw. św. Filipa i św. Jakuba w Sękowej,;;;13, Sękowa 12, 38-307, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6YeIhfDFPUcRw8WJ9AynOmM;49.6306189,21.1860814
Park Mużakowski w Łęknicy,;;;Droga Panoramiczna, 68-208 Łęknica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJx0qDXxmJCEcRmssLgSnWDjs;51.5461845,14.7342428
Hala Stulecia (Hala Ludowa) we Wrocławiu,;;;Wystawowa 1, 51-618 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJaT7HDCfoD0cRlyH-4MIQYJU;51.10695339999999,17.0773287
cerkiew pw. św. Jakuba Młodszego Apostoła w Powroźniku,;;;DW971 28, 33-370 Powroźnik, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3fY7NR13PkcREeyhrBSyYYA;49.3696026,20.950348
cerkiew pw. Opieki Bogurodzicy w Owczarach,;;;żółty szlak rowerowy Owczary - Małastów, 38-307, Polska;https://www.google.com/maps/place/?q=place_id:ChIJw7RI9oHPPUcRm1AxiwU22_8;49.58859390000001,21.1915433
cerkiew pw. św. Paraskewy w Kwiatoniu,;;;38-315 Kwiatoń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ86bjFPzQPUcRI6Qj1EqI2Dk;49.50082769999999,21.1738048
