nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Jawor cmentarz żydowski;I. Województwo dolnośląskie;a. Cmentarze;Miłosza 8, 59-400 Jawor, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5eIsW-YFD0cRtm11IrZWv94;51.0449706,16.1909794
Kamienna Góra cmentarz żydowski, ul. Katowicka;I. Województwo dolnośląskie;a. Cmentarze;Katowicka 30, 58-400 Kamienna Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-UpSO9P7DkcRZCcHTammdeI;50.7857851,16.0397938
Kłodzko cmentarz żydowski;I. Województwo dolnośląskie;a. Cmentarze;Bohaterów Getta, 57-300 Kłodzko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSy-7PwMXDkcRndmUBGdfcgU;50.432444,16.6466535
Ścinawa cmentarz żydowski, ul. Witosa;I. Województwo dolnośląskie;a. Cmentarze;59-330 Ścinawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJx4NS4395D0cR5KOwaUzHmPc;51.4062664,16.4221271
Świdnica cmentarz żydowski;I. Województwo dolnośląskie;a. Cmentarze;58-100 Świdnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJz55-CcmyD0cRLsTi4woOyJE;50.8544655,16.4976041
Wałbrzych cmentarz żydowski, ul. Moniuszki/Sikorskiego;I. Województwo dolnośląskie;a. Cmentarze;Stanisława Moniuszki 36A, 58-300 Wałbrzych, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZcZuec1WDkcRxbvFjTwALpU;50.7621664,16.2785089
Bierutów synagoga, ul. 1 maja 9;I. Województwo dolnośląskie;b. Synagogi;1 Maja 9E, 56-420 Bierutów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9-qFOgAbEEcR0kzDT-JWIZM;51.1252434,17.5424248
Dzierżoniów synagoga;I. Województwo dolnośląskie;b. Synagogi;Ignacego Krasickiego 28, 58-200 Dzierżoniów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJkZX1fRA2DkcRckINwjGJcfQ;50.7265265,16.6494943
Oleśnica synagoga, obecnie Kościół Zielonoświątkowy;I. Województwo dolnośląskie;b. Synagogi;Łużycka 22, 56-400 Oleśnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFSQ55t_iD0cRY1NkrnMdbUs;51.2109499,17.3785244
Strzegom synagoga, obecnie kościół św. Barbary;I. Województwo dolnośląskie;b. Synagogi;Kościelna 8, 58-150 Strzegom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr5Dh-XupD0cR7_8c9u5hkO4;50.9602505,16.3482639
Wrocław zespół Synagogi Pod Białym Bocianem;I. Województwo dolnośląskie;b. Synagogi;Pawła Włodkowica 7, 50-072 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfV3xWgvCD0cRhPo9maPGe94;51.1084629,17.0252543
Ziębice synagoga;I. Województwo dolnośląskie;b. Synagogi;Wąska 4/14, 57-220 Ziębice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJC2KO-mwpDkcRThP5Go3qJhQ;50.5989064,17.041442
Legnica dom przedpogrzebowy na cmentarzu żydowskim;I. Województwo dolnośląskie;c. Muzea i inne obiekty;Wrocławska 196, 59-220 Legnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIYFIPGEND0cR6GdGxRsmIfE;51.2105137,16.1833279
Środa Śląska Muzeum Regionalne - Wystawa Skarb Średzki;I. Województwo dolnośląskie;c. Muzea i inne obiekty;plac Wolności 3, 55-300 Środa Śląska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJa0qKzoiiD0cRBE5_NHQ_fuU;51.16368850000001,16.5952201
Wrocław Muzeum Miejskie Wrocławia, macewa z 1203 r.;I. Województwo dolnośląskie;c. Muzea i inne obiekty;Sukiennice 14/15, 50-107 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZbdqsXXCD0cRkptNxqnwak4;51.1074765,17.0288743
Lubraniec cmentarz żydowski i lapidarium;II. Województwo kujawsko-pomorskie;a. Cmentarze;Brzezina 12, 87-890 Lubraniec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFQtegrVfG0cRgEodyVafGy0;52.5347562,18.8256219
Rypin cmentarz żydowski i lapidarium;II. Województwo kujawsko-pomorskie;a. Cmentarze;87-500 Rypin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvdCQPbPlHEcRHAfCGhOTRFE;53.0536582,19.4179811
Toruń cmentarz żydowski;II. Województwo kujawsko-pomorskie;a. Cmentarze;Antoniego Antczaka, 87-120 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJS0ROgtw0A0cR9fdQBZeIuhc;53.01661679999999,18.6284142
Szubin cmentarz żydowski, ul. Kryńska;II. Województwo kujawsko-pomorskie;a. Cmentarze;Kcyńska-Nowe Osiedle, 89-200 Szubin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO9icdURxA0cR6Z39J4NMpPw;53.0031183,17.7176965
Bydgoszcz synagoga w dzielnicy Fordon;II. Województwo kujawsko-pomorskie;b. Synagogi;Bydgoska 22, 85-790 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ87QSXQAXA0cR9fZBHNCpxDc;53.14858719999999,18.1713252
Koronowo synagoga;II. Województwo kujawsko-pomorskie;b. Synagogi;Szkolna 6, 86-010 Koronowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJV2JSkiUFA0cRO3BQXys0bu4;53.31327229999999,17.9371
Lubraniec synagoga, obecnie Miejsko-Gminny Ośrodek Kultury;II. Województwo kujawsko-pomorskie;b. Synagogi;Brzeska 10, 87-890 Lubraniec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4ZJkwMdfG0cRHXsqZK1d2oI;52.5414567,18.8319728
Radzyń Chełmiński synagoga;II. Województwo kujawsko-pomorskie;b. Synagogi;Podgrodzie 7, 87-220 Radzyń Chełmiński, Polska;https://www.google.com/maps/place/?q=place_id:ChIJT5Vb78YsHUcRdUUtrzvUDIQ;53.384877,18.938857
Chełmża dom gminy żydowskiej, ul. Hallera 7;II. Województwo kujawsko-pomorskie;c. Muzea i inne obiekty;Generała Józefa Hallera 2, 87-140 Chełmża, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf2W5zGEuA0cRDQRpn7FJaVY;53.1865396,18.6098513
Grudziądz Żydowski Zakład dla Sierot fundacji Lachmana w Grudziądzu, ul. Mickiewicza 28/30;II. Województwo kujawsko-pomorskie;c. Muzea i inne obiekty;86-302 Grudziądz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq6pa4LPPAkcRtFawNmkwokM;53.5034331,18.782539
Chełm cmentarz żydowski, ul. Kolejowa;III. Województwo lubelskie;a. Cmentarze;Kolejowa, 22-100 Chełm, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO1hyAFuaI0cRikNumlnGHIs;51.1384927,23.4842622
Kazimierz Dolny nowy cmentarz żydowski;III. Województwo lubelskie;a. Cmentarze;Czerniawy, 24-120 Kazimierz Dolny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJcRDcd4V9IkcR1LiVnrVvITE;51.3138373,21.9529603
