nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Twierdza Świnoujście;;;Ku Morzu 5, 72-602 Świnoujście, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWWps3XJfqkcRCdLaA_uZVDQ;53.9169949,14.285725
Twierdza Kołobrzeg;;;Unnamed Road, 78-100 Kołobrzeg, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCRrihq8VAEcRv8pKoKV1EBM;54.1833016,15.5458708
Pozycja Pomorska;;;;NOT_FOUND;
Mierzeja Helska;;;Mierzeja Helska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJN_9irjGr_UYRYbQzzorq5rk;54.75000000000001,18.6666667
Twierdza Wisłoujście;;;Stara Twierdza 1, 80-551 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6_y-W7QM_UYR16N3s8iMoO8;54.3956609,18.679898
Niemieckie kwatery na Mazurach;;;;NOT_FOUND;
Twierdza Boyen w Giżycku;;;Turystyczna 1, 11-500 Giżycko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQYceGwyI4UYRuQWFOIlde-U;54.03416,21.7499183
Twierdza Osowiec;;;Osowiec-Twierdza, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmT33fDUu4EYRics0GNFx9Rs;53.474755,22.6520414
Twierdza Łomża;;;Piątnica, 18-421, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFz4N_KgzHkcRCZBQ-fjnscg;53.1878328,22.1092273
Nowogród;;;Nowogród, Polska;https://www.google.com/maps/place/?q=place_id:ChIJEeSURj86HkcRd4OW-UA-mhY;53.226552,21.8790209
Pozycja Mława;;;Polska;https://www.google.com/maps/place/?q=place_id:ChIJ89KjcFu3HUcRxX8OithV75E;53.1498784,20.4137038
Twierdza Modlin;;;Generała Józefa Bema 200c, 05-160 Nowy Dwór Mazowiecki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUX4eG2KlHkcR7yyfLLRxuwg;52.4366875,20.6756399
Twierdza Warszawa;;;Zakroczymska 12, 00-225 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVycBdXPMHkcR2be9YTkCyNQ;52.2572402,21.0067059
Twierdza Dęblin;;;08-530 Dęblin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJx4_bWmOcGEcRzDa1iVVp5zg;51.5531678,21.8380289
Twierdza Kostrzyn;;;Graniczna 1, 66-470 Kostrzyn nad Odrą, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-2mxtnBzB0cRi4AQ7OvSBOY;52.5811789,14.6336077
Front Ufortyfikowany Łuku Odry-Warty;;;Pniewo 1, 66-300 Międzyrzecz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGdkYCyKSG0cRPutoaDY-u9Y;52.371933,15.5058239
Twierdza Poznań;;;Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtwrh7NJEBEcR0b80A5gx6qQ;52.40567859999999,16.9312766
Twierdza Srebrna Góra;;;Kręta 4, 57-215 Srebrna Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUdvsQ0w5DkcRYvLTLex2Hck;50.5740737,16.6427538
Twierdza Kłodzko;;;Grodzisko 1, 57-300 Kłodzko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJEShMrQAXDkcRm4CoG54TAvg;50.4410854,16.6534216
Kompleks Olbrzym;;;Górna 71, 58-321 Jugowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0W4qWJpPDkcR81jsVwfd_D8;50.7016487,16.4199257
Obszar Warowny Śląsk;;;Świętochłowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZ3EAQPXTFkcRLxSzeXZ568g;50.3211908,18.9046467
Węgierska Górka;;;Węgierska Górka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJI5toxjclFEcRpQxDuyzHf-g;49.606601,19.1163069
Twierdza Kraków;;;Jana Hallera, 32-020 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJl0w0Iw9DFkcR2SHpNmdFYCM;49.9948308,19.9920201
Twierdza Zamość;;;Bastion VII, Waleriana Łukasińskiego 4, 22-400 Zamość, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm4U8oEVnI0cRpkmAX-sFFKs;50.71647360000001,23.2571341
Twierdza Przemyśl;;;37-722 Bolestraszyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHVUa9OZ7O0cRKJvGQo_RZQA;49.8216876,22.8613226
Linia Mołotowa;;;Władysława Łokietka, 38-512 Sanok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJoac0p2JyPEcRcRz_TjVzZnw;49.5568853,22.2276378
